protein	compound	aveaffinty
CHEMBL2001	CHEMBL577653	9.1
CHEMBL2001	CHEMBL592409	11
CHEMBL2001	CHEMBL566309	11
CHEMBL2001	CHEMBL599634	6
CHEMBL2001	CHEMBL577433	6.2
CHEMBL2001	CHEMBL604497	8
CHEMBL2001	CHEMBL591536	842
CHEMBL2001	CHEMBL2172138	111
CHEMBL2001	CHEMBL591212	842
CHEMBL2001	CHEMBL599006	1430
CHEMBL2001	CHEMBL591874	25
CHEMBL2001	CHEMBL579094	5.8
CHEMBL2001	CHEMBL569914	1
CHEMBL2001	CHEMBL589697	6.3
CHEMBL2001	CHEMBL569681	55
CHEMBL2001	CHEMBL568257	5.2
CHEMBL2001	CHEMBL601907	4.75
CHEMBL2001	CHEMBL568250	1.2
CHEMBL2001	CHEMBL2172273	20
CHEMBL2001	CHEMBL539734	11
CHEMBL2001	CHEMBL599020	613
CHEMBL2001	CHEMBL567502	319
CHEMBL2001	CHEMBL599843	9
CHEMBL2001	CHEMBL589927	8.4
CHEMBL2001	CHEMBL1784194	1080
CHEMBL2001	CHEMBL567695	2990
CHEMBL2001	CHEMBL1784231	4800
CHEMBL2001	CHEMBL601909	8.9
CHEMBL2001	CHEMBL566437	99
CHEMBL2001	CHEMBL596962	1880
CHEMBL2001	CHEMBL590006	29
CHEMBL2001	CHEMBL1784184	9650
CHEMBL2001	CHEMBL599005	20
CHEMBL2001	CHEMBL589298	15
CHEMBL2001	CHEMBL2172136	207
CHEMBL2001	CHEMBL1784186	1750
CHEMBL2001	CHEMBL589616	8.3
CHEMBL2001	CHEMBL569884	2.8
CHEMBL2001	CHEMBL592531	5.9
CHEMBL2001	CHEMBL1784193	305
CHEMBL2001	CHEMBL1784229	1800
CHEMBL2001	CHEMBL592407	9.2
CHEMBL2001	CHEMBL590007	4.5
CHEMBL2001	CHEMBL570028	2.3
CHEMBL2001	CHEMBL2172139	107
CHEMBL2001	CHEMBL1784232	615
CHEMBL2001	CHEMBL1784230	715
CHEMBL2001	CHEMBL592164	8.5
CHEMBL2001	CHEMBL568126	4400
CHEMBL2001	CHEMBL590005	6.5
CHEMBL2001	CHEMBL589597	13
CHEMBL2001	CHEMBL2172137	183
CHEMBL2001	CHEMBL2172135	172
CHEMBL2001	CHEMBL570108	29
CHEMBL2001	CHEMBL561810	270
CHEMBL2001	CHEMBL1784187	1450
