protein	compound	aveaffinty
CHEMBL1787	CHEMBL183820	271
CHEMBL1787	CHEMBL122359	129
CHEMBL1787	CHEMBL251297	4000
CHEMBL1787	CHEMBL248682	840
CHEMBL1787	CHEMBL116370	965
CHEMBL1787	CHEMBL182399	707
CHEMBL1787	CHEMBL710	381
CHEMBL1787	CHEMBL183692	1000
CHEMBL1787	CHEMBL297524	150
CHEMBL1787	CHEMBL183395	225
CHEMBL1787	CHEMBL183500	272
CHEMBL1787	CHEMBL362379	361
CHEMBL1787	CHEMBL251109	2900
CHEMBL1787	CHEMBL183448	149
CHEMBL1787	CHEMBL182945	268
CHEMBL1787	CHEMBL251507	4700
CHEMBL1787	CHEMBL119722	731
CHEMBL1787	CHEMBL120923	102
CHEMBL1787	CHEMBL181196	463
CHEMBL1787	CHEMBL118416	97
CHEMBL1787	CHEMBL183167	42
CHEMBL1787	CHEMBL118100	459
CHEMBL1787	CHEMBL183185	160
CHEMBL1787	CHEMBL118389	221
CHEMBL1787	CHEMBL96006	298
CHEMBL1787	CHEMBL251506	4700
CHEMBL1787	CHEMBL183007	6990
CHEMBL1787	CHEMBL119255	346
CHEMBL1787	CHEMBL400059	9200
CHEMBL1787	CHEMBL125442	15.6
CHEMBL1787	CHEMBL118446	7.6
CHEMBL1787	CHEMBL326743	49
CHEMBL1787	CHEMBL16456	30
CHEMBL1787	CHEMBL180451	1400
CHEMBL1787	CHEMBL182391	209
CHEMBL1787	CHEMBL25448	0.5
CHEMBL1787	CHEMBL125256	8.5
CHEMBL1787	CHEMBL283430	0.6
CHEMBL1787	CHEMBL118573	14.4
CHEMBL1787	CHEMBL57789	560
CHEMBL1787	CHEMBL331253	188
CHEMBL1787	CHEMBL333684	1000
CHEMBL1787	CHEMBL135993	2440
CHEMBL1787	CHEMBL29166	17
CHEMBL1787	CHEMBL99448	5130
CHEMBL1787	CHEMBL125073	9100
CHEMBL1787	CHEMBL182787	116
CHEMBL1787	CHEMBL180235	93
CHEMBL1787	CHEMBL138580	1600
CHEMBL1787	CHEMBL122290	14.4
CHEMBL1787	CHEMBL332407	137
CHEMBL1787	CHEMBL125899	141
CHEMBL1787	CHEMBL56581	183
CHEMBL1787	CHEMBL56908	302
CHEMBL1787	CHEMBL118390	117
CHEMBL1787	CHEMBL24955	8
CHEMBL1787	CHEMBL118283	942
CHEMBL1787	CHEMBL118447	185
CHEMBL1787	CHEMBL136097	2900
CHEMBL1787	CHEMBL124849	1400
CHEMBL1787	CHEMBL333183	4300
CHEMBL1787	CHEMBL56518	107
CHEMBL1787	CHEMBL332413	1880
CHEMBL1787	CHEMBL118543	9100
CHEMBL1787	CHEMBL425878	138
CHEMBL1787	CHEMBL56517	3360
CHEMBL1787	CHEMBL122027	5310
CHEMBL1787	CHEMBL419602	176
CHEMBL1787	CHEMBL125481	2700
CHEMBL1787	CHEMBL125443	204
CHEMBL1787	CHEMBL118118	376
CHEMBL1787	CHEMBL24088	30
CHEMBL1787	CHEMBL25516	8
CHEMBL1787	CHEMBL294630	1690
CHEMBL1787	CHEMBL118824	560
CHEMBL1787	CHEMBL55260	1450
CHEMBL1787	CHEMBL412425	20
CHEMBL1787	CHEMBL125599	459
CHEMBL1787	CHEMBL58989	377
CHEMBL1787	CHEMBL125769	312
CHEMBL1787	CHEMBL277224	8.8
CHEMBL1787	CHEMBL135651	1770
CHEMBL1787	CHEMBL55261	2477
CHEMBL1787	CHEMBL282037	0.2
CHEMBL1787	CHEMBL280155	240
CHEMBL1787	CHEMBL125668	5310
CHEMBL1787	CHEMBL24291	2200
CHEMBL1787	CHEMBL30223	120
CHEMBL1787	CHEMBL116604	188
CHEMBL1787	CHEMBL25183	0.2
CHEMBL1787	CHEMBL118319	20
CHEMBL1787	CHEMBL55402	152
CHEMBL1787	CHEMBL24929	6.9
CHEMBL1787	CHEMBL300446	23
CHEMBL1787	CHEMBL283123	0.3
CHEMBL1787	CHEMBL125257	15.8
CHEMBL1822	CHEMBL169198	2600
CHEMBL1822	CHEMBL132727	150
CHEMBL1822	CHEMBL167966	1200
CHEMBL1822	CHEMBL23716	160
CHEMBL1822	CHEMBL410744	330
CHEMBL1822	CHEMBL444916	820
CHEMBL1822	CHEMBL237760	1500
CHEMBL1822	CHEMBL392204	18
CHEMBL1822	CHEMBL1215173	7800
CHEMBL1822	CHEMBL1170851	70
CHEMBL1822	CHEMBL410745	68
CHEMBL1822	CHEMBL1683746	5550
CHEMBL1822	CHEMBL486325	20800
CHEMBL1822	CHEMBL165934	2600
CHEMBL1822	CHEMBL437376	67000
CHEMBL1822	CHEMBL428633	71
CHEMBL1822	CHEMBL446927	350
CHEMBL1822	CHEMBL238403	4100
CHEMBL1822	CHEMBL1170847	520
CHEMBL1822	CHEMBL1683745	99
CHEMBL1822	CHEMBL1683742	87
CHEMBL1822	CHEMBL424363	940
CHEMBL1822	CHEMBL166664	22700
CHEMBL1822	CHEMBL170557	1800
CHEMBL1822	CHEMBL209069	38
CHEMBL1822	CHEMBL866	28.8
CHEMBL1822	CHEMBL1683637	1
CHEMBL1822	CHEMBL1215313	460
