protein	compound	aveaffinty
CHEMBL1782	CHEMBL2338379	210
CHEMBL1782	CHEMBL100154	571.175
CHEMBL1782	CHEMBL2338380	340
CHEMBL1782	CHEMBL56556	1098.875
CHEMBL1782	CHEMBL2338355	97
CHEMBL1782	CHEMBL2338363	265
CHEMBL1782	CHEMBL293522	722.725
CHEMBL1782	CHEMBL408608	159.6
CHEMBL1782	CHEMBL2338373	155
CHEMBL1782	CHEMBL997	319
CHEMBL1782	CHEMBL2338381	365
CHEMBL1782	CHEMBL2338376	100
CHEMBL1782	CHEMBL2338383	6400
CHEMBL1782	CHEMBL1160571	35150
CHEMBL1782	CHEMBL259729	185.9
CHEMBL1782	CHEMBL2338359	75
CHEMBL1782	CHEMBL298771	404.95
CHEMBL1782	CHEMBL2338354	84.5
CHEMBL1782	CHEMBL834	574.5
CHEMBL1782	CHEMBL1258422	650
CHEMBL1782	CHEMBL923	215.27
CHEMBL1782	CHEMBL406820	252.07
CHEMBL1782	CHEMBL397829	79250
CHEMBL1782	CHEMBL870	599.26
CHEMBL1782	CHEMBL414849	115.075
CHEMBL1782	CHEMBL2338360	68
CHEMBL1782	CHEMBL2338378	105
CHEMBL1782	CHEMBL2338353	115
CHEMBL1782	CHEMBL2338371	103
CHEMBL1782	CHEMBL294192	61.075
CHEMBL1782	CHEMBL2088344	1000
CHEMBL1782	CHEMBL924	159.17125
CHEMBL1782	CHEMBL2338361	100
CHEMBL1782	CHEMBL99369	83.15
CHEMBL1782	CHEMBL2338368	150
CHEMBL1782	CHEMBL2338357	84.5
CHEMBL1782	CHEMBL434024	104.585
CHEMBL1782	CHEMBL98719	518.675
CHEMBL1782	CHEMBL2338375	107
CHEMBL1782	CHEMBL56253	124.775
CHEMBL1782	CHEMBL55214	823.6
CHEMBL1782	CHEMBL99553	476.625
CHEMBL1782	CHEMBL2338358	82
CHEMBL1782	CHEMBL2338356	30
CHEMBL1782	CHEMBL260340	93000
CHEMBL1782	CHEMBL2088339	16
CHEMBL1782	CHEMBL291736	58.82
CHEMBL1782	CHEMBL98110	56.472
CHEMBL1782	CHEMBL2338362	175
CHEMBL1782	CHEMBL319144	3
CHEMBL1782	CHEMBL55371	8500
CHEMBL1782	CHEMBL2088338	60
