protein	compound	aveaffinty
CHEMBL1845	CHEMBL507974	10
CHEMBL1859	CHEMBL1210203	583.5
CHEMBL1859	CHEMBL1210136	410
CHEMBL1859	CHEMBL1210901	72
CHEMBL1859	CHEMBL1210080	257
CHEMBL1859	CHEMBL1209968	5664
CHEMBL1859	CHEMBL1210692	295.333333333333
CHEMBL1859	CHEMBL2338402	1200
CHEMBL1859	CHEMBL1210899	53.5
CHEMBL1859	CHEMBL1210693	456
CHEMBL1859	CHEMBL1210565	74
CHEMBL1859	CHEMBL2337979	500
CHEMBL1859	CHEMBL2338408	3300
CHEMBL1859	CHEMBL1210766	1236
CHEMBL1859	CHEMBL1210204	410
CHEMBL1859	CHEMBL2338405	300
CHEMBL1859	CHEMBL2337981	900
CHEMBL1859	CHEMBL2337978	800
CHEMBL1859	CHEMBL1210767	1098
CHEMBL1859	CHEMBL1210902	55.3333333333333
CHEMBL1859	CHEMBL1210081	233
CHEMBL1859	CHEMBL1210983	8517.5
CHEMBL1859	CHEMBL1210629	158.666666666667
CHEMBL1859	CHEMBL1210442	82
CHEMBL1859	CHEMBL2338407	500
CHEMBL1859	CHEMBL1210266	1673
CHEMBL1859	CHEMBL2337980	600
CHEMBL1859	CHEMBL2338406	500
CHEMBL1859	CHEMBL2337977	800
CHEMBL1859	CHEMBL2338404	900
CHEMBL1859	CHEMBL1210835	519
CHEMBL1859	CHEMBL1210984	519
CHEMBL1859	CHEMBL1210267	342
CHEMBL1859	CHEMBL1210265	2258
CHEMBL1859	CHEMBL1210441	3333
CHEMBL1859	CHEMBL1209967	224
CHEMBL1859	CHEMBL1210628	6047.66666666667
CHEMBL1859	CHEMBL2338409	400
CHEMBL1859	CHEMBL2338403	2400
CHEMBL1859	CHEMBL1210900	74.5
CHEMBL1859	CHEMBL1210370	45
CHEMBL1859	CHEMBL1210444	3351.5
CHEMBL1859	CHEMBL1210027	732.666666666667
CHEMBL1859	CHEMBL1210139	920
CHEMBL1859	CHEMBL45816	1000
CHEMBL1859	CHEMBL1210564	130.666666666667
CHEMBL1859	CHEMBL1210371	182
CHEMBL1859	CHEMBL1209966	351
CHEMBL1859	CHEMBL1210443	1251
CHEMBL1859	CHEMBL2337984	1000
CHEMBL1859	CHEMBL2338399	1300
CHEMBL1859	CHEMBL1210506	621.5
CHEMBL1859	CHEMBL1210372	251
CHEMBL1859	CHEMBL2338400	500
CHEMBL1859	CHEMBL1210505	488
CHEMBL1859	CHEMBL1210140	177
CHEMBL1859	CHEMBL1210985	827
CHEMBL1859	CHEMBL2337983	4900
CHEMBL1859	CHEMBL2338401	1200
CHEMBL1859	CHEMBL1210205	398
CHEMBL1859	CHEMBL1210137	214
CHEMBL1859	CHEMBL1209965	139
CHEMBL1859	CHEMBL1210202	256
CHEMBL1859	CHEMBL2338398	3000
CHEMBL1859	CHEMBL1210138	800
CHEMBL1940	CHEMBL247829	1725
CHEMBL1940	CHEMBL247828	3500
CHEMBL1940	CHEMBL493677	14900
CHEMBL1980	CHEMBL2147305	794.33
CHEMBL1980	CHEMBL250699	15866.6666666667
CHEMBL1980	CHEMBL2147317	10000
CHEMBL1980	CHEMBL521211	4600
CHEMBL1980	CHEMBL387935	15000
CHEMBL1980	CHEMBL1813042	6800
CHEMBL1980	CHEMBL652	6500
CHEMBL1980	CHEMBL2164357	7900
CHEMBL1980	CHEMBL741	62000
CHEMBL1980	CHEMBL229125	18000
CHEMBL1980	CHEMBL2164356	1900
CHEMBL1980	CHEMBL2147304	7943.28
CHEMBL1980	CHEMBL558	35500
CHEMBL1980	CHEMBL507974	2000
CHEMBL1980	CHEMBL629	1600
CHEMBL1980	CHEMBL387671	4000
CHEMBL1980	CHEMBL1813049	500
CHEMBL1980	CHEMBL1813048	3150
CHEMBL1980	CHEMBL2164367	26000
CHEMBL1980	CHEMBL2164046	6100
CHEMBL1980	CHEMBL106610	3600
CHEMBL1980	CHEMBL2164368	810
CHEMBL1980	CHEMBL2018453	30000
CHEMBL1980	CHEMBL2164361	13000
CHEMBL1980	CHEMBL1270208	4700
CHEMBL1980	CHEMBL2147219	6309.57
CHEMBL1980	CHEMBL2164040	8500
CHEMBL1980	CHEMBL2164358	9700
CHEMBL1980	CHEMBL2069403	5011.87
CHEMBL1980	CHEMBL2164374	4500
CHEMBL1980	CHEMBL106351	5750
CHEMBL1980	CHEMBL107394	19700
CHEMBL1980	CHEMBL2164382	2600
CHEMBL1980	CHEMBL2069428	19952.62
CHEMBL1980	CHEMBL1958462	4780
CHEMBL1980	CHEMBL108347	560
CHEMBL1980	CHEMBL21578	6900
CHEMBL1980	CHEMBL2164377	18000
CHEMBL1980	CHEMBL106356	14200
CHEMBL1980	CHEMBL2164047	1200
CHEMBL1980	CHEMBL698	530
CHEMBL1980	CHEMBL2164390	2800
CHEMBL1980	CHEMBL2164389	6643.33333333333
CHEMBL1980	CHEMBL2069422	3981.07
CHEMBL1980	CHEMBL2164383	1200
CHEMBL1980	CHEMBL2069423	10000
CHEMBL1980	CHEMBL108728	2850
CHEMBL1980	CHEMBL2164378	19000
CHEMBL1980	CHEMBL2069413	7943.28
CHEMBL1980	CHEMBL2069427	12794.625
CHEMBL1980	CHEMBL105997	5250
CHEMBL1980	CHEMBL2069411	6309.57
CHEMBL1980	CHEMBL2147308	1584.89
CHEMBL1980	CHEMBL432963	9000
CHEMBL1980	CHEMBL2147306	2511.89
CHEMBL1980	CHEMBL2147303	19952.62
CHEMBL1980	CHEMBL107684	15500
CHEMBL1980	CHEMBL2164376	12000
CHEMBL1980	CHEMBL2164363	1900
CHEMBL1980	CHEMBL486495	100
CHEMBL1980	CHEMBL322055	9000
CHEMBL1980	CHEMBL421032	1760
CHEMBL1980	CHEMBL2069402	5011.87
CHEMBL1980	CHEMBL105929	4500
CHEMBL1980	CHEMBL2147223	5011.87
CHEMBL1980	CHEMBL2147221	6309.57
CHEMBL1980	CHEMBL2147225	19952.62
CHEMBL1980	CHEMBL110572	4100
CHEMBL1980	CHEMBL2069424	5011.87
CHEMBL1980	CHEMBL2147307	1000
CHEMBL1980	CHEMBL2069412	6309.57
CHEMBL1980	CHEMBL2069414	10000
CHEMBL1980	CHEMBL2164359	4300
CHEMBL1980	CHEMBL2164360	4000
CHEMBL1980	CHEMBL107354	5650
CHEMBL1980	CHEMBL2164366	19000
CHEMBL1980	CHEMBL375475	13000
CHEMBL1980	CHEMBL2164391	4400
CHEMBL1980	CHEMBL2093896	30000
CHEMBL1980	CHEMBL2163357	6100
CHEMBL1980	CHEMBL2147316	31622.78
CHEMBL1980	CHEMBL2164369	4700
CHEMBL1980	CHEMBL320248	10800
CHEMBL1980	CHEMBL108727	1100
CHEMBL1980	CHEMBL320314	3920
CHEMBL1980	CHEMBL108070	10500
CHEMBL1980	CHEMBL322599	3600
CHEMBL1980	CHEMBL108627	8850
CHEMBL1980	CHEMBL2069404	2511.89
CHEMBL1980	CHEMBL2147224	6309.57
CHEMBL1980	CHEMBL108361	2350
CHEMBL1980	CHEMBL321883	2100
CHEMBL1980	CHEMBL110352	5400
CHEMBL1980	CHEMBL105782	24350
CHEMBL1980	CHEMBL482676	2300
CHEMBL1980	CHEMBL2164375	4400
CHEMBL1980	CHEMBL2164393	3700
CHEMBL1980	CHEMBL1813050	300
CHEMBL1980	CHEMBL2147212	6309.57
CHEMBL1980	CHEMBL2164365	12000
CHEMBL1980	CHEMBL2164373	14000
CHEMBL1980	CHEMBL2164043	17000
CHEMBL1980	CHEMBL2147309	1584.89
CHEMBL1980	CHEMBL2164370	2900
CHEMBL1980	CHEMBL631	3300
CHEMBL1980	CHEMBL110164	1510
CHEMBL1980	CHEMBL2164387	1600
CHEMBL1980	CHEMBL109012	2710
CHEMBL1980	CHEMBL2069407	3981.07
CHEMBL1980	CHEMBL2069401	5011.87
CHEMBL1980	CHEMBL2069415	5011.87
CHEMBL1980	CHEMBL109127	7900
CHEMBL1980	CHEMBL2147222	3162.28
CHEMBL1980	CHEMBL431643	7890
CHEMBL1980	CHEMBL2069421	6309.57
CHEMBL1980	CHEMBL2069406	3162.28
CHEMBL1980	CHEMBL2147214	5011.87
CHEMBL1980	CHEMBL2164041	940
CHEMBL1980	CHEMBL2164039	17000
CHEMBL1980	CHEMBL2069420	3981.07
CHEMBL1980	CHEMBL2164037	16000
CHEMBL1980	CHEMBL2147210	12589.25
CHEMBL1980	CHEMBL1958461	7430
CHEMBL1980	CHEMBL2164397	19000
CHEMBL1980	CHEMBL106459	1750
CHEMBL1980	CHEMBL2147213	6309.57
CHEMBL1980	CHEMBL2069410	3981.07
CHEMBL1980	CHEMBL320332	8500
CHEMBL1980	CHEMBL2164384	8700
CHEMBL1980	CHEMBL2069400	1995.26
CHEMBL1980	CHEMBL1813015	5400
CHEMBL1980	CHEMBL1958460	5780
CHEMBL1980	CHEMBL2164385	12000
CHEMBL1980	CHEMBL108782	5600
CHEMBL1980	CHEMBL2147211	6309.57
CHEMBL1980	CHEMBL2069409	3162.28
CHEMBL1980	CHEMBL2069408	3162.28
CHEMBL1980	CHEMBL2164392	8900
CHEMBL2071	CHEMBL1272	78
CHEMBL2071	CHEMBL186684	207.5
CHEMBL2071	CHEMBL360610	123
CHEMBL2072	CHEMBL16	24000
CHEMBL2072	CHEMBL38031	200
CHEMBL2072	CHEMBL38488	150
CHEMBL2072	CHEMBL289425	31
CHEMBL2072	CHEMBL741	17000
CHEMBL2072	CHEMBL37316	31
CHEMBL2072	CHEMBL41864	240
CHEMBL2072	CHEMBL38401	25
CHEMBL2072	CHEMBL507974	5
CHEMBL2072	CHEMBL108	52000
CHEMBL2072	CHEMBL39210	81000
CHEMBL2072	CHEMBL1813048	400
CHEMBL2072	CHEMBL289421	340
CHEMBL2072	CHEMBL37263	35
CHEMBL2072	CHEMBL38876	61000
CHEMBL2072	CHEMBL287833	180
CHEMBL2072	CHEMBL38970	690
CHEMBL2321618	CHEMBL2324356	100
CHEMBL240	CHEMBL402015	6309.57
