protein	compound	aveaffinty
CHEMBL2136	CHEMBL2322896	29000
CHEMBL2525	CHEMBL598258	2200
CHEMBL2525	CHEMBL585128	230
CHEMBL2525	CHEMBL597277	23600
CHEMBL2525	CHEMBL566977	10900
CHEMBL2525	CHEMBL583899	3870
CHEMBL2525	CHEMBL2347213	36
CHEMBL2525	CHEMBL566007	1840
CHEMBL2525	CHEMBL2347211	9
CHEMBL2525	CHEMBL2347210	15
CHEMBL2525	CHEMBL566011	780
CHEMBL2525	CHEMBL584267	6600
CHEMBL2525	CHEMBL597062	24100
CHEMBL2525	CHEMBL2347212	10
CHEMBL2525	CHEMBL583888	3780
CHEMBL2525	CHEMBL565790	960
CHEMBL2525	CHEMBL582828	16180
CHEMBL2525	CHEMBL2012003	360
CHEMBL2525	CHEMBL2347195	119
CHEMBL2525	CHEMBL2012004	11
CHEMBL2525	CHEMBL2012006	139
CHEMBL2525	CHEMBL598876	140
CHEMBL2525	CHEMBL1222240	8000
CHEMBL2525	CHEMBL566223	520
CHEMBL2525	CHEMBL584521	16700
CHEMBL2525	CHEMBL585289	1000
CHEMBL2525	CHEMBL566968	10500
CHEMBL2525	CHEMBL565378	2320
CHEMBL2525	CHEMBL584288	11400
CHEMBL2525	CHEMBL566638	300
CHEMBL2525	CHEMBL576258	3600
CHEMBL2525	CHEMBL607527	310
CHEMBL2525	CHEMBL2347191	9440
CHEMBL2525	CHEMBL598290	6700
CHEMBL2525	CHEMBL598289	11000
CHEMBL2525	CHEMBL566406	600
CHEMBL2525	CHEMBL2347196	943
CHEMBL2525	CHEMBL566633	1260
CHEMBL2525	CHEMBL584926	1840
CHEMBL2525	CHEMBL584917	500
CHEMBL2525	CHEMBL582044	38150
CHEMBL2525	CHEMBL2347215	24
CHEMBL2525	CHEMBL2347193	12
CHEMBL2525	CHEMBL2347214	22
CHEMBL2525	CHEMBL598257	1170
CHEMBL2525	CHEMBL584694	680
CHEMBL2525	CHEMBL567061	170
CHEMBL2525	CHEMBL291784	770
CHEMBL2525	CHEMBL2347363	30
CHEMBL2525	CHEMBL565251	24400
CHEMBL2525	CHEMBL242315	12
CHEMBL2525	CHEMBL2347364	47
CHEMBL2525	CHEMBL566548	17300
CHEMBL2525	CHEMBL2347192	10
CHEMBL2525	CHEMBL2011964	68
CHEMBL2525	CHEMBL2347194	23
CHEMBL2525	CHEMBL604590	480
CHEMBL2525	CHEMBL598259	1020
CHEMBL2525	CHEMBL599965	510
CHEMBL2525	CHEMBL584695	1640
CHEMBL2525	CHEMBL566012	1590
CHEMBL2525	CHEMBL376504	556
CHEMBL2525	CHEMBL387984	397
CHEMBL2525	CHEMBL566407	200
CHEMBL2525	CHEMBL566200	785
CHEMBL2525	CHEMBL2347367	904
CHEMBL2525	CHEMBL578410	420
CHEMBL2525	CHEMBL566978	9900
CHEMBL2525	CHEMBL566112	12200
CHEMBL2525	CHEMBL2012005	170
CHEMBL2525	CHEMBL2347368	7490
CHEMBL2525	CHEMBL605518	1150
CHEMBL2525	CHEMBL593979	270
CHEMBL2525	CHEMBL589891	120
CHEMBL2525	CHEMBL565250	30100
CHEMBL2525	CHEMBL567430	2000
CHEMBL2525	CHEMBL387771	31
CHEMBL2525	CHEMBL378225	240
CHEMBL2525	CHEMBL585952	830
CHEMBL2525	CHEMBL390159	408
CHEMBL2525	CHEMBL566212	2510
CHEMBL2525	CHEMBL577905	1720
CHEMBL2525	CHEMBL565914	7300
CHEMBL2525	CHEMBL592534	170
CHEMBL2525	CHEMBL592533	410
CHEMBL2525	CHEMBL567688	2800
CHEMBL2525	CHEMBL566198	2530
CHEMBL2525	CHEMBL567485	9590
CHEMBL2525	CHEMBL568506	22400
CHEMBL2525	CHEMBL2347365	45
CHEMBL2525	CHEMBL162970	360
CHEMBL2525	CHEMBL565995	960
CHEMBL2525	CHEMBL221454	230
CHEMBL2525	CHEMBL227641	340
CHEMBL2525	CHEMBL567259	5990
CHEMBL2525	CHEMBL582045	10700
CHEMBL2525	CHEMBL590492	6130
CHEMBL2525	CHEMBL591070	180
CHEMBL2525	CHEMBL590830	30
CHEMBL2525	CHEMBL567687	1840
CHEMBL2525	CHEMBL568114	550
