protein	compound	aveaffinty
CHEMBL2225	CHEMBL567785	14454.4
CHEMBL2225	CHEMBL374508	190
CHEMBL2225	CHEMBL567134	645.65
CHEMBL2225	CHEMBL486232	1400
CHEMBL2225	CHEMBL568171	16218.1
CHEMBL2225	CHEMBL114161	40
CHEMBL2225	CHEMBL514348	137
CHEMBL2225	CHEMBL450997	9800
CHEMBL2225	CHEMBL212521	3700
CHEMBL2225	CHEMBL567341	125.89
CHEMBL2225	CHEMBL448143	29000
CHEMBL2225	CHEMBL203663	190
CHEMBL2225	CHEMBL180839	580
CHEMBL2225	CHEMBL523822	66520
CHEMBL2225	CHEMBL491348	32570
CHEMBL2225	CHEMBL390474	2653
CHEMBL2225	CHEMBL183660	8300
CHEMBL2225	CHEMBL230474	6591
CHEMBL2225	CHEMBL371420	0.46
CHEMBL2225	CHEMBL470707	91760
CHEMBL2225	CHEMBL492175	145
CHEMBL2225	CHEMBL204605	230
CHEMBL2225	CHEMBL183812	40
CHEMBL2225	CHEMBL113948	18
CHEMBL2225	CHEMBL190121	1.4
CHEMBL2225	CHEMBL426611	5000
CHEMBL2226	CHEMBL179503	0.5
CHEMBL2226	CHEMBL568171	8128.31
CHEMBL2226	CHEMBL2323966	90
CHEMBL2226	CHEMBL2324341	510
CHEMBL2226	CHEMBL2324340	180
CHEMBL2226	CHEMBL366927	0.3
CHEMBL2226	CHEMBL2323967	5600
CHEMBL2226	CHEMBL2324339	370
CHEMBL2226	CHEMBL567341	33113.11
CHEMBL2252	CHEMBL1081694	1
CHEMBL2252	CHEMBL1078066	1.7
CHEMBL2252	CHEMBL1078160	2193
CHEMBL2252	CHEMBL1672423	2511.89
CHEMBL2252	CHEMBL1077746	2545
CHEMBL2252	CHEMBL1079888	0.3
CHEMBL2252	CHEMBL1080601	3.8
CHEMBL2252	CHEMBL211388	137
CHEMBL2252	CHEMBL1080786	17
CHEMBL2252	CHEMBL1078313	63
CHEMBL2252	CHEMBL1081695	0.7
CHEMBL2252	CHEMBL1672434	2
CHEMBL2252	CHEMBL1672425	7.94
CHEMBL2252	CHEMBL1078356	386.5
CHEMBL2252	CHEMBL1077640	880
CHEMBL2252	CHEMBL1079536	495
CHEMBL2252	CHEMBL230474	29
CHEMBL2252	CHEMBL1079535	1081
CHEMBL2252	CHEMBL230478	191
CHEMBL2252	CHEMBL1078065	8.2
CHEMBL2252	CHEMBL209998	96
CHEMBL2252	CHEMBL1672422	316.23
CHEMBL2252	CHEMBL1078067	336
CHEMBL2252	CHEMBL212523	822
CHEMBL2252	CHEMBL1672430	15848.93
CHEMBL2252	CHEMBL516292	14
CHEMBL2252	CHEMBL578159	6918.31
CHEMBL2252	CHEMBL377768	2336
CHEMBL2252	CHEMBL439145	172
CHEMBL2252	CHEMBL1672426	10
CHEMBL2252	CHEMBL212521	5371
CHEMBL2252	CHEMBL1078411	14
CHEMBL2252	CHEMBL379542	4787
CHEMBL2252	CHEMBL518284	450
CHEMBL2252	CHEMBL1672432	158.49
CHEMBL2252	CHEMBL1079534	2502
CHEMBL2252	CHEMBL1672424	1000
CHEMBL2252	CHEMBL1080781	11
CHEMBL2252	CHEMBL1077666	129.5
CHEMBL2252	CHEMBL1080606	12
CHEMBL2252	CHEMBL1672421	316.23
CHEMBL2252	CHEMBL450997	1
CHEMBL2252	CHEMBL1082054	630
CHEMBL2252	CHEMBL1078064	271
CHEMBL2252	CHEMBL1672419	1995.26
CHEMBL2252	CHEMBL1078551	11000
CHEMBL2252	CHEMBL1080780	0.9
CHEMBL2252	CHEMBL1080602	5.1
CHEMBL2252	CHEMBL448143	51
CHEMBL2252	CHEMBL514348	85
CHEMBL2252	CHEMBL567134	588.84
CHEMBL2252	CHEMBL1079537	133
CHEMBL2252	CHEMBL1672433	125.89
CHEMBL2252	CHEMBL1081148	1230
CHEMBL2252	CHEMBL390474	18
CHEMBL2252	CHEMBL1080607	1419
CHEMBL2252	CHEMBL1081149	29
CHEMBL2252	CHEMBL567341	34.67
CHEMBL2252	CHEMBL486232	3300
CHEMBL2252	CHEMBL1079350	1580
CHEMBL2252	CHEMBL212514	7221.5
CHEMBL2252	CHEMBL1080785	1832
CHEMBL2252	CHEMBL390475	403
CHEMBL2252	CHEMBL1162478	790
CHEMBL2252	CHEMBL1081329	200
CHEMBL2252	CHEMBL1081150	5.8
CHEMBL2252	CHEMBL1079352	215
CHEMBL2252	CHEMBL390643	606
CHEMBL2252	CHEMBL230473	1727
CHEMBL2252	CHEMBL374508	770
CHEMBL2252	CHEMBL1079351	330
CHEMBL2252	CHEMBL1078120	17
CHEMBL2252	CHEMBL461619	10000
CHEMBL2273	CHEMBL237310	6
CHEMBL2273	CHEMBL479009	93000
CHEMBL2273	CHEMBL2324340	1740
CHEMBL2273	CHEMBL2323967	1100
CHEMBL2273	CHEMBL2324341	1000
CHEMBL2273	CHEMBL2323966	2300
CHEMBL2273	CHEMBL2324339	800
CHEMBL2334	CHEMBL200653	10.3
CHEMBL2334	CHEMBL364076	10900
CHEMBL2334	CHEMBL2041017	13250
CHEMBL2334	CHEMBL1835208	437
CHEMBL2334	CHEMBL1782265	13400
CHEMBL2334	CHEMBL371709	1670.85
CHEMBL2334	CHEMBL1835322	24
CHEMBL2334	CHEMBL365747	27900
CHEMBL2334	CHEMBL372994	9.1
CHEMBL2334	CHEMBL2041016	28180
CHEMBL2334	CHEMBL593222	4.99
CHEMBL2334	CHEMBL200677	9.66666666666667
CHEMBL2334	CHEMBL64789	169.91
CHEMBL2334	CHEMBL492060	4700
CHEMBL2334	CHEMBL392245	50
CHEMBL2334	CHEMBL190369	2320
CHEMBL2334	CHEMBL200220	12.4
CHEMBL2334	CHEMBL293034	2993.61666666667
CHEMBL2334	CHEMBL62993	1975.525
CHEMBL2334	CHEMBL1835211	965
CHEMBL2334	CHEMBL1835404	39170
CHEMBL2334	CHEMBL200476	12
CHEMBL2334	CHEMBL206844	71
CHEMBL2334	CHEMBL521801	1405
CHEMBL2334	CHEMBL248508	9697.5
CHEMBL2334	CHEMBL372607	45.35
CHEMBL2334	CHEMBL246887	160
CHEMBL2334	CHEMBL191877	15350
CHEMBL2334	CHEMBL492061	4633
CHEMBL2334	CHEMBL189946	520
CHEMBL2334	CHEMBL200767	4928.35
CHEMBL2334	CHEMBL1835210	92
CHEMBL2334	CHEMBL466007	1880
CHEMBL2334	CHEMBL206435	149
CHEMBL2334	CHEMBL396625	100
CHEMBL2334	CHEMBL523131	1454
CHEMBL2334	CHEMBL490851	1993
CHEMBL2334	CHEMBL200785	1404.85
CHEMBL2334	CHEMBL437526	1300
CHEMBL2334	CHEMBL62282	69.99
CHEMBL2334	CHEMBL300369	4.2
CHEMBL2334	CHEMBL292058	169.91
CHEMBL2334	CHEMBL1835209	346
CHEMBL2334	CHEMBL372189	4850
CHEMBL2334	CHEMBL61815	169.91
CHEMBL2334	CHEMBL521972	1550
CHEMBL2334	CHEMBL1762358	18.3
CHEMBL2334	CHEMBL192330	23
CHEMBL2334	CHEMBL482841	1028
CHEMBL2334	CHEMBL248309	28
CHEMBL2334	CHEMBL191484	580
CHEMBL2334	CHEMBL200927	8.56666666666667
CHEMBL2334	CHEMBL371183	1290
CHEMBL2334	CHEMBL60190	91.6625
CHEMBL2334	CHEMBL166513	53
CHEMBL2334	CHEMBL373128	5190
CHEMBL2334	CHEMBL603437	10.14
CHEMBL2334	CHEMBL490850	1672
CHEMBL2334	CHEMBL593714	7.18
CHEMBL2334	CHEMBL236464	860
CHEMBL2334	CHEMBL197237	20.4
CHEMBL2334	CHEMBL361613	0.036
CHEMBL2334	CHEMBL195136	352
CHEMBL2334	CHEMBL1762350	226.65
CHEMBL2334	CHEMBL512101	25
CHEMBL2334	CHEMBL433812	255
CHEMBL2334	CHEMBL370952	36
CHEMBL2334	CHEMBL191738	33
CHEMBL2334	CHEMBL198644	3260
CHEMBL2334	CHEMBL64895	5.2
CHEMBL2334	CHEMBL192517	1225
CHEMBL2334	CHEMBL190274	1437.5
CHEMBL2334	CHEMBL593223	14.32
CHEMBL2334	CHEMBL1762357	6
CHEMBL2334	CHEMBL1584696	419.96
CHEMBL2334	CHEMBL191080	745
CHEMBL2334	CHEMBL189419	925
CHEMBL2334	CHEMBL417149	8.26666666666667
CHEMBL2334	CHEMBL373012	21.3
CHEMBL2334	CHEMBL59721	30.985
CHEMBL2334	CHEMBL293460	909.955
CHEMBL2334	CHEMBL363147	655
CHEMBL2334	CHEMBL183109	179
CHEMBL2334	CHEMBL360046	16
CHEMBL2334	CHEMBL1242700	62550
CHEMBL2334	CHEMBL198755	4.4
CHEMBL2334	CHEMBL1242699	35300
CHEMBL2334	CHEMBL359479	160
CHEMBL2334	CHEMBL204645	62
CHEMBL2334	CHEMBL361702	990
CHEMBL2334	CHEMBL1762349	191.8
CHEMBL2334	CHEMBL593476	4.43
CHEMBL2334	CHEMBL305545	2799.49
CHEMBL2334	CHEMBL2041018	19670
CHEMBL2334	CHEMBL63044	410.1
CHEMBL2334	CHEMBL468088	31
CHEMBL2334	CHEMBL193674	27
CHEMBL2334	CHEMBL1405031	3259
CHEMBL2334	CHEMBL478694	724
CHEMBL2334	CHEMBL180131	467
CHEMBL2334	CHEMBL187104	36
CHEMBL2334	CHEMBL191081	645
CHEMBL2334	CHEMBL360880	9
CHEMBL2334	CHEMBL204020	145
CHEMBL2334	CHEMBL382084	11.3
CHEMBL2334	CHEMBL197549	327.6
CHEMBL2334	CHEMBL1242610	28300
CHEMBL2334	CHEMBL200886	8.8
CHEMBL2334	CHEMBL594172	82
CHEMBL2334	CHEMBL595814	7.81
CHEMBL2334	CHEMBL365420	845
CHEMBL2334	CHEMBL359643	0.071
CHEMBL2334	CHEMBL371810	890
CHEMBL2334	CHEMBL426991	33
CHEMBL2334	CHEMBL376112	9.85
CHEMBL2334	CHEMBL189521	1540
CHEMBL2334	CHEMBL236666	1700
CHEMBL2334	CHEMBL1835320	42160
CHEMBL2334	CHEMBL190297	500
CHEMBL2334	CHEMBL302461	1900.54
CHEMBL2334	CHEMBL513513	74
CHEMBL2334	CHEMBL371879	911.65
CHEMBL2334	CHEMBL1242422	23700
CHEMBL2334	CHEMBL372322	226.95
CHEMBL2334	CHEMBL482634	1430
CHEMBL2334	CHEMBL220238	0.31
CHEMBL2334	CHEMBL1762346	1004.3
CHEMBL2334	CHEMBL456799	230.433333333333
CHEMBL2334	CHEMBL1504407	33447
CHEMBL2334	CHEMBL1835317	78350
CHEMBL2334	CHEMBL391495	720
CHEMBL2334	CHEMBL370012	10.9
CHEMBL2334	CHEMBL391709	250
CHEMBL2334	CHEMBL236880	2500
CHEMBL2334	CHEMBL188692	1970
CHEMBL2334	CHEMBL1242788	49500
CHEMBL2334	CHEMBL197127	8070
CHEMBL2334	CHEMBL513663	9.3
CHEMBL2334	CHEMBL1242421	16200
CHEMBL2334	CHEMBL361111	12
CHEMBL2334	CHEMBL359542	0.14
CHEMBL2334	CHEMBL183161	36
CHEMBL2334	CHEMBL190898	17400
CHEMBL2334	CHEMBL360956	0.048
CHEMBL2334	CHEMBL360355	0.078
CHEMBL2334	CHEMBL197535	944.15
CHEMBL2334	CHEMBL216447	12.15
CHEMBL2334	CHEMBL607194	37
CHEMBL2334	CHEMBL180273	0.012
CHEMBL2334	CHEMBL1762364	701
CHEMBL2334	CHEMBL361397	80
CHEMBL2334	CHEMBL1762356	7.1
CHEMBL2334	CHEMBL1603488	13439
CHEMBL2334	CHEMBL425890	29
CHEMBL2334	CHEMBL436945	79
CHEMBL2334	CHEMBL362191	0.046
CHEMBL2334	CHEMBL200813	1539.2
CHEMBL2334	CHEMBL41286	7894
CHEMBL2334	CHEMBL476022	114
CHEMBL2334	CHEMBL198974	2293
CHEMBL2334	CHEMBL477047	671
CHEMBL2334	CHEMBL477659	673
CHEMBL2334	CHEMBL198682	8.4
CHEMBL2334	CHEMBL182103	0.19
CHEMBL2334	CHEMBL267994	1000
CHEMBL2334	CHEMBL186277	38
CHEMBL2334	CHEMBL179551	0.015
CHEMBL2334	CHEMBL606626	2.4
CHEMBL2334	CHEMBL1534294	3540
CHEMBL2334	CHEMBL197979	10000
CHEMBL2334	CHEMBL384023	9.63333333333333
CHEMBL2334	CHEMBL186358	15
CHEMBL2334	CHEMBL185711	35
CHEMBL2334	CHEMBL363427	40
CHEMBL2334	CHEMBL476023	718
CHEMBL2334	CHEMBL1762347	1088.95
CHEMBL2334	CHEMBL202971	68
CHEMBL2334	CHEMBL225647	3.2
CHEMBL2334	CHEMBL359598	0.011
CHEMBL2334	CHEMBL182563	146
CHEMBL2334	CHEMBL185356	25
CHEMBL2334	CHEMBL203216	124
CHEMBL2334	CHEMBL237088	100
CHEMBL2334	CHEMBL593481	23
CHEMBL2334	CHEMBL456798	319.633333333333
CHEMBL2334	CHEMBL226779	27.8
CHEMBL2334	CHEMBL1762363	177.25
CHEMBL2334	CHEMBL1762355	24.4
CHEMBL2334	CHEMBL203846	118
CHEMBL2334	CHEMBL1762348	26.9
CHEMBL2334	CHEMBL1762366	536.7
CHEMBL2334	CHEMBL236667	450
CHEMBL2334	CHEMBL200493	9.4
CHEMBL2334	CHEMBL236879	550
CHEMBL2334	CHEMBL181027	0.042
CHEMBL2334	CHEMBL363509	30
CHEMBL2334	CHEMBL516251	323
CHEMBL2334	CHEMBL203552	630
CHEMBL2334	CHEMBL439753	934.625
CHEMBL2334	CHEMBL264344	0.026
CHEMBL2334	CHEMBL593209	364
CHEMBL2334	CHEMBL382481	83
CHEMBL2334	CHEMBL185677	34
CHEMBL2334	CHEMBL363223	46
CHEMBL2334	CHEMBL181623	0.013
CHEMBL2334	CHEMBL433784	28
CHEMBL2334	CHEMBL186694	21
CHEMBL2334	CHEMBL186499	30
CHEMBL2334	CHEMBL1242886	31400
CHEMBL2334	CHEMBL61320	2198.93
CHEMBL2334	CHEMBL64219	5
CHEMBL2334	CHEMBL365384	590
CHEMBL2334	CHEMBL213759	1127.55
CHEMBL2334	CHEMBL203788	92
CHEMBL2334	CHEMBL412992	1100
CHEMBL2334	CHEMBL183379	5
CHEMBL2334	CHEMBL2348699	365
CHEMBL2334	CHEMBL2096776	100
CHEMBL2334	CHEMBL391708	270
CHEMBL2334	CHEMBL82932	18
CHEMBL2334	CHEMBL1762362	212.8
CHEMBL2334	CHEMBL390932	119.3
CHEMBL2334	CHEMBL436989	20.1
CHEMBL2334	CHEMBL1762365	1257.6
CHEMBL2334	CHEMBL362213	0.14
CHEMBL2334	CHEMBL1762353	196.55
CHEMBL2334	CHEMBL190296	1280
CHEMBL2334	CHEMBL196855	29.2
CHEMBL2334	CHEMBL178775	0.11
CHEMBL2334	CHEMBL184366	110
CHEMBL2334	CHEMBL385930	19.1
CHEMBL2334	CHEMBL510809	365
CHEMBL2334	CHEMBL206607	96
CHEMBL2334	CHEMBL190797	2810
CHEMBL2334	CHEMBL206376	150
CHEMBL2334	CHEMBL382859	331
CHEMBL2334	CHEMBL609885	148
CHEMBL2334	CHEMBL183655	2020
CHEMBL2334	CHEMBL217777	13.7
CHEMBL2334	CHEMBL372093	10000
CHEMBL2334	CHEMBL2348696	184
CHEMBL2334	CHEMBL377940	54
CHEMBL2334	CHEMBL195613	294
CHEMBL2334	CHEMBL62187	5497.705
CHEMBL2334	CHEMBL204529	55
CHEMBL2334	CHEMBL190172	2540
CHEMBL2334	CHEMBL181763	0.017
CHEMBL2334	CHEMBL203900	44
CHEMBL2334	CHEMBL2348694	1580
CHEMBL2334	CHEMBL194488	362
CHEMBL2334	CHEMBL182096	9445
CHEMBL2334	CHEMBL603219	81
CHEMBL2334	CHEMBL592987	10.77
CHEMBL2334	CHEMBL183619	16
CHEMBL2334	CHEMBL427283	31.8
