protein	compound	aveaffinty
CHEMBL1075162	CHEMBL1098083	11
CHEMBL1075162	CHEMBL1094760	582
CHEMBL1075162	CHEMBL1096400	508
CHEMBL1075162	CHEMBL1094109	112
CHEMBL1075162	CHEMBL1094759	945
CHEMBL1075162	CHEMBL1097279	0.7
CHEMBL1075162	CHEMBL1096742	1.4
CHEMBL1075162	CHEMBL1097652	0.036
CHEMBL1075162	CHEMBL1098419	1.7
CHEMBL1075162	CHEMBL1096401	1140
CHEMBL1075322	CHEMBL111	2010
CHEMBL1628461	CHEMBL2332559	18000
CHEMBL1628461	CHEMBL2332561	1170
CHEMBL1628461	CHEMBL2332562	400
CHEMBL1628461	CHEMBL2332557	20680
CHEMBL1628461	CHEMBL2332558	17670
CHEMBL1628461	CHEMBL2332560	11770
CHEMBL1628461	CHEMBL18028	3
CHEMBL1628461	CHEMBL1760545	7.5
CHEMBL1628461	CHEMBL1788113	3.8
CHEMBL1628461	CHEMBL2332567	1550
CHEMBL1798	CHEMBL411	13308.5
CHEMBL1798	CHEMBL434063	8182.5
CHEMBL1798	CHEMBL288943	7
CHEMBL1798	CHEMBL18797	22026
CHEMBL1798	CHEMBL787	1.17775
CHEMBL1798	CHEMBL173289	2.51
CHEMBL1798	CHEMBL278570	5.01
CHEMBL1798	CHEMBL603	0.970333333333333
CHEMBL1798	CHEMBL140058	2.9
CHEMBL1798	CHEMBL18132	2
CHEMBL1798	CHEMBL343934	0.42
CHEMBL1798	CHEMBL104	24879
CHEMBL1798	CHEMBL341603	0.56
CHEMBL1798	CHEMBL141640	1.1
CHEMBL1798	CHEMBL143515	0.44
CHEMBL1798	CHEMBL139757	0.61
CHEMBL1798	CHEMBL342705	0.47
CHEMBL1798	CHEMBL344180	0.25
CHEMBL1798	CHEMBL348229	5
CHEMBL1798	CHEMBL140381	2
CHEMBL1798	CHEMBL141405	1.7
CHEMBL1811	CHEMBL180742	3000
CHEMBL1811	CHEMBL447709	12.59
CHEMBL1811	CHEMBL481870	100
CHEMBL1811	CHEMBL182662	62
CHEMBL1811	CHEMBL123794	12000
CHEMBL1811	CHEMBL521988	50.12
CHEMBL1811	CHEMBL467510	15.925
CHEMBL1811	CHEMBL180389	68000
CHEMBL1811	CHEMBL516608	501.19
CHEMBL1811	CHEMBL360290	13000
CHEMBL1811	CHEMBL185346	4.5
CHEMBL1811	CHEMBL254990	15.85
CHEMBL1811	CHEMBL2164609	20260
CHEMBL1811	CHEMBL180089	17000
CHEMBL1811	CHEMBL1915252	2
CHEMBL1811	CHEMBL1915253	10
CHEMBL1811	CHEMBL1915262	6.31
CHEMBL1811	CHEMBL183919	6700
CHEMBL1811	CHEMBL217991	3200
CHEMBL1811	CHEMBL234940	1.652
CHEMBL1811	CHEMBL2110364	0.129
CHEMBL1811	CHEMBL1915257	63.1
CHEMBL1811	CHEMBL1915263	25.12
CHEMBL1811	CHEMBL1915013	50.12
CHEMBL1811	CHEMBL482132	501.19
CHEMBL1811	CHEMBL480002	25.12
CHEMBL1811	CHEMBL520950	251.19
CHEMBL1811	CHEMBL1915256	19.95
CHEMBL1811	CHEMBL181035	45000
CHEMBL1811	CHEMBL2164608	15990
CHEMBL1811	CHEMBL404525	10
CHEMBL1811	CHEMBL1915016	63.1
CHEMBL1811	CHEMBL480181	12.59
CHEMBL1811	CHEMBL257997	6.3
CHEMBL1811	CHEMBL1915250	100
CHEMBL1811	CHEMBL290969	3350
CHEMBL1811	CHEMBL258041	158.49
CHEMBL1811	CHEMBL218179	2300
CHEMBL1811	CHEMBL494282	6.31
CHEMBL1811	CHEMBL233043	10
CHEMBL1811	CHEMBL480790	12.59
CHEMBL1811	CHEMBL1915264	10
CHEMBL1811	CHEMBL1915014	25.12
CHEMBL1811	CHEMBL1915248	316.23
CHEMBL1811	CHEMBL523679	7.94
CHEMBL1811	CHEMBL548	9.1
CHEMBL1811	CHEMBL492829	39.81
CHEMBL1811	CHEMBL358653	1.58
CHEMBL1811	CHEMBL467632	6354
CHEMBL1811	CHEMBL480979	630.96
CHEMBL1811	CHEMBL481689	50.12
CHEMBL1811	CHEMBL360592	13
CHEMBL1811	CHEMBL385955	1971.5
CHEMBL1811	CHEMBL1915261	7.94
CHEMBL1811	CHEMBL1915017	251.19
