protein	compound	aveaffinty
CHEMBL1075101	CHEMBL2146905	42000
CHEMBL1075101	CHEMBL2146989	38000
CHEMBL1075101	CHEMBL2146910	16000
CHEMBL1293267	CHEMBL76602	30400
CHEMBL1293267	CHEMBL28079	1220
CHEMBL1293267	CHEMBL151	18600
CHEMBL1293267	CHEMBL164	2120
CHEMBL1293267	CHEMBL559337	110
CHEMBL1293267	CHEMBL1914588	110
CHEMBL1293267	CHEMBL8260	28200
CHEMBL1293267	CHEMBL2037378	390
CHEMBL1293267	CHEMBL50	15400
CHEMBL1293267	CHEMBL6246	100
CHEMBL1293267	CHEMBL551842	4540
CHEMBL1293267	CHEMBL28626	1600
CHEMBL1293267	CHEMBL15193	4660
CHEMBL1293267	CHEMBL63323	1280
CHEMBL1293267	CHEMBL1360563	30400
CHEMBL1878	CHEMBL1783931	23
CHEMBL1878	CHEMBL1783764	6
CHEMBL1878	CHEMBL1198855	146
CHEMBL1878	CHEMBL1783762	56
CHEMBL1878	CHEMBL1783765	3500
CHEMBL1878	CHEMBL1783935	18
CHEMBL1878	CHEMBL1783933	25
CHEMBL1878	CHEMBL1783932	350
CHEMBL1878	CHEMBL1783763	900
CHEMBL1878	CHEMBL180672	33
CHEMBL1878	CHEMBL1783936	3500
CHEMBL1878	CHEMBL1783934	50
CHEMBL1878	CHEMBL1783766	300
CHEMBL2736	CHEMBL477396	4600
CHEMBL2736	CHEMBL507522	4235
CHEMBL2736	CHEMBL1209521	1300
CHEMBL2736	CHEMBL1209519	600
CHEMBL2736	CHEMBL1672237	1120
CHEMBL2736	CHEMBL578358	950
CHEMBL2736	CHEMBL1830707	9
CHEMBL2736	CHEMBL2023630	2500
CHEMBL2736	CHEMBL1830702	65
CHEMBL2736	CHEMBL1209589	15800
CHEMBL2736	CHEMBL1830698	220
CHEMBL2736	CHEMBL1921952	104
CHEMBL2736	CHEMBL1223315	686
CHEMBL2736	CHEMBL2023633	1200
CHEMBL2736	CHEMBL1830705	910
CHEMBL2736	CHEMBL1373422	1170
CHEMBL2736	CHEMBL1921962	287
CHEMBL2736	CHEMBL1209520	1600
CHEMBL2736	CHEMBL2023631	2400
CHEMBL2736	CHEMBL571063	2000
CHEMBL2736	CHEMBL565748	3100
CHEMBL2736	CHEMBL1672246	4270
CHEMBL2736	CHEMBL562551	240
CHEMBL2736	CHEMBL578988	745
CHEMBL2736	CHEMBL2023453	840
CHEMBL2736	CHEMBL1672241	556
CHEMBL2736	CHEMBL1672232	627
CHEMBL2736	CHEMBL1209518	2000
CHEMBL2736	CHEMBL1209588	5800
CHEMBL2736	CHEMBL2023452	670
CHEMBL2736	CHEMBL568440	10000
CHEMBL2736	CHEMBL1672238	517
CHEMBL2736	CHEMBL1672240	1605
CHEMBL2736	CHEMBL1830711	7
CHEMBL2736	CHEMBL1921961	291
CHEMBL2736	CHEMBL2023451	480
CHEMBL2736	CHEMBL1672245	114
CHEMBL2736	CHEMBL1223013	5960
CHEMBL2736	CHEMBL568252	9600
CHEMBL2736	CHEMBL1921855	136
CHEMBL2736	CHEMBL1921853	402
CHEMBL2736	CHEMBL2023454	730
CHEMBL2736	CHEMBL1223381	19.9
CHEMBL2736	CHEMBL1830709	1300
CHEMBL2736	CHEMBL1672244	361
CHEMBL2736	CHEMBL2022873	4300
CHEMBL2736	CHEMBL2022871	2900
CHEMBL2736	CHEMBL1699345	771
CHEMBL2736	CHEMBL1921955	1800
CHEMBL2736	CHEMBL1209515	1600
CHEMBL2736	CHEMBL1209591	20000
CHEMBL2736	CHEMBL1921854	765
CHEMBL2736	CHEMBL1921948	1800
CHEMBL2736	CHEMBL515763	1700
CHEMBL2736	CHEMBL1672242	958
CHEMBL2736	CHEMBL1830693	410
CHEMBL2736	CHEMBL1672234	99.5
CHEMBL2736	CHEMBL1672235	1780
CHEMBL2736	CHEMBL2023632	2300
CHEMBL2736	CHEMBL2023634	5100
CHEMBL2736	CHEMBL2022870	3100
CHEMBL2736	CHEMBL2023629	2700
CHEMBL2736	CHEMBL2023471	690
CHEMBL2736	CHEMBL1223243	478
CHEMBL2736	CHEMBL1698378	41.9
CHEMBL2736	CHEMBL578129	2700
CHEMBL2736	CHEMBL1830694	13
CHEMBL2736	CHEMBL1672239	2090
CHEMBL2736	CHEMBL1223316	132
CHEMBL2736	CHEMBL2022869	1100
CHEMBL2736	CHEMBL1346011	1400
CHEMBL2736	CHEMBL2022872	2100
CHEMBL2736	CHEMBL1672233	845
CHEMBL2736	CHEMBL1208800	2900
CHEMBL2736	CHEMBL2023466	2800
CHEMBL2736	CHEMBL2023622	950
CHEMBL2736	CHEMBL1672256	1420
CHEMBL2736	CHEMBL1921950	179
CHEMBL2736	CHEMBL578793	3300
CHEMBL2736	CHEMBL473806	3000
CHEMBL2736	CHEMBL1830897	1300
CHEMBL2736	CHEMBL575060	2400
CHEMBL2736	CHEMBL1830903	105
CHEMBL2736	CHEMBL1223014	159
