protein	compound	aveaffinty
CHEMBL1808	CHEMBL196902	32000
CHEMBL1808	CHEMBL1560	7.91666666666667
CHEMBL1808	CHEMBL570953	30.555
CHEMBL1808	CHEMBL252009	25000
CHEMBL1808	CHEMBL2153740	5001.5
CHEMBL1808	CHEMBL567628	121.45
CHEMBL1808	CHEMBL287896	30
CHEMBL1808	CHEMBL251804	5000
CHEMBL1808	CHEMBL372307	5
CHEMBL1808	CHEMBL271223	2700
CHEMBL1808	CHEMBL577754	713.92
CHEMBL1808	CHEMBL571716	1251.5
CHEMBL1808	CHEMBL398545	20000
CHEMBL1808	CHEMBL401086	250
CHEMBL1808	CHEMBL213105	84300
CHEMBL1808	CHEMBL254911	4000
CHEMBL1808	CHEMBL254493	770
CHEMBL1808	CHEMBL398771	950
CHEMBL1808	CHEMBL253224	410
CHEMBL1808	CHEMBL401397	1000
CHEMBL1808	CHEMBL251808	1800
CHEMBL1808	CHEMBL254495	750
CHEMBL1808	CHEMBL254900	180
CHEMBL1808	CHEMBL198316	0.11
CHEMBL1808	CHEMBL400527	1800
CHEMBL1808	CHEMBL1237	91.25
CHEMBL1808	CHEMBL212710	7000
CHEMBL1808	CHEMBL1235767	3753.5
CHEMBL1808	CHEMBL570718	0.4
CHEMBL1808	CHEMBL272925	210
CHEMBL1808	CHEMBL400526	570
CHEMBL1808	CHEMBL254282	250
CHEMBL1808	CHEMBL289556	6
CHEMBL1808	CHEMBL350414	30
CHEMBL1808	CHEMBL253428	310
CHEMBL1808	CHEMBL257026	13000
CHEMBL1808	CHEMBL43370	2.5
CHEMBL1808	CHEMBL386032	33600
CHEMBL1808	CHEMBL425383	14600
CHEMBL1808	CHEMBL212864	43000
CHEMBL1808	CHEMBL252003	1100
CHEMBL1808	CHEMBL577753	1.4
CHEMBL1808	CHEMBL254703	570
CHEMBL1808	CHEMBL251809	2600
CHEMBL1808	CHEMBL271225	3.2
CHEMBL1808	CHEMBL570722	25
CHEMBL1808	CHEMBL367315	13400
CHEMBL1808	CHEMBL215163	13300
CHEMBL1808	CHEMBL435360	45200
CHEMBL1808	CHEMBL305388	1.3
CHEMBL1808	CHEMBL367174	2800
CHEMBL1808	CHEMBL194651	31500
CHEMBL1808	CHEMBL177000	36600
CHEMBL1808	CHEMBL258333	16
CHEMBL1808	CHEMBL551145	300
CHEMBL1808	CHEMBL257726	8.6
CHEMBL1808	CHEMBL271224	840
CHEMBL1808	CHEMBL212711	26300
CHEMBL1808	CHEMBL404117	700
CHEMBL1808	CHEMBL402987	93
CHEMBL1808	CHEMBL269997	200
CHEMBL1808	CHEMBL570842	13
CHEMBL1808	CHEMBL540674	160
CHEMBL1808	CHEMBL570732	0.41
CHEMBL1808	CHEMBL252391	490
CHEMBL1808	CHEMBL560409	280
CHEMBL1808	CHEMBL257727	21
CHEMBL1808	CHEMBL558146	1010
CHEMBL1808	CHEMBL404044	3400
CHEMBL1808	CHEMBL257270	9.3
CHEMBL1808	CHEMBL163454	520
CHEMBL1808	CHEMBL269996	200
CHEMBL1808	CHEMBL570843	16
CHEMBL1808	CHEMBL560685	830
CHEMBL1808	CHEMBL257229	620
CHEMBL1808	CHEMBL570811	5
CHEMBL1808	CHEMBL570740	12
CHEMBL1808	CHEMBL551622	400
CHEMBL1808	CHEMBL570704	20
CHEMBL1892	CHEMBL47009	0.52
CHEMBL1892	CHEMBL2177508	4.7
CHEMBL1892	CHEMBL507394	0.533333333333333
CHEMBL1892	CHEMBL402033	572
CHEMBL1892	CHEMBL447552	16.4
CHEMBL1892	CHEMBL2079727	0.5
CHEMBL1892	CHEMBL2079722	5.4
CHEMBL1892	CHEMBL594122	3000
CHEMBL1892	CHEMBL608392	250
CHEMBL1892	CHEMBL454898	0.454
CHEMBL1892	CHEMBL270594	435
CHEMBL1892	CHEMBL2177507	2.25
CHEMBL1892	CHEMBL408143	4
CHEMBL1892	CHEMBL501400	3.6
CHEMBL1892	CHEMBL1927824	325
CHEMBL1892	CHEMBL1289263	0.55
CHEMBL1892	CHEMBL611038	700
CHEMBL1892	CHEMBL594043	775
CHEMBL1892	CHEMBL607543	2855
CHEMBL1892	CHEMBL593091	795
CHEMBL1892	CHEMBL593324	16.1
CHEMBL1892	CHEMBL611355	13000
CHEMBL1892	CHEMBL1927825	121
CHEMBL1892	CHEMBL1927829	29
CHEMBL1892	CHEMBL596406	7500
CHEMBL1892	CHEMBL508430	0.475
CHEMBL1892	CHEMBL595485	400
CHEMBL1892	CHEMBL2079731	0.25
CHEMBL1892	CHEMBL594019	85.1
CHEMBL1892	CHEMBL594324	575
CHEMBL1892	CHEMBL437209	569
CHEMBL1892	CHEMBL596351	0.915
CHEMBL1892	CHEMBL2021414	1.63333333333333
CHEMBL1892	CHEMBL458202	498
CHEMBL1892	CHEMBL1287900	22
CHEMBL1892	CHEMBL594603	3500
CHEMBL1892	CHEMBL594262	16.2
CHEMBL1892	CHEMBL592915	13000
CHEMBL1892	CHEMBL303352	90
CHEMBL1892	CHEMBL433298	940
CHEMBL1892	CHEMBL2177509	5.6
CHEMBL1892	CHEMBL394011	180
CHEMBL1892	CHEMBL498208	18
CHEMBL1892	CHEMBL2079726	3.6
CHEMBL1892	CHEMBL2177510	38.95
CHEMBL1892	CHEMBL593090	794
CHEMBL1892	CHEMBL596177	3000
CHEMBL1892	CHEMBL65860	20000
CHEMBL1892	CHEMBL454897	0.225
CHEMBL1892	CHEMBL206078	1100
CHEMBL1892	CHEMBL205399	63
CHEMBL1892	CHEMBL510924	0.01
CHEMBL1892	CHEMBL1288738	6100
CHEMBL1892	CHEMBL595184	98.65
CHEMBL1892	CHEMBL496774	10.5
CHEMBL1892	CHEMBL432726	4000
CHEMBL1892	CHEMBL604257	5.3
CHEMBL1892	CHEMBL596208	81
CHEMBL1892	CHEMBL207899	1800
CHEMBL1892	CHEMBL593420	275
CHEMBL1892	CHEMBL207314	1700
CHEMBL1892	CHEMBL270610	125
CHEMBL1892	CHEMBL382398	15
CHEMBL1892	CHEMBL523595	37
CHEMBL1892	CHEMBL402223	140
CHEMBL1892	CHEMBL270824	438
CHEMBL1892	CHEMBL1288739	144
CHEMBL1892	CHEMBL204412	390
CHEMBL1892	CHEMBL208206	15000
CHEMBL1892	CHEMBL595741	153
CHEMBL1892	CHEMBL206733	2400
CHEMBL1892	CHEMBL595669	97.2
CHEMBL1892	CHEMBL279956	9500
CHEMBL1892	CHEMBL122005	67000
CHEMBL1892	CHEMBL496955	443
CHEMBL1892	CHEMBL496977	154
CHEMBL1892	CHEMBL498209	10
CHEMBL1892	CHEMBL1927828	72
CHEMBL1892	CHEMBL377648	640
CHEMBL1892	CHEMBL206804	190
CHEMBL1892	CHEMBL207343	120
CHEMBL1892	CHEMBL207288	32
CHEMBL1892	CHEMBL206885	2200
CHEMBL1892	CHEMBL608106	3430
CHEMBL1892	CHEMBL496748	22
CHEMBL1892	CHEMBL496956	43
CHEMBL1892	CHEMBL206699	440
CHEMBL1892	CHEMBL495511	2
CHEMBL1892	CHEMBL498192	245
CHEMBL1892	CHEMBL456029	10
CHEMBL1892	CHEMBL2152557	16
CHEMBL1892	CHEMBL1927827	20
CHEMBL1892	CHEMBL207350	14
CHEMBL1892	CHEMBL594267	320
CHEMBL1892	CHEMBL2152566	200
CHEMBL1892	CHEMBL593631	475
CHEMBL1892	CHEMBL63454	1200
CHEMBL1892	CHEMBL497388	277
CHEMBL1892	CHEMBL496350	2
CHEMBL1892	CHEMBL496351	4
CHEMBL1892	CHEMBL294565	1400
CHEMBL1892	CHEMBL459278	2960
CHEMBL1892	CHEMBL2177506	62.9
CHEMBL1892	CHEMBL593331	105
CHEMBL1892	CHEMBL595441	24.1
CHEMBL1892	CHEMBL594715	132
CHEMBL1892	CHEMBL593097	23
CHEMBL1892	CHEMBL2152435	5700
CHEMBL1892	CHEMBL496146	1200
CHEMBL1892	CHEMBL2152438	52
CHEMBL1892	CHEMBL2152437	38
CHEMBL1892	CHEMBL61882	6500
CHEMBL1892	CHEMBL595408	5.3
CHEMBL1892	CHEMBL1927826	56
CHEMBL1892	CHEMBL593079	285
CHEMBL1892	CHEMBL2152562	7
CHEMBL1892	CHEMBL383676	1400
CHEMBL1892	CHEMBL379141	730
CHEMBL1892	CHEMBL64901	82
CHEMBL1892	CHEMBL593155	318
CHEMBL1892	CHEMBL594123	11
CHEMBL1892	CHEMBL302413	1400
CHEMBL1892	CHEMBL526469	12
CHEMBL1892	CHEMBL2152564	140
CHEMBL1892	CHEMBL61832	3100
CHEMBL1892	CHEMBL425947	2700
CHEMBL1892	CHEMBL2152439	420
CHEMBL1892	CHEMBL2152559	1400
CHEMBL1892	CHEMBL60941	6000
CHEMBL1892	CHEMBL444446	3
CHEMBL1892	CHEMBL2152434	1300
CHEMBL1892	CHEMBL2152436	340
CHEMBL1892	CHEMBL2152565	69
CHEMBL1892	CHEMBL604488	254
CHEMBL1892	CHEMBL2152555	41
CHEMBL1892	CHEMBL304885	2600
CHEMBL1892	CHEMBL2152561	2
CHEMBL1892	CHEMBL65043	220
CHEMBL1892	CHEMBL58232	1200
CHEMBL1892	CHEMBL60317	1100
CHEMBL1892	CHEMBL51979	43000
CHEMBL1892	CHEMBL2152563	200
CHEMBL1892	CHEMBL2152556	2
CHEMBL1892	CHEMBL209190	15000
CHEMBL1892	CHEMBL2152560	230
CHEMBL1892	CHEMBL61067	2600
CHEMBL1892	CHEMBL292562	580
CHEMBL1892	CHEMBL2152558	930
CHEMBL2200	CHEMBL575881	18000
CHEMBL2200	CHEMBL561963	51
CHEMBL2200	CHEMBL148169	1599
CHEMBL2200	CHEMBL584365	130
CHEMBL2200	CHEMBL572780	150
CHEMBL2200	CHEMBL1939846	39
CHEMBL2200	CHEMBL550548	5000
CHEMBL2200	CHEMBL573714	130
CHEMBL2200	CHEMBL19611	8
CHEMBL2200	CHEMBL579068	6300
CHEMBL2200	CHEMBL179288	51
CHEMBL2200	CHEMBL574605	470
CHEMBL2200	CHEMBL579067	6500
CHEMBL2200	CHEMBL584122	6000
CHEMBL2200	CHEMBL88520	35
CHEMBL2200	CHEMBL1939845	2200
CHEMBL2200	CHEMBL574589	5100
CHEMBL2200	CHEMBL91636	107
CHEMBL2200	CHEMBL574370	220
CHEMBL2200	CHEMBL573935	4300
CHEMBL2200	CHEMBL575896	1300
CHEMBL2200	CHEMBL325163	2000
CHEMBL2200	CHEMBL202875	32040
CHEMBL2200	CHEMBL573936	730
CHEMBL2200	CHEMBL585376	93000
CHEMBL2200	CHEMBL181244	900
CHEMBL2200	CHEMBL550350	15000
CHEMBL2200	CHEMBL573715	32
CHEMBL2200	CHEMBL1939844	1100
CHEMBL2200	CHEMBL584147	1100
CHEMBL2200	CHEMBL575895	31000
CHEMBL2200	CHEMBL573934	1200
CHEMBL2474	CHEMBL1171112	10300
CHEMBL2474	CHEMBL203476	38800
CHEMBL2474	CHEMBL258080	10000
CHEMBL2474	CHEMBL255143	5000
CHEMBL2474	CHEMBL404480	8000
CHEMBL2474	CHEMBL625	47800
CHEMBL2474	CHEMBL270596	6000
CHEMBL2474	CHEMBL199448	35500
CHEMBL2474	CHEMBL193610	7100
CHEMBL2474	CHEMBL2181034	5140
CHEMBL2474	CHEMBL372564	32400
CHEMBL2474	CHEMBL1169657	41200
CHEMBL2474	CHEMBL257930	1000
CHEMBL2474	CHEMBL270142	9000
CHEMBL2474	CHEMBL271696	10
CHEMBL2474	CHEMBL371956	32600
CHEMBL2474	CHEMBL257286	44900
CHEMBL2474	CHEMBL402183	10000
CHEMBL2474	CHEMBL255586	2000
CHEMBL2474	CHEMBL2181035	7450
CHEMBL2474	CHEMBL201143	40100
CHEMBL2474	CHEMBL370771	48500
CHEMBL2474	CHEMBL380979	28800
CHEMBL2474	CHEMBL270813	2000
CHEMBL2474	CHEMBL370581	47000
CHEMBL2474	CHEMBL1738933	5580
CHEMBL2474	CHEMBL352049	32600
CHEMBL2474	CHEMBL199982	34700
CHEMBL2474	CHEMBL270356	2000
CHEMBL2474	CHEMBL199461	41000
CHEMBL2474	CHEMBL89671	8100
CHEMBL2474	CHEMBL1171506	39800
CHEMBL2474	CHEMBL370580	45800
CHEMBL2474	CHEMBL166127	48800
CHEMBL2474	CHEMBL381945	19000
CHEMBL2474	CHEMBL72683	28400
CHEMBL2474	CHEMBL402646	98000
CHEMBL2474	CHEMBL199806	37300
CHEMBL2474	CHEMBL1738934	3590
CHEMBL2474	CHEMBL371481	27600
CHEMBL2474	CHEMBL371544	33900
CHEMBL2474	CHEMBL243303	3900
CHEMBL2474	CHEMBL377198	47000
CHEMBL2474	CHEMBL310555	21500
CHEMBL2474	CHEMBL1170610	42800
CHEMBL280	CHEMBL359669	6
CHEMBL280	CHEMBL279786	5
CHEMBL280	CHEMBL222854	155
CHEMBL280	CHEMBL574605	74
CHEMBL280	CHEMBL584365	25
CHEMBL280	CHEMBL317132	0.016
CHEMBL280	CHEMBL1771221	1.7
CHEMBL280	CHEMBL212411	39
CHEMBL280	CHEMBL593258	1.5
CHEMBL280	CHEMBL572780	12
CHEMBL280	CHEMBL374364	8
CHEMBL280	CHEMBL361326	140
