protein	compound	aveaffinty
CHEMBL1075149	CHEMBL1614646	70000
CHEMBL1075149	CHEMBL421	30000
CHEMBL1075149	CHEMBL1834959	75000
CHEMBL1075149	CHEMBL1834954	30000
CHEMBL1075149	CHEMBL604574	64000
CHEMBL1075149	CHEMBL863	59000
CHEMBL1075149	CHEMBL600474	52000
CHEMBL1075149	CHEMBL601837	60000
CHEMBL1075149	CHEMBL1834956	70000
CHEMBL1075149	CHEMBL94990	15000
CHEMBL1075319	CHEMBL1289953	4
CHEMBL1075319	CHEMBL1650511	0.413
CHEMBL1075319	CHEMBL256087	45133.3333333333
CHEMBL1075319	CHEMBL2324349	4
CHEMBL1250417	CHEMBL1823889	19952.62
CHEMBL1250417	CHEMBL1823880	794.33
CHEMBL1250417	CHEMBL1823886	5011.87
CHEMBL1250417	CHEMBL1823888	5011.87
CHEMBL1250417	CHEMBL1823885	6309.57
CHEMBL1250417	CHEMBL1823667	2511.89
CHEMBL1250417	CHEMBL1823883	39810.72
CHEMBL1250417	CHEMBL1823887	3981.07
CHEMBL1250417	CHEMBL2052019	31.62
CHEMBL1250417	CHEMBL1332972	50118.72
CHEMBL1250417	CHEMBL1823874	316.23
CHEMBL1250417	CHEMBL1823881	794.33
CHEMBL1250417	CHEMBL1823878	158.49
CHEMBL1250417	CHEMBL1823876	1584.89
CHEMBL1250417	CHEMBL1823884	1e+05
CHEMBL1250417	CHEMBL1823665	19952.62
CHEMBL1250417	CHEMBL1823676	39810.72
CHEMBL1250417	CHEMBL1823666	5011.87
CHEMBL1250417	CHEMBL1823677	1258.93
CHEMBL1250417	CHEMBL1823679	31622.78
CHEMBL1250417	CHEMBL1823879	316.23
CHEMBL1250417	CHEMBL1823882	3981.07
CHEMBL1250417	CHEMBL1823875	794.33
CHEMBL1250417	CHEMBL1435630	5011.87
CHEMBL1250417	CHEMBL1823674	3162.28
CHEMBL1250417	CHEMBL1823877	79432.82
CHEMBL1275223	CHEMBL1527520	62000
CHEMBL1275223	CHEMBL471004	5580
CHEMBL1275223	CHEMBL6246	99200
CHEMBL1275223	CHEMBL1608225	53000
CHEMBL1275223	CHEMBL14830	280
CHEMBL1275223	CHEMBL1333555	20200
CHEMBL1275223	CHEMBL1481974	3980
CHEMBL1275223	CHEMBL496	27400
CHEMBL1275223	CHEMBL1528814	25200
CHEMBL1275223	CHEMBL1608153	95200
CHEMBL1275223	CHEMBL1570401	48400
CHEMBL1275223	CHEMBL1363132	14100
CHEMBL1275223	CHEMBL14249	17300
CHEMBL1275223	CHEMBL1334633	27000
CHEMBL1275223	CHEMBL502775	2730
CHEMBL1275223	CHEMBL1447034	21900
CHEMBL1275223	CHEMBL487046	42400
CHEMBL1275223	CHEMBL271690	86000
CHEMBL1293274	CHEMBL1441794	4990
CHEMBL1293274	CHEMBL1583797	14580
CHEMBL1293274	CHEMBL1542453	700
CHEMBL1293274	CHEMBL1420111	2935
CHEMBL1293274	CHEMBL1428441	34890
CHEMBL1293274	CHEMBL1461216	7710
CHEMBL1293274	CHEMBL1313635	9505
CHEMBL1293274	CHEMBL1506901	20050
CHEMBL1293274	CHEMBL1415893	2660
CHEMBL1293274	CHEMBL1965155	15615
CHEMBL1293274	CHEMBL1312519	88900
CHEMBL1293274	CHEMBL1439364	20460
CHEMBL1293274	CHEMBL1326803	21710
CHEMBL1293274	CHEMBL1426560	16125
CHEMBL1293274	CHEMBL1320897	5430
CHEMBL1293274	CHEMBL1307845	93820
CHEMBL1293274	CHEMBL1318827	96500
CHEMBL1293274	CHEMBL1364118	41305
CHEMBL1293274	CHEMBL1469858	5705
CHEMBL1293274	CHEMBL1407474	23645
CHEMBL1293274	CHEMBL1406127	59210
CHEMBL1293274	CHEMBL1339277	10305
CHEMBL1293274	CHEMBL1510325	15660
CHEMBL1293274	CHEMBL411502	78530
CHEMBL1293274	CHEMBL1510003	10675
CHEMBL1293274	CHEMBL1603147	8230
CHEMBL1293274	CHEMBL1349451	12545
CHEMBL1293274	CHEMBL1439545	10170
CHEMBL1293274	CHEMBL1423236	60870
CHEMBL1293274	CHEMBL1578367	10270
CHEMBL1293274	CHEMBL1563084	11490
CHEMBL1293274	CHEMBL1303289	85930
CHEMBL1293274	CHEMBL1589193	50985
CHEMBL1293274	CHEMBL1487716	72240
CHEMBL1293274	CHEMBL1612391	43140
CHEMBL1293274	CHEMBL1985932	14685
CHEMBL1293274	CHEMBL1355123	90800
CHEMBL1293274	CHEMBL1358933	31695
CHEMBL1293274	CHEMBL1602624	21940
CHEMBL1293274	CHEMBL1587391	12010
CHEMBL1293274	CHEMBL1422183	2310
CHEMBL1293274	CHEMBL1582188	58030
CHEMBL1293274	CHEMBL1561115	50365
CHEMBL1293274	CHEMBL1385494	8280
CHEMBL1293274	CHEMBL1991440	15425
CHEMBL1293274	CHEMBL1490082	34660
CHEMBL1293274	CHEMBL1459844	21795
CHEMBL1293274	CHEMBL1422657	7250
CHEMBL1293274	CHEMBL1448744	11095
CHEMBL1293274	CHEMBL1359526	48285
CHEMBL1293274	CHEMBL1367248	11095
CHEMBL1293274	CHEMBL1575292	28155
CHEMBL1293274	CHEMBL1993780	4815
CHEMBL1293274	CHEMBL1325618	24160
CHEMBL1293274	CHEMBL1602954	15115
CHEMBL1293274	CHEMBL1364684	97910
CHEMBL1293274	CHEMBL1382280	10990
CHEMBL1293274	CHEMBL1319613	25930
CHEMBL1293274	CHEMBL1594808	56190
CHEMBL1293274	CHEMBL1301276	75100
CHEMBL1293274	CHEMBL1350188	48640
CHEMBL1293274	CHEMBL1567502	65270
CHEMBL1293274	CHEMBL1398945	14680
CHEMBL1293274	CHEMBL1480992	92180
CHEMBL1293274	CHEMBL1321388	12265
CHEMBL1293274	CHEMBL1339518	97840
CHEMBL1293274	CHEMBL1411777	36695
CHEMBL1293274	CHEMBL1586498	13340
CHEMBL1293274	CHEMBL585964	99060
CHEMBL1293274	CHEMBL1452833	82200
CHEMBL1293274	CHEMBL1978327	23575
CHEMBL1293274	CHEMBL1353644	13100
CHEMBL1293286	CHEMBL1469272	4470
CHEMBL1293286	CHEMBL1610821	5930
CHEMBL1293286	CHEMBL1423536	7435
CHEMBL1293286	CHEMBL1355123	5630
CHEMBL1293286	CHEMBL1333544	7075
CHEMBL1293286	CHEMBL411502	29910
CHEMBL1293286	CHEMBL1572009	12180
CHEMBL1293286	CHEMBL1535072	5955
CHEMBL1293286	CHEMBL1461216	8960
CHEMBL1293286	CHEMBL1563641	2810
CHEMBL1293286	CHEMBL1469858	4535
CHEMBL1293286	CHEMBL1577127	2725
CHEMBL1293286	CHEMBL1490082	42800
CHEMBL1293286	CHEMBL1319613	67770
CHEMBL1293286	CHEMBL1321632	13395
CHEMBL1293286	CHEMBL1318903	11935
CHEMBL1293286	CHEMBL1416798	4405
CHEMBL1293286	CHEMBL1318827	3685
CHEMBL1293286	CHEMBL1411577	8165
CHEMBL1293286	CHEMBL1573412	5320
CHEMBL1293286	CHEMBL1589193	62980
CHEMBL1293286	CHEMBL1415644	10265
CHEMBL1293286	CHEMBL1451147	6610
CHEMBL1293286	CHEMBL1388052	5270
CHEMBL1293286	CHEMBL1582492	8145
CHEMBL1293286	CHEMBL1383109	6160
CHEMBL1293286	CHEMBL1423915	1850
CHEMBL1293286	CHEMBL1349518	21550
CHEMBL1293286	CHEMBL1414701	7590
CHEMBL1293286	CHEMBL1458352	11520
CHEMBL1293286	CHEMBL1320897	5405
CHEMBL1293286	CHEMBL1601708	11795
CHEMBL1293286	CHEMBL1312519	5920
CHEMBL1293286	CHEMBL1407474	69430
CHEMBL1293286	CHEMBL1489703	10555
CHEMBL1293286	CHEMBL1510325	71310
CHEMBL1293286	CHEMBL1343383	5700
CHEMBL1293286	CHEMBL1359526	4320
CHEMBL1293286	CHEMBL1313635	76190
CHEMBL1293286	CHEMBL1400038	14210
CHEMBL1293286	CHEMBL1575077	7975
CHEMBL1293286	CHEMBL1562954	4585
