protein	compound	aveaffinty
CHEMBL1293293	CHEMBL2314298	820
CHEMBL1293293	CHEMBL1940543	6
CHEMBL1293293	CHEMBL2314293	250
CHEMBL1293293	CHEMBL2314291	100
CHEMBL1293293	CHEMBL1981304	220
CHEMBL1293293	CHEMBL2314320	140
CHEMBL1293293	CHEMBL2314307	1400
CHEMBL1293293	CHEMBL1965488	290
CHEMBL1293293	CHEMBL1940542	18
CHEMBL1293293	CHEMBL1968640	780
CHEMBL1293293	CHEMBL2314300	250
CHEMBL1293293	CHEMBL1736481	1700
CHEMBL1293293	CHEMBL1977515	640
CHEMBL1293293	CHEMBL2314310	1000
CHEMBL1293293	CHEMBL1979763	980
CHEMBL1293293	CHEMBL2314292	1100
CHEMBL1293293	CHEMBL2314621	370
CHEMBL1293293	CHEMBL2314305	780
CHEMBL1293293	CHEMBL2314324	350
CHEMBL1293293	CHEMBL1973416	3100
CHEMBL1293293	CHEMBL2314318	320
CHEMBL1293293	CHEMBL1969065	280
CHEMBL1293293	CHEMBL1985845	1400
CHEMBL1293293	CHEMBL1964671	260
CHEMBL1293293	CHEMBL1980609	640
CHEMBL1293293	CHEMBL2314301	240
CHEMBL1293293	CHEMBL1987422	240
CHEMBL1293293	CHEMBL2314323	220
CHEMBL1293293	CHEMBL2314308	370
CHEMBL1293293	CHEMBL1940539	5.9
CHEMBL1293293	CHEMBL1972527	120
CHEMBL1293293	CHEMBL2001553	830
CHEMBL1293293	CHEMBL2314327	3400
CHEMBL1293293	CHEMBL2005648	360
CHEMBL1293293	CHEMBL1970441	1800
CHEMBL1293293	CHEMBL2314309	1800
CHEMBL1293293	CHEMBL2314331	1900
CHEMBL1293293	CHEMBL2314619	18000
CHEMBL1293293	CHEMBL2314319	1500
CHEMBL1293293	CHEMBL2314297	610
CHEMBL1293293	CHEMBL1977658	1200
CHEMBL1293293	CHEMBL2314321	4200
CHEMBL1293293	CHEMBL2314288	430
CHEMBL1293293	CHEMBL2314311	410
CHEMBL1293293	CHEMBL2314322	360
CHEMBL1293293	CHEMBL2314306	370
CHEMBL1293293	CHEMBL2314304	3700
CHEMBL1293293	CHEMBL1995776	670
CHEMBL1293293	CHEMBL2314325	2000
CHEMBL1293293	CHEMBL2002956	530
CHEMBL1293293	CHEMBL2314295	530
CHEMBL1293293	CHEMBL1977285	18000
CHEMBL1293293	CHEMBL2314330	11600
CHEMBL1293293	CHEMBL1940541	95
CHEMBL1293293	CHEMBL2314290	4400
CHEMBL1293293	CHEMBL2314294	5500
CHEMBL1293293	CHEMBL2000954	430
CHEMBL1293293	CHEMBL2314326	370
CHEMBL1293293	CHEMBL2314316	590
