protein	compound	aveaffinty
CHEMBL1801	CHEMBL227583	13000
CHEMBL1801	CHEMBL238902	40000
CHEMBL1801	CHEMBL391968	900
CHEMBL1801	CHEMBL1945765	20000
CHEMBL1801	CHEMBL227976	39000
CHEMBL1801	CHEMBL1945764	4000
CHEMBL1801	CHEMBL385897	990
CHEMBL1801	CHEMBL239331	30000
CHEMBL1801	CHEMBL389056	45000
CHEMBL1801	CHEMBL226714	65000
CHEMBL1801	CHEMBL214814	37
CHEMBL1801	CHEMBL227781	3200
CHEMBL1801	CHEMBL385900	1540
CHEMBL1801	CHEMBL227607	32000
CHEMBL1801	CHEMBL227890	71000
CHEMBL1801	CHEMBL384263	8000
CHEMBL1801	CHEMBL239118	2000
CHEMBL1801	CHEMBL212616	440
CHEMBL1801	CHEMBL227425	23000
CHEMBL1801	CHEMBL263977	15000
CHEMBL1801	CHEMBL227422	16000
CHEMBL1801	CHEMBL405546	7200
CHEMBL1801	CHEMBL227421	27000
CHEMBL1801	CHEMBL374623	33000
CHEMBL1801	CHEMBL214539	900
CHEMBL1801	CHEMBL411215	5000
CHEMBL1801	CHEMBL228170	16000
CHEMBL1801	CHEMBL106202	2710
CHEMBL1801	CHEMBL227666	41000
CHEMBL1801	CHEMBL386249	900
CHEMBL1801	CHEMBL386275	1700
CHEMBL1801	CHEMBL381709	201
CHEMBL1801	CHEMBL215961	900
CHEMBL1801	CHEMBL393979	2800
CHEMBL1801	CHEMBL404226	5000
CHEMBL1801	CHEMBL19902	23000
CHEMBL1801	CHEMBL212209	880
CHEMBL1801	CHEMBL239535	3000
CHEMBL1801	CHEMBL213216	10000
CHEMBL1801	CHEMBL1945767	6500
CHEMBL1801	CHEMBL311761	1800
CHEMBL1801	CHEMBL380220	840
CHEMBL1801	CHEMBL379960	640
CHEMBL1801	CHEMBL385158	1900
CHEMBL1801	CHEMBL210244	1400
CHEMBL1801	CHEMBL311067	10800
CHEMBL1801	CHEMBL224689	9800
CHEMBL1801	CHEMBL379174	4030
CHEMBL1801	CHEMBL2315238	1.71
CHEMBL1801	CHEMBL238493	11000
CHEMBL1801	CHEMBL2332603	4300
CHEMBL1801	CHEMBL80844	2000
CHEMBL1801	CHEMBL99951	26000
CHEMBL1801	CHEMBL212014	2500
CHEMBL1801	CHEMBL223864	15000
CHEMBL1801	CHEMBL189823	4200
CHEMBL1801	CHEMBL393591	13000
CHEMBL1801	CHEMBL1923468	15780
CHEMBL1801	CHEMBL211561	430
CHEMBL1801	CHEMBL2332606	14200
