protein	compound	aveaffinty
CHEMBL1641347	CHEMBL1231530	23600
CHEMBL1641347	CHEMBL1778337	14500
CHEMBL1641347	CHEMBL556937	98000
CHEMBL1641347	CHEMBL461	66000
CHEMBL1641347	CHEMBL463	6020
CHEMBL1641347	CHEMBL119625	3000
CHEMBL1641348	CHEMBL119625	6600
CHEMBL1743122	CHEMBL941	4200
CHEMBL1743122	CHEMBL55	1200
CHEMBL1743122	CHEMBL959	4400
CHEMBL1743122	CHEMBL58	73300
CHEMBL1743122	CHEMBL84	61000
CHEMBL1743122	CHEMBL360861	10300
CHEMBL1743122	CHEMBL87563	900
CHEMBL1743122	CHEMBL902	36100
CHEMBL1743122	CHEMBL46	1700
CHEMBL1743122	CHEMBL590799	16500
CHEMBL1743122	CHEMBL2	13600
CHEMBL1743122	CHEMBL603	9700
CHEMBL1743122	CHEMBL290106	1900
CHEMBL1743122	CHEMBL163	24800
CHEMBL1743122	CHEMBL1106	4300
CHEMBL1743122	CHEMBL339427	78800
CHEMBL1743122	CHEMBL790	400
CHEMBL1743122	CHEMBL48361	4700
CHEMBL1743122	CHEMBL481	2700
CHEMBL1743122	CHEMBL1200629	3500
CHEMBL1743122	CHEMBL364713	2600
CHEMBL1743122	CHEMBL85	11000
CHEMBL1743122	CHEMBL691	2200
CHEMBL1743122	CHEMBL1423	34200
CHEMBL1743122	CHEMBL723	7500
CHEMBL1743122	CHEMBL1732	49900
CHEMBL1743122	CHEMBL49	12000
CHEMBL1743122	CHEMBL1502	1500
CHEMBL1743122	CHEMBL219916	7900
CHEMBL1743122	CHEMBL289469	4300
CHEMBL1903	CHEMBL1642399	53.7
CHEMBL1903	CHEMBL537641	1240
CHEMBL1903	CHEMBL1027	365.66
CHEMBL1903	CHEMBL536277	680
CHEMBL1903	CHEMBL553630	4340
CHEMBL1903	CHEMBL77575	81500
CHEMBL1903	CHEMBL1642388	46.77
CHEMBL1903	CHEMBL556819	340
CHEMBL1903	CHEMBL538322	66300
CHEMBL1903	CHEMBL534481	840
CHEMBL1903	CHEMBL1642402	138.04
CHEMBL1903	CHEMBL1642366	1905.46
CHEMBL1903	CHEMBL558563	1500
CHEMBL1903	CHEMBL1642374	69.18
CHEMBL1903	CHEMBL1642385	77.62
CHEMBL1903	CHEMBL1642389	158.49
CHEMBL1903	CHEMBL1642387	89.13
CHEMBL1903	CHEMBL1642401	38.9
CHEMBL1903	CHEMBL1642371	645.65
CHEMBL1903	CHEMBL1642382	58.88
CHEMBL1903	CHEMBL1642392	380.19
CHEMBL1903	CHEMBL553629	27600
CHEMBL1903	CHEMBL1642372	691.83
CHEMBL1903	CHEMBL538830	7100
CHEMBL1903	CHEMBL1642384	33.88
CHEMBL1903	CHEMBL38686	130
CHEMBL1903	CHEMBL1642365	199.53
CHEMBL1903	CHEMBL1642398	52.48
CHEMBL1903	CHEMBL535829	2800
CHEMBL1903	CHEMBL559211	650
CHEMBL1903	CHEMBL557786	940
CHEMBL1903	CHEMBL1641613	14.79
CHEMBL1903	CHEMBL1642394	41.69
CHEMBL1903	CHEMBL1642390	354.81
CHEMBL1903	CHEMBL1642363	371.54
CHEMBL1903	CHEMBL1642403	831.76
CHEMBL1903	CHEMBL1642367	93.33
CHEMBL1903	CHEMBL1642395	38.02
CHEMBL1903	CHEMBL1642393	70.79
CHEMBL1903	CHEMBL1642386	72.44
CHEMBL1903	CHEMBL1642377	93.33
CHEMBL1903	CHEMBL1642373	380.19
CHEMBL1903	CHEMBL1642379	29.51
CHEMBL1903	CHEMBL1642380	1071.52
CHEMBL1903	CHEMBL1642381	56.23
CHEMBL1903	CHEMBL556993	12300
CHEMBL1903	CHEMBL1628571	40
CHEMBL1903	CHEMBL77626	72.44
CHEMBL1903	CHEMBL1642391	61.66
CHEMBL1903	CHEMBL1642383	331.13
CHEMBL1903	CHEMBL1642404	2754.23
CHEMBL1903	CHEMBL1642376	28.84
CHEMBL1903	CHEMBL1642400	19.05
CHEMBL1903	CHEMBL1642370	371.54
CHEMBL1903	CHEMBL1642397	21.88
CHEMBL1903	CHEMBL1628533	4000
CHEMBL1903	CHEMBL1642364	165.96
CHEMBL1903	CHEMBL1642368	102.33
CHEMBL1903	CHEMBL1642375	40.74
CHEMBL1903	CHEMBL77287	260
CHEMBL1903	CHEMBL1642378	20.42
CHEMBL1903	CHEMBL1628719	2000
CHEMBL1903	CHEMBL553557	1360
CHEMBL1903	CHEMBL1642369	676.08
CHEMBL1903	CHEMBL1642396	18.2
CHEMBL1997	CHEMBL239670	11
CHEMBL1997	CHEMBL61524	34.67
CHEMBL1997	CHEMBL239454	33
CHEMBL1997	CHEMBL428031	394
CHEMBL1997	CHEMBL239889	11
CHEMBL1997	CHEMBL59195	19.05
CHEMBL1997	CHEMBL239888	243
CHEMBL1997	CHEMBL393342	11
CHEMBL1997	CHEMBL391651	247
CHEMBL1997	CHEMBL418509	1.68966666666667
CHEMBL1997	CHEMBL569223	2.582
CHEMBL1997	CHEMBL393120	325
CHEMBL1997	CHEMBL59683	87.1
CHEMBL1997	CHEMBL60779	1905.46
CHEMBL1997	CHEMBL441851	236
CHEMBL1997	CHEMBL395528	4572
CHEMBL1997	CHEMBL432688	7.08
CHEMBL1997	CHEMBL239669	400
CHEMBL1997	CHEMBL240101	34
CHEMBL1997	CHEMBL610234	0.64
CHEMBL1997	CHEMBL239887	86
CHEMBL1997	CHEMBL607955	3
CHEMBL1997	CHEMBL571939	0.709
CHEMBL1997	CHEMBL58072	12.59
CHEMBL1997	CHEMBL59168	16.22
CHEMBL1997	CHEMBL292248	10000
CHEMBL1997	CHEMBL397453	2805
CHEMBL1997	CHEMBL239451	429
CHEMBL1997	CHEMBL242893	1271.5
CHEMBL1997	CHEMBL393322	125
CHEMBL1997	CHEMBL361332	1519
CHEMBL1997	CHEMBL126075	1
CHEMBL1997	CHEMBL569224	1.00833333333333
CHEMBL1997	CHEMBL293957	46.77
CHEMBL1997	CHEMBL61741	4.37
CHEMBL1997	CHEMBL395529	156.9
CHEMBL1997	CHEMBL239455	357
CHEMBL1997	CHEMBL242890	1786
CHEMBL1997	CHEMBL363111	264
CHEMBL1997	CHEMBL243524	1804.5
CHEMBL1997	CHEMBL609365	744
CHEMBL1997	CHEMBL242009	2023.7
CHEMBL1997	CHEMBL366142	130
CHEMBL1997	CHEMBL242657	7.185
CHEMBL1997	CHEMBL362511	2200
CHEMBL1997	CHEMBL932	52.0466666666667
CHEMBL1997	CHEMBL1628532	0.398
CHEMBL1997	CHEMBL183236	856.3
CHEMBL1997	CHEMBL610236	3.6
CHEMBL1997	CHEMBL187355	110
CHEMBL1997	CHEMBL608794	5.4
CHEMBL1997	CHEMBL61773	1.78
CHEMBL1997	CHEMBL294755	15.14
CHEMBL1997	CHEMBL188996	361
CHEMBL1997	CHEMBL243119	355.5
CHEMBL1997	CHEMBL188590	488
CHEMBL1997	CHEMBL394171	0.8005
CHEMBL1997	CHEMBL438046	18.89
CHEMBL1997	CHEMBL391838	25
CHEMBL1997	CHEMBL361422	51
CHEMBL1997	CHEMBL395530	1307.95
CHEMBL1997	CHEMBL239246	2.1
CHEMBL1997	CHEMBL187763	225
CHEMBL1997	CHEMBL185832	2709
CHEMBL1997	CHEMBL429101	355
CHEMBL1997	CHEMBL362047	135
CHEMBL1997	CHEMBL391730	24
CHEMBL1997	CHEMBL261227	15
CHEMBL1997	CHEMBL1628717	0.316
CHEMBL1997	CHEMBL369726	29
CHEMBL1997	CHEMBL610047	2.3
CHEMBL1997	CHEMBL609378	5.3
CHEMBL1997	CHEMBL60662	36.475
CHEMBL1997	CHEMBL185657	2165
CHEMBL1997	CHEMBL396716	2022.35
CHEMBL1997	CHEMBL260570	0.45
CHEMBL1997	CHEMBL60735	23.99
CHEMBL1997	CHEMBL188889	563
CHEMBL1997	CHEMBL187691	1544
CHEMBL1997	CHEMBL394012	24
CHEMBL1997	CHEMBL239248	193
CHEMBL1997	CHEMBL609376	410
CHEMBL1997	CHEMBL610235	3.7
CHEMBL1997	CHEMBL540448	67.61
CHEMBL1997	CHEMBL470024	114.82
CHEMBL1997	CHEMBL371196	196
CHEMBL1997	CHEMBL261226	300
CHEMBL1997	CHEMBL365723	39
CHEMBL1997	CHEMBL364556	3340
CHEMBL1997	CHEMBL398221	4198
CHEMBL1997	CHEMBL92870	2616.95
CHEMBL1997	CHEMBL188630	422
CHEMBL1997	CHEMBL388875	159.55
CHEMBL1997	CHEMBL425719	281
CHEMBL1997	CHEMBL68738	1100
CHEMBL1997	CHEMBL365194	154
CHEMBL1997	CHEMBL187276	89
CHEMBL1997	CHEMBL61915	4.57
