protein	compound	aveaffinty
CHEMBL1835	CHEMBL91	263
CHEMBL1835	CHEMBL429786	40000
CHEMBL1835	CHEMBL193	18594
CHEMBL1835	CHEMBL787	1525
CHEMBL1835	CHEMBL283196	6760.8
CHEMBL1835	CHEMBL11662	10000
CHEMBL1835	CHEMBL14192	602
CHEMBL1835	CHEMBL44365	25
CHEMBL1835	CHEMBL298130	78
CHEMBL1835	CHEMBL50916	29
CHEMBL1835	CHEMBL180650	950
CHEMBL1835	CHEMBL44	7720
CHEMBL1835	CHEMBL159	1870
CHEMBL1835	CHEMBL295698	2165
CHEMBL1835	CHEMBL1159655	21110
CHEMBL1835	CHEMBL299878	125
CHEMBL1835	CHEMBL291338	4927
CHEMBL1835	CHEMBL12020	85000
CHEMBL1835	CHEMBL51875	340
CHEMBL1835	CHEMBL297712	120
CHEMBL1835	CHEMBL11811	3000
CHEMBL1835	CHEMBL292331	13.6666666666667
CHEMBL1835	CHEMBL105139	90
CHEMBL1835	CHEMBL102692	135
CHEMBL1835	CHEMBL182032	1400
CHEMBL1835	CHEMBL290106	1840
CHEMBL1835	CHEMBL115	1851
CHEMBL1835	CHEMBL603	3810
CHEMBL1835	CHEMBL51526	54
CHEMBL1835	CHEMBL12340	20000
CHEMBL1835	CHEMBL301520	790
CHEMBL1835	CHEMBL267473	551.5
CHEMBL1835	CHEMBL460291	1694
CHEMBL1835	CHEMBL198965	78
CHEMBL1835	CHEMBL125519	4
CHEMBL1835	CHEMBL62834	11
CHEMBL1835	CHEMBL17957	4100
CHEMBL1835	CHEMBL1016	3059.4
CHEMBL1835	CHEMBL506247	325
CHEMBL1835	CHEMBL278714	50
CHEMBL1835	CHEMBL46571	32
CHEMBL1835	CHEMBL195437	66049
CHEMBL1835	CHEMBL48092	3.1
CHEMBL1835	CHEMBL430965	50
CHEMBL1835	CHEMBL17796	900
CHEMBL1835	CHEMBL295673	34
CHEMBL1835	CHEMBL47164	18
CHEMBL1835	CHEMBL46866	12
CHEMBL1835	CHEMBL1221	183
CHEMBL1835	CHEMBL18325	7400
CHEMBL1835	CHEMBL83	916
CHEMBL1835	CHEMBL1262	617.4
CHEMBL1835	CHEMBL442	3064
CHEMBL1835	CHEMBL46912	15
CHEMBL1835	CHEMBL42217	71
CHEMBL1835	CHEMBL434063	2953
CHEMBL1835	CHEMBL43141	17
CHEMBL1835	CHEMBL296006	22
CHEMBL1835	CHEMBL46561	43
CHEMBL1835	CHEMBL47165	40
CHEMBL1835	CHEMBL279847	19
CHEMBL1835	CHEMBL17912	120
CHEMBL1835	CHEMBL941	198
CHEMBL1835	CHEMBL277167	18
CHEMBL1835	CHEMBL496	3087
CHEMBL1835	CHEMBL65161	43
CHEMBL1835	CHEMBL163	76
CHEMBL1835	CHEMBL17797	80
CHEMBL1835	CHEMBL65414	2
CHEMBL1835	CHEMBL18422	70
CHEMBL1835	CHEMBL116	6727
CHEMBL1835	CHEMBL428	4023
CHEMBL1835	CHEMBL808	29
CHEMBL1835	CHEMBL70901	150
CHEMBL1835	CHEMBL278458	490
CHEMBL1835	CHEMBL289812	37
CHEMBL1835	CHEMBL10	494
CHEMBL1835	CHEMBL557333	31
CHEMBL1835	CHEMBL51158	54
CHEMBL1835	CHEMBL44149	34
CHEMBL1835	CHEMBL408	2966
CHEMBL1835	CHEMBL43218	30
CHEMBL1835	CHEMBL2111947	4000
CHEMBL1835	CHEMBL104	14
CHEMBL1835	CHEMBL341591	35000
CHEMBL1835	CHEMBL334255	6452
CHEMBL1835	CHEMBL1385840	1993
CHEMBL1835	CHEMBL47189	27
CHEMBL1835	CHEMBL301280	7
CHEMBL1835	CHEMBL421	19639
CHEMBL1835	CHEMBL121	3560
CHEMBL1835	CHEMBL114	2182
CHEMBL1835	CHEMBL12131	64
CHEMBL1835	CHEMBL411	4359
CHEMBL1908	CHEMBL598606	43.825
CHEMBL1908	CHEMBL598790	26.96
CHEMBL1908	CHEMBL599623	123.015
CHEMBL1908	CHEMBL1209625	76
CHEMBL1908	CHEMBL1765210	103
CHEMBL1908	CHEMBL597101	25.06
CHEMBL1908	CHEMBL1765208	545
CHEMBL1908	CHEMBL599603	19.975
CHEMBL1908	CHEMBL598399	47.93
CHEMBL1908	CHEMBL597578	28.09
CHEMBL1908	CHEMBL591465	115.41
CHEMBL1908	CHEMBL402522	329
CHEMBL1908	CHEMBL610794	181.485
CHEMBL1908	CHEMBL1765209	158
CHEMBL1908	CHEMBL597577	12.01
CHEMBL1908	CHEMBL598789	32.18
CHEMBL1908	CHEMBL1083652	99.1
CHEMBL1908	CHEMBL1172882	342
CHEMBL1908	CHEMBL610501	15.925
CHEMBL1908	CHEMBL1765213	141
CHEMBL1908	CHEMBL599602	308.015
CHEMBL1908	CHEMBL496262	3109
CHEMBL1908	CHEMBL598810	18.1
CHEMBL1908	CHEMBL1209623	55.7
CHEMBL1908	CHEMBL607862	6.185
CHEMBL1908	CHEMBL1209476	26.1
CHEMBL1908	CHEMBL213588	187
CHEMBL1908	CHEMBL2011240	971
CHEMBL1908	CHEMBL377766	27
CHEMBL1908	CHEMBL1765211	2045
CHEMBL1908	CHEMBL212473	7
CHEMBL1908	CHEMBL610513	5.725
CHEMBL1908	CHEMBL1765206	2296
CHEMBL1908	CHEMBL2011242	61
CHEMBL1908	CHEMBL607567	129.41
CHEMBL1908	CHEMBL599624	111.6
CHEMBL1908	CHEMBL2011243	168
CHEMBL1908	CHEMBL2011241	500
CHEMBL1908	CHEMBL1209624	119
CHEMBL1908	CHEMBL1173327	702
CHEMBL1908	CHEMBL367483	6.9
CHEMBL1908	CHEMBL597173	7.04
CHEMBL1908	CHEMBL1765212	1288
CHEMBL1908	CHEMBL2333327	19.2
CHEMBL1908	CHEMBL175091	12.3
CHEMBL1908	CHEMBL934	14.8
CHEMBL1908	CHEMBL177921	15
CHEMBL1908	CHEMBL442373	13.4
CHEMBL1908	CHEMBL1765229	44
CHEMBL1908	CHEMBL1171991	7180
CHEMBL1908	CHEMBL2011244	72
CHEMBL1908	CHEMBL1765227	1374
CHEMBL1908	CHEMBL1556445	663
CHEMBL1908	CHEMBL2312971	36
CHEMBL1908	CHEMBL599601	283.42
CHEMBL1908	CHEMBL78322	6.7
CHEMBL1908	CHEMBL599622	104.355
CHEMBL1908	CHEMBL272749	213
CHEMBL1908	CHEMBL2312961	92
CHEMBL1908	CHEMBL2333328	156.3
CHEMBL1908	CHEMBL1440486	816
CHEMBL1908	CHEMBL523196	640
CHEMBL1908	CHEMBL1645407	14300
CHEMBL1908	CHEMBL1172779	1400
CHEMBL1908	CHEMBL178036	6.1
CHEMBL1908	CHEMBL1172842	5060
CHEMBL1908	CHEMBL1765231	4646
CHEMBL1908	CHEMBL1765228	21
CHEMBL1908	CHEMBL591698	47.93
CHEMBL1908	CHEMBL592614	57.27
CHEMBL1908	CHEMBL493485	953
