protein	compound	aveaffinty
CHEMBL1075097	CHEMBL1834160	60000
CHEMBL1075097	CHEMBL1099169	3000
CHEMBL1075105	CHEMBL1088572	314
CHEMBL1075115	CHEMBL1802358	520
CHEMBL1075115	CHEMBL269538	9500
CHEMBL1075138	CHEMBL2312914	46000
CHEMBL1075138	CHEMBL2170147	20000
CHEMBL1075138	CHEMBL2172212	12000
CHEMBL1075138	CHEMBL2170127	12890
CHEMBL1075138	CHEMBL591964	18260
CHEMBL1075138	CHEMBL2170121	21800
CHEMBL1075138	CHEMBL2170148	29000
CHEMBL1075138	CHEMBL333363	16345
CHEMBL1075138	CHEMBL2170122	13500
CHEMBL1075138	CHEMBL2312908	6700
CHEMBL1075138	CHEMBL601298	14000
CHEMBL1075138	CHEMBL242413	37000
CHEMBL1075138	CHEMBL2057323	1710
CHEMBL1075138	CHEMBL2170137	22350
CHEMBL1075138	CHEMBL2312906	5200
CHEMBL1075138	CHEMBL2170141	44000
CHEMBL1075138	CHEMBL601283	9580
CHEMBL1075138	CHEMBL1504370	40000
CHEMBL1075138	CHEMBL2312899	15000
CHEMBL1075138	CHEMBL2312896	5000
CHEMBL1075138	CHEMBL2170142	75000
CHEMBL1075138	CHEMBL2172214	18000
CHEMBL1075138	CHEMBL2170144	34000
CHEMBL1075138	CHEMBL2312893	11000
CHEMBL1075138	CHEMBL2170125	40050
CHEMBL1075138	CHEMBL2170126	41550
CHEMBL1075138	CHEMBL2170149	35600
CHEMBL1075138	CHEMBL2170138	51000
CHEMBL1075138	CHEMBL2170136	8500
CHEMBL1075138	CHEMBL591472	5000
CHEMBL1075138	CHEMBL591237	35000
CHEMBL1075138	CHEMBL591965	38145
CHEMBL1075138	CHEMBL2170143	46000
CHEMBL1075138	CHEMBL590804	75110
CHEMBL1075138	CHEMBL2170145	32000
CHEMBL1075138	CHEMBL2170139	19000
CHEMBL1075138	CHEMBL2170135	7350
CHEMBL1075138	CHEMBL223545	13450
CHEMBL1075138	CHEMBL218884	5800
CHEMBL1075138	CHEMBL387152	5710
CHEMBL1075138	CHEMBL591966	42800
CHEMBL1075138	CHEMBL2312571	18000
CHEMBL1075138	CHEMBL590542	47395
CHEMBL1075138	CHEMBL2312570	45000
CHEMBL1075138	CHEMBL2170140	28000
CHEMBL1075138	CHEMBL427251	48500
CHEMBL1075138	CHEMBL600867	89715
CHEMBL1075138	CHEMBL223773	17700
CHEMBL1075138	CHEMBL2170150	18000
CHEMBL1075138	CHEMBL550345	30000
CHEMBL1075138	CHEMBL2170154	12000
CHEMBL1075138	CHEMBL375623	11000
CHEMBL1075138	CHEMBL388801	24050
CHEMBL1075138	CHEMBL590803	66900
CHEMBL1075138	CHEMBL188130	66650
CHEMBL1075138	CHEMBL225390	29900
CHEMBL1075138	CHEMBL376179	47500
CHEMBL1075138	CHEMBL77030	12000
CHEMBL1075138	CHEMBL2312886	37000
CHEMBL1075138	CHEMBL2312884	37000
CHEMBL1075138	CHEMBL2312882	37000
CHEMBL1075138	CHEMBL2312904	12000
CHEMBL1075138	CHEMBL187863	22850
CHEMBL1075138	CHEMBL24057	31000
CHEMBL1075138	CHEMBL2170158	74000
CHEMBL1075138	CHEMBL225093	22750
CHEMBL1075138	CHEMBL2170133	15000
CHEMBL1075138	CHEMBL2312883	37000
CHEMBL1075138	CHEMBL2312572	37000
CHEMBL1075138	CHEMBL2170123	12000
CHEMBL1075138	CHEMBL2170124	5800
CHEMBL1075138	CHEMBL2170129	26000
CHEMBL1075138	CHEMBL2170162	13000
CHEMBL1075138	CHEMBL2170134	15000
CHEMBL1075138	CHEMBL2172208	37000
CHEMBL1075138	CHEMBL390611	30000
CHEMBL1075138	CHEMBL2036061	18000
CHEMBL1075138	CHEMBL2170128	39000
CHEMBL1075138	CHEMBL2170131	11000
CHEMBL1075138	CHEMBL2170132	48000
CHEMBL1075138	CHEMBL2170130	34000
CHEMBL1075138	CHEMBL538427	27000
CHEMBL1075138	CHEMBL213072	12000
CHEMBL1075169	CHEMBL1088572	676
CHEMBL1163101	CHEMBL574738	6000
CHEMBL1163101	CHEMBL162	21
CHEMBL1163101	CHEMBL1908392	2000
CHEMBL1163101	CHEMBL1721885	1900
CHEMBL1163101	CHEMBL509032	180
CHEMBL1163101	CHEMBL249697	1000
CHEMBL1163101	CHEMBL535	600
CHEMBL1163101	CHEMBL491473	510
CHEMBL1163101	CHEMBL2309006	5.7
CHEMBL1163101	CHEMBL1789941	2500
CHEMBL1163101	CHEMBL572878	5600
CHEMBL1163101	CHEMBL1908397	3500
CHEMBL1163101	CHEMBL1287853	1200
CHEMBL1163101	CHEMBL475251	1600
CHEMBL1163101	CHEMBL2309609	2300
CHEMBL1163101	CHEMBL1908395	5700
CHEMBL1275210	CHEMBL1950397	4
CHEMBL1275210	CHEMBL1938871	242
CHEMBL1275210	CHEMBL1950546	32
CHEMBL1275212	CHEMBL2063918	440
CHEMBL1275212	CHEMBL2017224	540
CHEMBL1275212	CHEMBL2017229	1600
CHEMBL1275212	CHEMBL2017223	1500
CHEMBL1275212	CHEMBL2017253	184
CHEMBL1275212	CHEMBL2063916	40
CHEMBL1275212	CHEMBL2017237	1500
CHEMBL1275212	CHEMBL2017240	200
CHEMBL1275212	CHEMBL2063929	30
CHEMBL1275212	CHEMBL2063924	76
CHEMBL1275212	CHEMBL2063917	66
CHEMBL1275212	CHEMBL2063915	110
CHEMBL1275212	CHEMBL2017220	130
CHEMBL1275212	CHEMBL2017221	5000
CHEMBL1275212	CHEMBL2063926	48
CHEMBL1275212	CHEMBL2063928	50
CHEMBL1275212	CHEMBL2017225	170
CHEMBL1275212	CHEMBL2063922	6000
CHEMBL1275212	CHEMBL2063927	28
CHEMBL1275212	CHEMBL2017236	300
CHEMBL1275212	CHEMBL2017234	300
CHEMBL1275212	CHEMBL2017242	18
CHEMBL1275212	CHEMBL2017247	139.9
CHEMBL1275212	CHEMBL2017222	380
CHEMBL1275212	CHEMBL2063914	58
CHEMBL1275212	CHEMBL2017230	2300
CHEMBL1275212	CHEMBL2063919	300
CHEMBL1275212	CHEMBL2063925	15
CHEMBL1275212	CHEMBL2017233	400
CHEMBL1275212	CHEMBL2017235	60
CHEMBL1275212	CHEMBL2017219	3000
CHEMBL1275212	CHEMBL2017239	70
CHEMBL1275212	CHEMBL2017214	206
CHEMBL1275212	CHEMBL2017244	73.5
CHEMBL1275212	CHEMBL2017246	143
CHEMBL1275212	CHEMBL2017256	110
CHEMBL1275212	CHEMBL2063913	70
CHEMBL1275212	CHEMBL2017252	310
