protein	compound	aveaffinty
CHEMBL1829	CHEMBL356066	7.9
CHEMBL1829	CHEMBL98	103.526666666667
CHEMBL1829	CHEMBL473478	4803
CHEMBL1829	CHEMBL569446	970
CHEMBL1829	CHEMBL569306	262
CHEMBL1829	CHEMBL14227	9000
CHEMBL1829	CHEMBL1173445	604
CHEMBL1829	CHEMBL242039	3162.28
CHEMBL1829	CHEMBL1672332	10000
CHEMBL1829	CHEMBL468527	7410
CHEMBL1829	CHEMBL2046608	9380
CHEMBL1829	CHEMBL514304	8706
CHEMBL1829	CHEMBL469134	30
CHEMBL1829	CHEMBL567457	2990
CHEMBL1829	CHEMBL466459	1920
CHEMBL1829	CHEMBL475692	16480
CHEMBL1829	CHEMBL569288	260
CHEMBL1829	CHEMBL570490	608
CHEMBL1829	CHEMBL474890	9617
CHEMBL1829	CHEMBL564876	350
CHEMBL1829	CHEMBL1213459	14500
CHEMBL1829	CHEMBL513061	6928
CHEMBL1829	CHEMBL272980	962.5
CHEMBL1829	CHEMBL1213490	0.15
CHEMBL1829	CHEMBL236902	942
CHEMBL1829	CHEMBL356769	275
CHEMBL1829	CHEMBL473271	17390
CHEMBL1829	CHEMBL236061	1400
CHEMBL1829	CHEMBL55895	1825
CHEMBL1829	CHEMBL235191	875
CHEMBL1829	CHEMBL471466	5384
CHEMBL1829	CHEMBL567220	1090
CHEMBL1829	CHEMBL567295	242
CHEMBL1829	CHEMBL564382	440
CHEMBL1829	CHEMBL251144	697
CHEMBL1829	CHEMBL1631913	39.6
CHEMBL1829	CHEMBL561604	18
CHEMBL1829	CHEMBL1767042	51800
CHEMBL1829	CHEMBL353581	8
CHEMBL1829	CHEMBL566637	31
CHEMBL1829	CHEMBL1092032	1100
CHEMBL1829	CHEMBL1767039	1990
CHEMBL1829	CHEMBL473479	4330
CHEMBL1829	CHEMBL99	7.955
CHEMBL1829	CHEMBL566817	3630
CHEMBL1829	CHEMBL569946	54
CHEMBL1829	CHEMBL462208	9400
CHEMBL1829	CHEMBL463788	6390
CHEMBL1829	CHEMBL485771	2800
CHEMBL1829	CHEMBL27759	380
CHEMBL1829	CHEMBL2333346	694
CHEMBL1829	CHEMBL1631916	246
CHEMBL1829	CHEMBL511715	102
CHEMBL1829	CHEMBL1767037	21100
CHEMBL1829	CHEMBL1091487	137
CHEMBL1829	CHEMBL217651	14
CHEMBL1829	CHEMBL569211	690
CHEMBL1829	CHEMBL462209	560
CHEMBL1829	CHEMBL2046617	34120
CHEMBL1829	CHEMBL583130	143
CHEMBL1829	CHEMBL2046613	6620
CHEMBL1829	CHEMBL554395	27200
CHEMBL1829	CHEMBL485968	1500
CHEMBL1829	CHEMBL1767035	89200
CHEMBL1829	CHEMBL466032	10600
CHEMBL1829	CHEMBL1631914	55.7
CHEMBL1829	CHEMBL1631917	93.6
CHEMBL1829	CHEMBL1092762	114
CHEMBL1829	CHEMBL1923808	23.9
CHEMBL1829	CHEMBL570041	990
CHEMBL1829	CHEMBL1914702	34
CHEMBL1829	CHEMBL484489	4.9
CHEMBL1829	CHEMBL408513	1.5
CHEMBL1829	CHEMBL569447	1040
CHEMBL1829	CHEMBL514671	620
CHEMBL1829	CHEMBL470843	3140
CHEMBL1829	CHEMBL505961	19320
CHEMBL1829	CHEMBL512644	7
CHEMBL1829	CHEMBL1093357	1346
CHEMBL1829	CHEMBL1093042	240
CHEMBL1829	CHEMBL1631918	94.5
CHEMBL1829	CHEMBL525529	1400
CHEMBL1829	CHEMBL568151	164
CHEMBL1829	CHEMBL1808674	1520
CHEMBL1829	CHEMBL2046614	5090
