protein	compound	aveaffinty
CHEMBL205	CHEMBL234735	35
CHEMBL205	CHEMBL2331760	2.5
CHEMBL205	CHEMBL2048935	6.3
CHEMBL205	CHEMBL2048933	48.5
CHEMBL205	CHEMBL569350	109
CHEMBL205	CHEMBL399457	100
CHEMBL205	CHEMBL2331755	1.81
CHEMBL205	CHEMBL438693	5
CHEMBL205	CHEMBL1762650	83000
CHEMBL205	CHEMBL2333822	1280
CHEMBL205	CHEMBL430213	110
CHEMBL205	CHEMBL576908	105
CHEMBL205	CHEMBL2048932	84.5
CHEMBL205	CHEMBL2331759	2.08
CHEMBL205	CHEMBL592010	8600
CHEMBL205	CHEMBL255047	12
CHEMBL205	CHEMBL2047798	146.585
CHEMBL205	CHEMBL2047811	273.95
CHEMBL205	CHEMBL441343	5735
CHEMBL205	CHEMBL1762651	3340
CHEMBL205	CHEMBL570257	107
CHEMBL205	CHEMBL67749	63
CHEMBL205	CHEMBL20	1628.35
CHEMBL205	CHEMBL592131	86
CHEMBL205	CHEMBL569804	104
CHEMBL205	CHEMBL2333817	8860
CHEMBL205	CHEMBL148680	37160
CHEMBL205	CHEMBL2331769	1.99
CHEMBL205	CHEMBL388671	8.4
CHEMBL205	CHEMBL2048934	33.2
CHEMBL205	CHEMBL1673089	1930
CHEMBL205	CHEMBL391990	3890
CHEMBL205	CHEMBL235502	3540
CHEMBL205	CHEMBL1276020	1686.66666666667
CHEMBL205	CHEMBL235505	13250
CHEMBL205	CHEMBL2331768	1.68
CHEMBL205	CHEMBL2047812	216.5
CHEMBL205	CHEMBL1762649	96000
CHEMBL205	CHEMBL2331767	2.14
CHEMBL205	CHEMBL2047807	107.655
CHEMBL205	CHEMBL361191	338
CHEMBL205	CHEMBL1276018	370
CHEMBL205	CHEMBL2047805	73.735
CHEMBL205	CHEMBL235501	11250
CHEMBL205	CHEMBL2331766	1.81
CHEMBL205	CHEMBL1276019	340
CHEMBL205	CHEMBL379206	665
CHEMBL205	CHEMBL395370	2070
CHEMBL205	CHEMBL1090030	15.4
CHEMBL205	CHEMBL1091779	14.5
CHEMBL205	CHEMBL1092715	15.1
CHEMBL205	CHEMBL2047845	222.495
CHEMBL205	CHEMBL2047806	144.09
CHEMBL205	CHEMBL2047810	144.09
CHEMBL205	CHEMBL468346	378
CHEMBL205	CHEMBL447310	11200
CHEMBL205	CHEMBL377326	9.1
CHEMBL205	CHEMBL1093298	15.2
CHEMBL205	CHEMBL2011000	35
CHEMBL205	CHEMBL17	18.3333333333333
CHEMBL205	CHEMBL569351	58300
CHEMBL205	CHEMBL2047829	156.07
CHEMBL205	CHEMBL122708	84.5
CHEMBL205	CHEMBL1782957	2300
CHEMBL205	CHEMBL168910	36
CHEMBL205	CHEMBL1092775	13.4
CHEMBL205	CHEMBL274704	105
CHEMBL205	CHEMBL570615	88
CHEMBL205	CHEMBL584939	13
CHEMBL205	CHEMBL463134	8000
CHEMBL205	CHEMBL179137	107
CHEMBL205	CHEMBL1762647	93000
CHEMBL205	CHEMBL2070204	5200
CHEMBL205	CHEMBL262628	7.2
CHEMBL205	CHEMBL234737	63
CHEMBL205	CHEMBL2047804	160.565
CHEMBL205	CHEMBL2331761	2.47
CHEMBL205	CHEMBL1091318	15.5
CHEMBL205	CHEMBL254211	10
CHEMBL205	CHEMBL285436	0.89
CHEMBL205	CHEMBL1762642	1e+05
CHEMBL205	CHEMBL41028	45
CHEMBL205	CHEMBL504802	7800
CHEMBL205	CHEMBL234529	57
CHEMBL205	CHEMBL603189	9600
CHEMBL205	CHEMBL284694	46
CHEMBL205	CHEMBL608978	2440
CHEMBL205	CHEMBL1091319	13.1
CHEMBL205	CHEMBL120886	13460
CHEMBL205	CHEMBL388453	9.3
CHEMBL205	CHEMBL195947	8.3
CHEMBL205	CHEMBL2333818	1070
CHEMBL205	CHEMBL253362	15
CHEMBL205	CHEMBL213777	39
CHEMBL205	CHEMBL463133	8300
CHEMBL205	CHEMBL1089015	14.8
CHEMBL205	CHEMBL1207991	8800
CHEMBL205	CHEMBL2047802	207.51
CHEMBL205	CHEMBL2047803	143.09
CHEMBL205	CHEMBL2042369	26376
CHEMBL205	CHEMBL235708	2830
CHEMBL205	CHEMBL1946180	64455
CHEMBL205	CHEMBL571385	106
CHEMBL205	CHEMBL2011155	380
CHEMBL205	CHEMBL370854	98
CHEMBL205	CHEMBL2335178	290
CHEMBL205	CHEMBL170139	417
CHEMBL205	CHEMBL2333819	3090
CHEMBL205	CHEMBL2070203	3270
CHEMBL205	CHEMBL392816	8360
CHEMBL205	CHEMBL571738	19200
CHEMBL205	CHEMBL2331762	2.14
CHEMBL205	CHEMBL50	2540
CHEMBL205	CHEMBL2048931	8.9
CHEMBL205	CHEMBL571337	63
CHEMBL205	CHEMBL254005	150
CHEMBL205	CHEMBL2047830	230.485
CHEMBL205	CHEMBL361827	21
CHEMBL205	CHEMBL34546	11
CHEMBL205	CHEMBL212440	9.7
CHEMBL205	CHEMBL1688306	159.15
CHEMBL205	CHEMBL568385	24900
CHEMBL205	CHEMBL505415	470
CHEMBL205	CHEMBL468094	6
CHEMBL205	CHEMBL2047809	175.045
CHEMBL205	CHEMBL1762653	4700
CHEMBL205	CHEMBL605189	9400
CHEMBL205	CHEMBL1762652	3810
CHEMBL205	CHEMBL593037	2310
CHEMBL205	CHEMBL585756	76
CHEMBL205	CHEMBL2048928	31.1
CHEMBL205	CHEMBL34526	0.77
CHEMBL205	CHEMBL1782958	3740
CHEMBL205	CHEMBL475278	4130
CHEMBL205	CHEMBL2331763	2.01
CHEMBL205	CHEMBL369179	5.1
CHEMBL205	CHEMBL1836622	5.3
CHEMBL205	CHEMBL419	7090
CHEMBL205	CHEMBL2331757	2.02
CHEMBL205	CHEMBL1414	3190
CHEMBL205	CHEMBL2048930	43.5
CHEMBL205	CHEMBL2011154	20
CHEMBL205	CHEMBL286449	62
CHEMBL205	CHEMBL2047821	381.375
CHEMBL205	CHEMBL2333821	13440
CHEMBL205	CHEMBL254834	10
CHEMBL205	CHEMBL214201	27
CHEMBL205	CHEMBL466832	8
CHEMBL205	CHEMBL593759	496
CHEMBL205	CHEMBL2047808	225.99
CHEMBL205	CHEMBL119296	11000
CHEMBL205	CHEMBL2047839	271.45
CHEMBL205	CHEMBL1093729	14.8
CHEMBL205	CHEMBL2331756	2.1
CHEMBL205	CHEMBL234530	65
CHEMBL205	CHEMBL50605	2650
CHEMBL205	CHEMBL212944	64
CHEMBL205	CHEMBL1272286	420
CHEMBL205	CHEMBL1091780	13.3
CHEMBL205	CHEMBL2047840	159.565
CHEMBL205	CHEMBL2332769	61.7
CHEMBL205	CHEMBL180475	135
CHEMBL205	CHEMBL400889	20
CHEMBL205	CHEMBL2011153	25
CHEMBL205	CHEMBL2047837	154.075
CHEMBL205	CHEMBL2010997	185
CHEMBL205	CHEMBL2048927	8.8
CHEMBL205	CHEMBL253997	6
CHEMBL205	CHEMBL1092374	7.8
CHEMBL205	CHEMBL1272233	145
CHEMBL205	CHEMBL287145	69
CHEMBL205	CHEMBL2047797	144.59
CHEMBL205	CHEMBL2331569	27.1
CHEMBL205	CHEMBL590883	9200
CHEMBL205	CHEMBL539940	436
CHEMBL205	CHEMBL578932	10800
CHEMBL205	CHEMBL2011157	180
CHEMBL205	CHEMBL1272285	170
CHEMBL205	CHEMBL179801	99
CHEMBL205	CHEMBL2047800	94.18
CHEMBL205	CHEMBL236146	2150
CHEMBL205	CHEMBL369045	7.3
CHEMBL205	CHEMBL1946179	69120
CHEMBL205	CHEMBL567896	22700
CHEMBL205	CHEMBL373666	8.9
CHEMBL205	CHEMBL2333966	57.6
CHEMBL205	CHEMBL235692	3690
CHEMBL205	CHEMBL2331758	1.98
CHEMBL205	CHEMBL2048929	8.8
CHEMBL205	CHEMBL1923674	422
CHEMBL205	CHEMBL2011156	14.5
CHEMBL205	CHEMBL215916	8.65
CHEMBL205	CHEMBL467258	6.6
CHEMBL205	CHEMBL2047796	197.52
CHEMBL205	CHEMBL235506	8850
CHEMBL205	CHEMBL228274	11700
CHEMBL205	CHEMBL592384	8400
CHEMBL205	CHEMBL235700	3680
CHEMBL205	CHEMBL285962	11.3
CHEMBL205	CHEMBL2333967	431
CHEMBL205	CHEMBL1688307	58.15
CHEMBL205	CHEMBL2331765	2.44
CHEMBL205	CHEMBL2164731	63.5
CHEMBL205	CHEMBL368235	15
CHEMBL205	CHEMBL512633	31
CHEMBL205	CHEMBL1836623	11.2
CHEMBL205	CHEMBL521690	1.8
CHEMBL205	CHEMBL1276017	276.666666666667
CHEMBL205	CHEMBL2047817	143.59
CHEMBL205	CHEMBL288114	2250
CHEMBL205	CHEMBL594224	2520
CHEMBL205	CHEMBL200673	565
CHEMBL205	CHEMBL272457	5870
CHEMBL205	CHEMBL467389	4300
CHEMBL205	CHEMBL1233722	130
CHEMBL205	CHEMBL2331764	2.14
CHEMBL205	CHEMBL449451	3660
CHEMBL205	CHEMBL367844	9
CHEMBL205	CHEMBL68536	113
CHEMBL205	CHEMBL591736	13100
CHEMBL205	CHEMBL2070205	4350
CHEMBL205	CHEMBL2203347	339
CHEMBL205	CHEMBL402794	66906
CHEMBL205	CHEMBL16909	106
CHEMBL205	CHEMBL2048921	86.7
CHEMBL205	CHEMBL394938	2670
CHEMBL205	CHEMBL570894	71
CHEMBL205	CHEMBL1083684	104
CHEMBL205	CHEMBL2047801	140.595
CHEMBL205	CHEMBL90218	25
CHEMBL205	CHEMBL1091806	9.1
CHEMBL205	CHEMBL2010998	42.5
CHEMBL205	CHEMBL179047	9.1
CHEMBL205	CHEMBL468946	3.6
CHEMBL205	CHEMBL385073	806
CHEMBL205	CHEMBL363820	8200
CHEMBL205	CHEMBL2047838	224.99
CHEMBL205	CHEMBL2047834	173.05
CHEMBL205	CHEMBL2047836	218.5
CHEMBL205	CHEMBL122938	98
CHEMBL205	CHEMBL272458	6350
CHEMBL205	CHEMBL2047799	153.575
CHEMBL205	CHEMBL1092714	12
CHEMBL205	CHEMBL377107	61
CHEMBL205	CHEMBL611502	2270
CHEMBL205	CHEMBL286862	11.4
CHEMBL205	CHEMBL2010807	123.5
CHEMBL205	CHEMBL2011152	150
CHEMBL205	CHEMBL1088997	7.1
CHEMBL205	CHEMBL27601	2098.75
CHEMBL205	CHEMBL370104	50.5
CHEMBL205	CHEMBL1772	10300
CHEMBL205	CHEMBL1089372	7.6
CHEMBL205	CHEMBL567139	18500
CHEMBL205	CHEMBL179136	13
CHEMBL205	CHEMBL215355	547
CHEMBL205	CHEMBL568173	24600
CHEMBL205	CHEMBL1644696	30000
CHEMBL205	CHEMBL2016664	59107
CHEMBL205	CHEMBL2042368	34620
CHEMBL205	CHEMBL196433	475
CHEMBL205	CHEMBL14060	5500
CHEMBL205	CHEMBL2010999	205
CHEMBL205	CHEMBL2048923	5.3
CHEMBL205	CHEMBL24147	7700
CHEMBL205	CHEMBL2333416	6.73333333333333
CHEMBL205	CHEMBL414	329.25
CHEMBL205	CHEMBL1165061	52
CHEMBL205	CHEMBL145	1610
CHEMBL205	CHEMBL384791	5570
CHEMBL205	CHEMBL215990	18.5
CHEMBL205	CHEMBL6724	2660
CHEMBL205	CHEMBL2333969	4708
CHEMBL205	CHEMBL2333965	78.9
CHEMBL205	CHEMBL2047841	119.13
CHEMBL205	CHEMBL2047833	375.88
CHEMBL205	CHEMBL589604	11500
CHEMBL205	CHEMBL2333415	2.9
CHEMBL205	CHEMBL2047819	97.175
CHEMBL205	CHEMBL237251	13000
CHEMBL205	CHEMBL236145	7970
CHEMBL205	CHEMBL180111	9.5
CHEMBL205	CHEMBL2047816	234.48
CHEMBL205	CHEMBL175866	9.8
CHEMBL205	CHEMBL214993	4620
CHEMBL205	CHEMBL2047844	211.505
CHEMBL205	CHEMBL215810	24
CHEMBL205	CHEMBL199493	112
CHEMBL205	CHEMBL1083382	106
CHEMBL205	CHEMBL1232443	910
CHEMBL205	CHEMBL513854	0.96
CHEMBL205	CHEMBL167179	7
CHEMBL205	CHEMBL215291	19.9
CHEMBL205	CHEMBL479836	4960
CHEMBL205	CHEMBL469126	6.9
CHEMBL205	CHEMBL1209039	8.45
CHEMBL205	CHEMBL186335	250
CHEMBL205	CHEMBL186636	290
CHEMBL205	CHEMBL254212	12
CHEMBL205	CHEMBL571371	93
CHEMBL205	CHEMBL2048925	8.6
CHEMBL205	CHEMBL353498	4860
CHEMBL205	CHEMBL572366	14207
CHEMBL205	CHEMBL2333820	6750
CHEMBL205	CHEMBL2333412	35.5
CHEMBL205	CHEMBL513835	6.7
CHEMBL205	CHEMBL120304	8
CHEMBL205	CHEMBL254835	10
CHEMBL205	CHEMBL501294	0.88
CHEMBL205	CHEMBL365326	9100
CHEMBL205	CHEMBL195540	566
CHEMBL205	CHEMBL175881	33
CHEMBL205	CHEMBL179021	25
CHEMBL205	CHEMBL2047813	150.08
CHEMBL205	CHEMBL359546	67
CHEMBL205	CHEMBL2047814	321.415
CHEMBL205	CHEMBL2048936	6.7
CHEMBL205	CHEMBL66879	980
CHEMBL205	CHEMBL2047831	307.425
CHEMBL205	CHEMBL2047835	284.94
