protein	compound	aveaffinty
CHEMBL2164	CHEMBL1422086	8100
CHEMBL2164	CHEMBL1450505	57600
CHEMBL2164	CHEMBL1530097	2363
CHEMBL2164	CHEMBL125634	4118
CHEMBL2164	CHEMBL1367250	34360
CHEMBL2164	CHEMBL1464805	6557
CHEMBL2164	CHEMBL1468091	29894
CHEMBL2164	CHEMBL1562161	7268
CHEMBL2164	CHEMBL490592	6551
CHEMBL2164	CHEMBL1412774	28288
CHEMBL2164	CHEMBL1376711	8215
CHEMBL2164	CHEMBL1517284	4959
CHEMBL2164	CHEMBL1503729	2477
CHEMBL2164	CHEMBL1494338	6038
CHEMBL2164	CHEMBL1463829	62464
CHEMBL2164	CHEMBL1410383	46188
CHEMBL2164	CHEMBL171632	55804
CHEMBL2164	CHEMBL1586135	9647
CHEMBL2164	CHEMBL1332050	5604
CHEMBL2164	CHEMBL1505788	6474
CHEMBL2164	CHEMBL1426692	44079
CHEMBL2164	CHEMBL1397706	52346
CHEMBL2164	CHEMBL1363171	22658
CHEMBL2164	CHEMBL1582997	7402
CHEMBL2164	CHEMBL1378339	3997
CHEMBL2164	CHEMBL2006503	38913
CHEMBL2164	CHEMBL1533230	2463
CHEMBL2164	CHEMBL1353885	6958
CHEMBL2164	CHEMBL1455825	3632
CHEMBL2164	CHEMBL1577193	49020
CHEMBL2164	CHEMBL1419462	8457
CHEMBL2164	CHEMBL1992835	6481
CHEMBL2164	CHEMBL1299200	32124
CHEMBL2164	CHEMBL1350237	11091
CHEMBL2164	CHEMBL1537522	7215
CHEMBL2164	CHEMBL1536273	56486
CHEMBL2164	CHEMBL1382628	5826
CHEMBL2164	CHEMBL1344739	7425
CHEMBL2164	CHEMBL1471716	6947
CHEMBL2164	CHEMBL2003651	15546
CHEMBL2164	CHEMBL1312303	4592
CHEMBL2164	CHEMBL1519313	1971
CHEMBL2164	CHEMBL1501990	48978
CHEMBL2164	CHEMBL1329288	2846
CHEMBL2164	CHEMBL1477061	64048
CHEMBL2164	CHEMBL1507003	21556
CHEMBL2164	CHEMBL1362561	63577
CHEMBL2164	CHEMBL1598762	52139
