protein	compound	aveaffinty
CHEMBL1827	CHEMBL194511	40
CHEMBL1827	CHEMBL382440	9.1
CHEMBL1827	CHEMBL1094249	0.05
CHEMBL1827	CHEMBL1097215	6100
CHEMBL1827	CHEMBL1650664	7200
CHEMBL1827	CHEMBL1221434	11000
CHEMBL1827	CHEMBL427043	3.6
CHEMBL1827	CHEMBL211015	7
CHEMBL1827	CHEMBL378737	14.7
CHEMBL1827	CHEMBL1094500	2.3
CHEMBL1827	CHEMBL1097584	100
CHEMBL1827	CHEMBL1097585	88000
CHEMBL1827	CHEMBL1094588	41000
CHEMBL1827	CHEMBL385683	390
CHEMBL1827	CHEMBL1098466	0.07
CHEMBL1827	CHEMBL441684	53
CHEMBL1827	CHEMBL377168	17
CHEMBL1827	CHEMBL2333224	0.63
CHEMBL1827	CHEMBL213265	1500
CHEMBL1827	CHEMBL2180948	3
CHEMBL1827	CHEMBL212397	470
CHEMBL1827	CHEMBL133285	8.86
CHEMBL1827	CHEMBL1097586	2800
CHEMBL1827	CHEMBL1094268	320
CHEMBL1827	CHEMBL210930	5.5
CHEMBL1827	CHEMBL1097587	60
CHEMBL1827	CHEMBL68152	80
CHEMBL1827	CHEMBL1094399	0.4
CHEMBL1827	CHEMBL210603	3.1
CHEMBL1827	CHEMBL1094833	0.35
CHEMBL1827	CHEMBL436742	2.7
CHEMBL1827	CHEMBL192	14.9708333333333
CHEMBL1827	CHEMBL371451	180
CHEMBL1827	CHEMBL2180951	8.5
CHEMBL1827	CHEMBL379222	12
CHEMBL1827	CHEMBL207125	18
CHEMBL1827	CHEMBL383202	0.9
CHEMBL1827	CHEMBL28079	545.83
CHEMBL1827	CHEMBL1097216	29000
CHEMBL1827	CHEMBL378130	2.6
CHEMBL1827	CHEMBL383474	2100
CHEMBL1827	CHEMBL1928268	8.2
CHEMBL1827	CHEMBL377563	50
CHEMBL1827	CHEMBL1928258	0.69
CHEMBL1827	CHEMBL1928259	0.69
CHEMBL1827	CHEMBL213099	240
CHEMBL1827	CHEMBL377850	100
CHEMBL1827	CHEMBL193995	450
CHEMBL1827	CHEMBL1520	0.733333333333333
CHEMBL1827	CHEMBL377885	13
CHEMBL1827	CHEMBL1097823	0.08
CHEMBL1827	CHEMBL207111	21
CHEMBL1827	CHEMBL1097506	0.07
CHEMBL1827	CHEMBL197153	3100
CHEMBL1827	CHEMBL779	4.55
CHEMBL1827	CHEMBL203830	6300
CHEMBL1827	CHEMBL455187	3
CHEMBL1827	CHEMBL1095583	74000
CHEMBL1827	CHEMBL209157	1.3
CHEMBL1827	CHEMBL209062	34
CHEMBL1827	CHEMBL2180950	4.8
CHEMBL1827	CHEMBL1190161	0.316
CHEMBL1827	CHEMBL1094490	1.2
CHEMBL1827	CHEMBL213113	140
CHEMBL1827	CHEMBL1094832	0.78
CHEMBL1827	CHEMBL1098465	0.011
CHEMBL1827	CHEMBL513873	70
CHEMBL1827	CHEMBL1928271	0.26
CHEMBL1827	CHEMBL203829	3100
CHEMBL1827	CHEMBL1094365	0.04
CHEMBL1827	CHEMBL1928261	1.53
CHEMBL1827	CHEMBL2180949	13.7
CHEMBL1827	CHEMBL195603	920
CHEMBL1827	CHEMBL195584	81
CHEMBL1827	CHEMBL215756	95
CHEMBL1827	CHEMBL209235	8.2
CHEMBL1827	CHEMBL1928269	0.78
CHEMBL1827	CHEMBL364091	13000
CHEMBL1827	CHEMBL203070	1700
CHEMBL1827	CHEMBL203324	8700
CHEMBL1827	CHEMBL1650885	1270
CHEMBL1827	CHEMBL2180947	4.8
CHEMBL1827	CHEMBL336291	1.14
CHEMBL1827	CHEMBL377579	9.5
CHEMBL1827	CHEMBL2180952	41
CHEMBL1827	CHEMBL378255	71
CHEMBL1827	CHEMBL371793	81
CHEMBL1827	CHEMBL1098141	0.08
CHEMBL1827	CHEMBL209460	1.7
CHEMBL1827	CHEMBL511065	320
CHEMBL1827	CHEMBL363638	230
CHEMBL1827	CHEMBL196493	1100
CHEMBL1827	CHEMBL1928276	3.525
CHEMBL1827	CHEMBL208544	6.4
CHEMBL1827	CHEMBL1928254	1.66
CHEMBL1827	CHEMBL1099245	38
CHEMBL1827	CHEMBL209509	18.2
CHEMBL1827	CHEMBL193363	270
CHEMBL1827	CHEMBL1097822	0.19
CHEMBL1827	CHEMBL1094238	0.5
CHEMBL1827	CHEMBL1928272	1.27
CHEMBL1827	CHEMBL1094591	3400
CHEMBL1827	CHEMBL504620	370
CHEMBL1827	CHEMBL492795	510
CHEMBL1827	CHEMBL382494	160
CHEMBL1827	CHEMBL131892	0.52
CHEMBL1827	CHEMBL2180662	312
CHEMBL1827	CHEMBL132689	1.08
CHEMBL1827	CHEMBL341092	1.2
CHEMBL1827	CHEMBL2180953	58
CHEMBL1827	CHEMBL2180954	12.6
CHEMBL1827	CHEMBL506893	530
CHEMBL1827	CHEMBL1094191	0.087
CHEMBL1827	CHEMBL464341	140
CHEMBL1827	CHEMBL1928277	2.36
CHEMBL1827	CHEMBL1928273	10.8
CHEMBL1827	CHEMBL360874	20160
CHEMBL1827	CHEMBL130612	24.7
CHEMBL1827	CHEMBL1928251	1.76
CHEMBL1827	CHEMBL213425	180
CHEMBL1827	CHEMBL455412	77
CHEMBL1827	CHEMBL1097923	50
CHEMBL1827	CHEMBL1094830	0.42
CHEMBL1827	CHEMBL1928270	0.86
CHEMBL1827	CHEMBL2178115	3300
CHEMBL1827	CHEMBL1094589	32000
CHEMBL1827	CHEMBL1095186	0.38
CHEMBL1827	CHEMBL1650876	270
CHEMBL1827	CHEMBL1928275	8.5
CHEMBL1827	CHEMBL202740	3000
CHEMBL1827	CHEMBL1928274	2.47
CHEMBL1827	CHEMBL1928267	15.8
CHEMBL1827	CHEMBL1928256	2.89
CHEMBL1827	CHEMBL364459	60
CHEMBL1827	CHEMBL1939803	17324
CHEMBL1827	CHEMBL1779335	44000
CHEMBL1827	CHEMBL460294	5.6
CHEMBL1827	CHEMBL1094190	2
CHEMBL1827	CHEMBL131541	1.75
CHEMBL1827	CHEMBL1928265	0.31
