protein	compound	aveaffinty
CHEMBL1075104	CHEMBL428690	1500
CHEMBL1075104	CHEMBL91829	9700
CHEMBL1075104	CHEMBL475251	31.5
CHEMBL1075104	CHEMBL379218	1650
CHEMBL1075104	CHEMBL2349090	26000
CHEMBL1075104	CHEMBL2178141	22
CHEMBL1075104	CHEMBL2347815	682
CHEMBL1075104	CHEMBL2347817	46
CHEMBL1075104	CHEMBL2347816	2333
CHEMBL1075104	CHEMBL522892	1190
CHEMBL1075104	CHEMBL574738	2675
CHEMBL1075104	CHEMBL2347812	52
CHEMBL1075104	CHEMBL2348937	535
CHEMBL1075104	CHEMBL2347804	12
CHEMBL1075104	CHEMBL2349091	2580
CHEMBL1075104	CHEMBL2309609	375
CHEMBL1075104	CHEMBL2347813	281
CHEMBL1075104	CHEMBL2348971	98
CHEMBL1075104	CHEMBL464552	450
CHEMBL1075104	CHEMBL1289926	955
CHEMBL1075104	CHEMBL288441	665
CHEMBL1075104	CHEMBL1287853	935
CHEMBL1075104	CHEMBL2348936	242
CHEMBL1075104	CHEMBL2348967	281
CHEMBL1075104	CHEMBL2347827	23
CHEMBL1075104	CHEMBL2309006	3.05
CHEMBL1075104	CHEMBL1241674	995
CHEMBL1075104	CHEMBL2348978	1662
CHEMBL1075104	CHEMBL2348977	384
CHEMBL1075104	CHEMBL2347818	48
CHEMBL1075104	CHEMBL553	3850
CHEMBL1075104	CHEMBL2333125	37
CHEMBL1075104	CHEMBL2347807	109
CHEMBL1075104	CHEMBL2349092	4730
CHEMBL1075104	CHEMBL2171746	105
CHEMBL1075104	CHEMBL2347814	450
CHEMBL1075104	CHEMBL250364	781
CHEMBL1075104	CHEMBL2171743	13
CHEMBL1075104	CHEMBL386051	6300
CHEMBL1075104	CHEMBL2347809	10
CHEMBL1075104	CHEMBL1908397	197.5
CHEMBL1075104	CHEMBL1789941	190
CHEMBL1075104	CHEMBL2348972	458
CHEMBL1075104	CHEMBL2326713	52
CHEMBL1075104	CHEMBL2326712	99
CHEMBL1075104	CHEMBL2348939	101
CHEMBL1075104	CHEMBL2347806	64
CHEMBL1075104	CHEMBL535	93
CHEMBL1075104	CHEMBL2171744	418
CHEMBL1075104	CHEMBL2347825	9
CHEMBL1075104	CHEMBL2349089	25000
CHEMBL1075104	CHEMBL2178123	53
CHEMBL1075104	CHEMBL1721885	71
CHEMBL1075104	CHEMBL2347808	103
CHEMBL1075104	CHEMBL2347810	16
CHEMBL1075104	CHEMBL2348973	463
CHEMBL1075104	CHEMBL1908392	41.5
CHEMBL1075104	CHEMBL2333126	15
CHEMBL1075104	CHEMBL2348940	10660
CHEMBL1075104	CHEMBL1908395	280
CHEMBL1075104	CHEMBL2348938	75
CHEMBL1075104	CHEMBL2347826	14
CHEMBL1075104	CHEMBL31965	800
CHEMBL1075104	CHEMBL162	1.745
CHEMBL1075104	CHEMBL1933288	16
CHEMBL1075104	CHEMBL2348976	2420
CHEMBL1075104	CHEMBL221959	925
CHEMBL1075104	CHEMBL2348975	1294
CHEMBL1075104	CHEMBL2348974	338
CHEMBL1075104	CHEMBL2326715	39
CHEMBL1075104	CHEMBL2326714	41
CHEMBL1075104	CHEMBL2178135	4
CHEMBL1075104	CHEMBL2348970	159
CHEMBL1075104	CHEMBL2333123	168
CHEMBL1075104	CHEMBL2171745	9
CHEMBL1075104	CHEMBL2348969	183
CHEMBL1075104	CHEMBL2348966	75
CHEMBL1075104	CHEMBL509032	1.13
CHEMBL1075104	CHEMBL2333118	9
CHEMBL1075104	CHEMBL2347811	20
CHEMBL1075104	CHEMBL2178140	10
CHEMBL1075104	CHEMBL2170016	29
CHEMBL1075104	CHEMBL2333128	1
CHEMBL1075104	CHEMBL2333127	1
CHEMBL1075104	CHEMBL2348942	3400
CHEMBL1075104	CHEMBL2348941	4215
CHEMBL1075104	CHEMBL2347805	37
CHEMBL1075104	CHEMBL2348944	53
CHEMBL1075104	CHEMBL2333137	965
CHEMBL1075104	CHEMBL2333122	412
CHEMBL1075104	CHEMBL2348968	117
CHEMBL1075104	CHEMBL2178142	69
