cid,compound,aveaffinty
2812,CHEMBL104,24879.0
5717,CHEMBL603,0.970333333333
128355,CHEMBL18132,2.0
448537,CHEMBL411,13308.5
5280878,CHEMBL288943,7.0
5281040,CHEMBL787,1.17775
5352624,CHEMBL18797,22026.0
6436123,CHEMBL278570,5.01
6518171,CHEMBL434063,8182.5
9829145,CHEMBL344180,0.25
10456871,CHEMBL173289,2.51
15291446,CHEMBL143515,0.44
44360585,CHEMBL342705,0.47
44360625,CHEMBL141640,1.1
44360640,CHEMBL140381,2.0
44360643,CHEMBL139757,0.61
44360644,CHEMBL140058,2.9
44360674,CHEMBL341603,0.56
44360675,CHEMBL141405,1.7
44360844,CHEMBL348229,5.0
44360858,CHEMBL343934,0.42
