,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
5280360,0.302851113996,0.0,320.215,12.091903374600001,0.48123025379600004,12.091903374600001,-0.48123025379600004,352.224974124,142.0,-0.800751277832,0.05352662065230001,0.302851113996,2.47720804988,468.706971277,18.6564897706,15.140900551600001,15.140900551600001,11.9515961604,9.392383017,9.392383017,6.862731563740001,6.862731563740001,4.70984217936,4.70984217936,3.21543574148,3.21543574148,-1.46,271685.71063600003,21.582480883600002,11.9846216392,8.45334655369,149.99385944,15.3195821845,5.78324494636,0.0,0.0,0.0,5.969305287949999,9.589074368139999,0.0,0.0,0.0,50.4902824958,25.683286491700002,24.6774553382,12.2079327755,24.9086565527,11.752550234300001,0.0,0.0,11.8358120923,76.9190645815,0.0,24.3040804273,0.0,0.0,0.0,0.0,0.0,0.0,39.2800651943,9.589074368139999,11.8358120923,64.711131806,24.3040804273,0.0,0.0,0.0,94.83,18.1772380634,19.8021291578,0.0,30.4607002845,25.683286491700002,19.262464868800002,0.0,12.1520402137,12.1520402137,6.92373719969,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1666666667,0.7,25.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,12.0,1.0,0.0,1.0,1.0,3.2511,97.1434,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.9
5311035,0.305001838856,0.0,368.259,12.3356400931,0.468995427821,12.3356400931,-0.468995427821,408.28757438,166.0,-0.603220277398,0.09008102930569999,0.305001838856,1.77169437655,551.47427309,21.2778101141,18.275661833,18.275661833,13.930687978800002,11.5555690042,11.5555690042,9.09622749705,9.09622749705,7.1282483360699995,7.1282483360699995,5.174642841540001,5.174642841540001,-1.2,1937613.2346700002,24.0729552469,11.8497927516,6.64629280173,175.45671125400003,14.949917743499999,5.78324494636,0.0,0.0,0.0,5.969305287949999,9.589074368139999,0.0,0.0,0.0,51.179885528,43.939920207,24.6774553382,19.317730316800002,24.5389921116,11.752550234300001,0.0,0.0,17.250802561700002,102.602351073,7.10979754128,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,41.2833353408,14.3259373219,17.250802561700002,90.3944182977,12.1520402137,0.0,0.0,0.0,83.83,6.10396638775,19.8021291578,0.0,41.5281408067,12.841643245899999,57.7873946063,13.5306191642,0.0,12.1520402137,11.660600153499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9166666667,0.833333333333,29.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,5.0,13.0,2.0,0.0,2.0,2.0,4.3437,113.2846,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,110.0
5311053,0.302851113996,0.0,395.689,10.504435571,0.490500751761,10.504435571,-0.490500751761,424.16526632800003,160.0,-0.855430292816,0.0519422836524,0.302851113996,1.8311842340400002,704.297833648,21.225403871300003,16.2315096225,16.9874385685,13.863081100699999,9.84185280031,10.2198172733,7.325302811639999,7.76173859212,5.02456820677,5.25966530955,3.49925307786,3.6795299937599997,-1.86,2336959.6323599997,23.4192414211,11.977118078299998,8.185021664,175.640708297,25.1629725332,18.4603601855,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,41.971387385999996,43.3794721203,23.7821826058,12.2079327755,29.957509717199997,17.5702451782,0.0,0.0,11.8358120923,50.4160072779,6.606881964509999,53.5921820149,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,11.6009398902,51.3141959951,4.794537184069999,11.8358120923,32.1041081146,48.5695487012,5.02263331374,0.0,0.0,107.22,24.281204451199997,20.114119368599997,0.0,24.8635156798,36.4554316387,0.0,0.0,36.4175084875,12.1520402137,0.0,21.4443302389,0.0,5.8970896135899995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3806881642,0.5,29.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,7.0,11.0,1.0,0.0,1.0,2.0,3.195,110.9482,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3700.0
5311239,0.302839556532,0.0,320.215,10.491788208300001,0.481230389785,10.491788208300001,-0.481230389785,358.27192431599997,148.0,-0.7436149312,0.07855993323260001,0.302839556532,2.28326284947,359.995675577,18.6564897706,15.776242173800002,15.776242173800002,11.9515961604,10.212477526799999,10.212477526799999,7.771689702330001,7.771689702330001,5.67360166795,5.67360166795,4.1495721454300005,4.1495721454300005,-0.65,271685.71063600003,22.3910677618,12.662648426199999,9.02046988256,152.005777157,20.426109579400002,0.0,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,45.4486669372,50.3607418299,6.42082162293,18.3118991632,25.2206467634,5.969305287949999,0.0,0.0,11.8358120923,108.706317461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7073140306,4.794537184069999,11.8358120923,90.3944182977,0.0,0.0,0.0,0.0,97.99,18.1772380634,20.114119368599997,0.0,24.360600103000003,19.262464868800002,57.7873946063,0.0,0.0,0.0,6.92373719969,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8333333333,0.95,25.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,14.0,1.0,0.0,1.0,1.0,3.4909,98.3312,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4900.0
5311240,0.302839556532,0.0,395.689,10.5361329951,0.490848034409,10.5361329951,-0.490848034409,428.19656645599997,164.0,-0.7663883501100001,0.0190019179287,0.302839556532,1.7069966454199998,625.074981425,21.225403871300003,16.7505356705,17.5064646165,13.863081100699999,10.508519467000001,10.88648394,8.04428649483,8.48072227531,5.771169615830001,6.00626671862,4.20780734237,4.38808425826,-1.34,2336959.6323599997,23.934264921799997,12.3769266678,8.50508830049,177.019914362,25.1629725332,12.3563937978,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,36.9297718275,62.139021412299996,11.4434549367,18.3118991632,29.957509717199997,17.5702451782,0.0,0.0,11.8358120923,76.0992937696,6.606881964509999,29.288101587600003,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,11.6009398902,51.3141959951,4.794537184069999,11.8358120923,57.7873946063,24.2654682738,5.02263331374,0.0,0.0,107.22,24.281204451199997,20.114119368599997,0.0,24.8635156798,36.4554316387,25.683286491700002,0.0,24.2654682738,0.0,0.0,21.4443302389,0.0,5.91658455339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3611932244,0.6818181818179999,29.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,7.0,13.0,1.0,0.0,1.0,2.0,3.6430000000000002,111.1362,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6700.0
9813912,0.327821356303,0.0,248.196,10.582183500700001,0.47807360352600003,10.582183500700001,-0.47807360352600003,264.115029752,100.0,-0.9308974914579999,0.772843915344,0.327821356303,2.0966970589700002,624.8762989319999,14.208896013399999,11.0681221666,11.0681221666,9.754020195419999,6.4602585662,6.4602585662,4.38756139802,4.38756139802,2.90820159135,2.90820159135,1.92987536564,1.92987536564,-2.61,41318.9045561,13.8131914347,7.095708234500001,4.24791818074,118.2546998,5.1065273948400005,0.0,0.0,0.0,0.0,5.969305287949999,0.0,4.794537184069999,0.0,0.0,66.7493438298,29.187196204899998,6.076020106830001,0.0,9.90106457891,18.1213455016,0.0,0.0,0.0,6.42082162293,0.0,83.43969830489999,0.0,0.0,0.0,0.0,0.0,0.0,11.0758326828,11.215358807000001,0.0,16.6903544751,66.7493438298,0.0,12.1520402137,0.0,37.3,5.969305287949999,4.794537184069999,0.0,0.0,0.0,23.111176098,6.076020106830001,6.076020106830001,54.5973036162,12.1520402137,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1666666667,0.0555555555556,20.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,4.0403,82.2918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0
9817405,0.327821356314,0.0,272.218,10.7018750501,0.47807360352600003,10.7018750501,-0.47807360352600003,288.115029752,108.0,-0.930084996707,0.7827050264550001,0.327821356314,1.9261201563400001,846.9599883230001,15.3635965517,12.0681221666,12.0681221666,10.7203466906,7.1882557367799995,7.1882557367799995,5.228664391580001,5.228664391580001,3.66901481259,3.66901481259,2.5875043928599997,2.5875043928599997,-2.87,137069.026804,14.083531974400001,6.26948056989,3.23278036225,128.896083135,5.1065273948400005,0.0,0.0,0.0,0.0,5.969305287949999,0.0,4.794537184069999,0.0,0.0,66.7300377531,39.9596446338,6.076020106830001,0.0,9.90106457891,22.817773823699998,0.0,0.0,0.0,6.42082162293,0.0,89.496412335,0.0,0.0,0.0,0.0,0.0,0.0,11.0758326828,11.215358807000001,0.0,16.6903544751,72.8060578599,0.0,16.8484685358,0.0,37.3,5.969305287949999,4.794537184069999,0.0,0.0,0.0,17.5477246063,22.4119200275,6.076020106830001,36.398202410799996,30.3318353423,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.05,22.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,4.5284,89.8658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0
9821171,0.335178574582,0.0,354.256,12.2368959841,0.47763924870700003,12.2368959841,-0.47763924870700003,379.17835828,146.0,-0.943951561532,0.00350355883094,0.335178574582,1.55400112398,829.440645189,19.9325106525,15.6992247728,15.6992247728,13.5248771433,9.54729499175,9.54729499175,7.087202152560001,7.087202152560001,5.05998748693,5.05998748693,3.49007499182,3.49007499182,-2.92,2559959.93931,19.8309343725,9.3292910166,5.299184027780001,164.478771773,15.1129645205,0.0,0.0,5.907179729349999,0.0,5.969305287949999,4.794537184069999,4.794537184069999,0.0,0.0,54.6166096929,36.1012803662,19.3863996518,17.7092587086,19.8021291578,11.8764850173,0.0,4.89990973085,0.0,37.8290937086,6.544756405909999,83.43969830489999,0.0,0.0,0.0,0.0,0.0,0.0,45.680013160600005,17.6361804299,0.0,34.326534905,66.7493438298,0.0,0.0,0.0,77.84,12.0732716757,14.695601762999999,0.0,17.5124720502,25.807221274699998,17.5477246063,0.0,30.341488380700003,41.30776518,0.0,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,0.304347826087,28.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,5.0,8.0,0.0,1.0,1.0,3.0,3.0781,107.1331,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.0
9863804,0.335178574582,0.0,332.23,12.1489857369,0.47763924870700003,12.1489857369,-0.47763924870700003,362.22055744,144.0,-0.935240530629,0.118174910524,0.335178574582,1.8000464567900003,587.9789070319999,18.9409468209,15.563170120699999,15.563170120699999,12.507239053,9.564421422110001,9.564421422110001,6.91090023205,6.91090023205,4.88759906261,4.88759906261,3.25217354653,3.25217354653,-1.92,695565.928875,20.3926200306,10.2825999775,6.10780068605,154.936076633,10.213054789700001,0.0,0.0,5.907179729349999,0.0,5.969305287949999,9.80344970803,9.80344970803,0.0,0.0,38.3189362054,36.9586504974,26.0550908407,11.6674178794,19.8021291578,11.8764850173,0.0,10.017825047899999,0.0,57.9734549479,19.634269217699998,35.3923712572,0.0,0.0,0.0,0.0,0.0,0.0,57.8456004604,11.215358807000001,0.0,61.370107104700004,24.2654682738,0.0,0.0,0.0,81.08,5.969305287949999,14.695601762999999,0.0,17.5745976088,38.896734086500004,31.246737983400003,0.0,29.274380797800003,5.008912523949999,6.92373719969,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.6,26.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,6.0,11.0,0.0,1.0,1.0,2.0,2.7079,99.7741,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2200.0
9865111,0.303177942711,0.0,360.283,10.9024986315,0.488347584219,10.9024986315,-0.488347584219,388.20384475599997,150.0,-0.750212529399,0.172983569121,0.303177942711,1.6259795527599998,931.693293779,20.4764807269,16.934554093800003,16.934554093800003,14.1310302931,10.170347983300001,10.170347983300001,7.35343463452,7.35343463452,5.1382593048,5.1382593048,3.60253553057,3.60253553057,-3.07,3977299.70456,20.658805287699998,10.467646805,6.21351708923,172.53442952900002,9.84339034864,12.3563937978,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,72.79640482149999,60.4242811499,6.42082162293,0.0,14.6379275327,5.969305287949999,0.0,0.0,0.0,45.6347272788,0.0,100.61366228,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,11.0758326828,30.663884017399997,6.92373719969,40.658900704299995,72.79640482149999,0.0,0.0,0.0,46.53,5.969305287949999,4.794537184069999,0.0,6.42082162293,13.0277035874,41.7023311772,11.126902983399999,0.0,36.398202410799996,43.3219396105,9.84339034864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1666666667,0.269230769231,29.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,3.0,5.76652,116.3768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0
