cid,compound,aveaffinty
681,CHEMBL59,3.7
1219,CHEMBL285755,148.0
2157,CHEMBL633,11966.5
2170,CHEMBL1113,34.0
2247,CHEMBL296419,4110.5
2726,CHEMBL71,922.0
2812,CHEMBL104,13452.0
2818,CHEMBL42,41.6769230769
3117,CHEMBL964,2127.5
3191,CHEMBL305660,877.65
3198,CHEMBL808,6299.5
3372,CHEMBL726,3969.0
3559,CHEMBL54,61.7293333333
3964,CHEMBL831,9.0
4189,CHEMBL91,10312.0
4585,CHEMBL715,50.0
4917,CHEMBL728,1560.5
5002,CHEMBL716,2200.0
5073,CHEMBL85,8.5
5265,CHEMBL267930,0.33
5355,CHEMBL26,2100.0
5452,CHEMBL479,991.5
6005,CHEMBL53,8.9
7077,CHEMBL186720,2765.0
30438,CHEMBL57478,570.0
54477,CHEMBL22242,3872.0
54562,CHEMBL240773,21.1666666667
55445,CHEMBL276500,130.0
60785,CHEMBL83894,2.9
60795,CHEMBL1112,168.0
60854,CHEMBL708,32.0
119570,CHEMBL301265,51.0333333333
122334,CHEMBL27441,117.0
133008,CHEMBL444309,3.33
133633,CHEMBL445102,927.425
181743,CHEMBL467094,262.0
188942,CHEMBL103772,4.4
233952,CHEMBL59324,8.0
511482,CHEMBL268799,1.6
749986,CHEMBL71173,94.0
863787,CHEMBL184772,94.95
1248739,CHEMBL380054,44.0
2653640,CHEMBL184486,1.25
2728532,CHEMBL328051,14.7
2733526,CHEMBL83,7537.0
2779264,CHEMBL326877,1100.0
2812861,CHEMBL99967,8.5
2993172,CHEMBL365697,6484.0
3038494,CHEMBL540612,44.0
3156990,CHEMBL109173,200.0
3645619,CHEMBL45244,12.845
3691783,CHEMBL103871,5.2
3746693,CHEMBL61080,61.0
4350931,CHEMBL441618,108.0
4420454,CHEMBL162762,22.0
5029739,CHEMBL293341,2.5
5249956,CHEMBL201525,134.0
5311200,CHEMBL267014,0.4655
5311377,CHEMBL251541,5.01
5312149,CHEMBL431298,130.0
6443209,CHEMBL2022280,109.0
6469693,CHEMBL212631,2.8
6469918,CHEMBL212370,7.0
6603897,CHEMBL60518,0.51
6604756,CHEMBL278751,48.0
6917970,CHEMBL487387,3748.0
8592415,CHEMBL182432,42.55
8704110,CHEMBL185263,76.3
9104271,CHEMBL69584,1.6
9799123,CHEMBL107742,3.0
9799781,CHEMBL351963,4.0
9816808,CHEMBL87137,315.5
9817253,CHEMBL314174,6.3
9817774,CHEMBL327782,3.8
9820680,CHEMBL86504,7.0
9821803,CHEMBL366043,5.0
9838216,CHEMBL64283,230.2
9840672,CHEMBL87192,3.1
9842859,CHEMBL80411,558.0
9849682,CHEMBL254500,123.03
9861462,CHEMBL219179,17.0
9861786,CHEMBL329398,15.8
9872676,CHEMBL210514,2510.0
9881815,CHEMBL89420,51.6
9883554,CHEMBL423659,25.455
9888555,CHEMBL424294,305.0
9903877,CHEMBL59752,10.0
9905249,CHEMBL28607,1.3
9906978,CHEMBL150161,126.275
9908125,CHEMBL344270,22.0
9925730,CHEMBL87067,61.1
9928332,CHEMBL268258,234.0
9930722,CHEMBL67414,1511.0
9949531,CHEMBL89037,11.2
9975465,CHEMBL49502,19.565
9980998,CHEMBL139926,1652.6
9992499,CHEMBL201483,1647.0
9995378,CHEMBL107529,130.0
9995379,CHEMBL314952,3.0
9995904,CHEMBL140099,0.52
10001519,CHEMBL28209,43.0
10014924,CHEMBL316983,2244.0
10021193,CHEMBL185156,3.0
10034684,CHEMBL19331,39200.0
10045525,CHEMBL68191,4.0
10065083,CHEMBL140872,6.53
10065188,CHEMBL298763,69.755
10086348,CHEMBL109101,371.54
10088259,CHEMBL300956,3.83
10092819,CHEMBL124444,30.0
10115074,CHEMBL354699,29.0
10137747,CHEMBL351612,65.0
10137748,CHEMBL159742,34.0
10157556,CHEMBL352207,5.0
10158455,CHEMBL349833,9.0
10224165,CHEMBL439646,19.0
10245409,CHEMBL156732,2.0
10247719,CHEMBL540039,72.0
10276451,CHEMBL59725,1164.0
10314824,CHEMBL143761,1.0
10315310,CHEMBL132884,0.525
10335148,CHEMBL2112912,34.0
10336039,CHEMBL343466,1.6
10336538,CHEMBL310843,3.73333333333
10357631,CHEMBL109063,275.42
10357869,CHEMBL104453,63.0
10359942,CHEMBL306265,1.3
10382581,CHEMBL296506,9.82
10385977,CHEMBL26929,37.0
10402378,CHEMBL184049,546.0
10403608,CHEMBL210405,1.0
10404144,CHEMBL7927,3.6
10406796,CHEMBL286725,1.3
10425024,CHEMBL108531,229.09
10425450,CHEMBL375596,8.0
10436285,CHEMBL301242,1483.0
10438027,CHEMBL184383,1960.0
