,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
471,0.202443576393,0.0,292.158,12.2007446775,0.507678566832,12.2007446775,-0.507678566832,304.05830272400004,114.0,-1.6047354497400002,0.0783659297052,0.202443576393,2.0823933247,768.7265466160001,16.016143379000003,11.0940164428,11.0940164428,10.3799178531,6.34999464422,6.34999464422,4.933723365590001,4.933723365590001,3.4498537073400004,3.4498537073400004,2.38159409232,2.38159409232,-2.93,86490.5230663,14.026132168699998,4.81456223519,2.07696343165,123.823728606,30.269499928000002,22.8119869915,23.7069564421,5.78324494636,0.0,0.0,4.794537184069999,0.0,0.0,0.0,6.06636706846,17.6961856286,12.1327341369,0.0,35.0640371121,5.78324494636,0.0,0.0,0.0,12.2079327755,0.0,41.458738325700004,0.0,28.7475591664,4.7368629538,0.0,28.7475591664,0.0,37.4198483083,0.0,0.0,22.0254065552,30.3318353423,0.0,0.0,0.0,127.45,29.490201388400003,30.3271741583,0.0,28.3754384832,0.0,18.199101205399998,12.1327341369,0.0,0.0,0.0,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.133333333333,22.0,5.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,1.1863,73.2495,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34100.0
1220,0.118598347733,0.0,222.18200000000002,9.997184271860002,0.507664382874,9.997184271860002,-0.507664382874,247.19361442,100.0,0.490876795163,0.490876795163,0.118598347733,2.11750269959,382.683392192,12.9578191578,11.653575736099999,11.653575736099999,8.75755015527,7.29609507987,7.29609507987,5.3474071835400006,5.3474071835400006,3.9729977478699996,3.9729977478699996,3.11383543898,3.11383543898,-1.02,14498.2159012,13.4125656613,6.23594166949,2.8626564914499997,110.62906053200001,10.0064371257,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9802085363,62.3868909783,6.04184082915,0.0,5.1065273948400005,0.0,0.0,4.89990973085,0.0,51.9934233432,13.0895128118,29.326004188800002,0.0,5.749511833280001,0.0,0.0,5.749511833280001,0.0,29.1377907667,12.841643245899999,0.0,44.236842251599995,18.199101205399998,0.0,0.0,0.0,23.47,0.0,5.1065273948400005,0.0,0.0,11.7913526624,12.841643245899999,43.478880663999995,0.0,12.1327341369,24.8137511987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8333333333,0.625,18.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.3715,76.0748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
1329,0.332233394081,0.0,280.202,12.602290249400001,0.33586774234399996,12.602290249400001,-0.33586774234399996,304.189926008,120.0,-0.230859315949,0.230601851852,0.332233394081,2.2322078088099997,777.7653189460001,15.6898699654,13.392341886099999,13.392341886099999,10.6682337578,8.40172988689,8.40172988689,6.19303375863,6.19303375863,4.51582223415,4.51582223415,3.42301991774,3.42301991774,-1.85,167190.384863,15.061393179100001,6.10323486089,2.40127270315,128.732691293,4.98397852095,11.341105215599999,5.647177220770001,0.0,5.55926689505,5.689743398200001,13.9287364797,9.77851570502,0.0,0.0,26.6891176452,25.683286491700002,19.007418858,0.0,0.0,11.163877938399999,0.0,19.1021563375,0.0,71.3798229949,0.0,26.6624891594,0.0,0.0,11.2490102933,0.0,0.0,0.0,19.1021563375,13.0895128118,0.0,64.1147146811,9.589074368139999,0.0,11.163877938399999,0.0,72.68,0.0,9.589074368139999,0.0,11.2490102933,30.1712967964,31.5076909897,17.4087428936,4.56709964779,13.847474399400001,9.96795704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99597836357,46.17068830310001,0.6875,22.0,1.0,6.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,6.0,5.0,1.0,0.0,1.0,3.0,2.3639,86.4047,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.625
1674,0.00962475823642,0.0,252.231,2.39361111111,0.061628992674900004,2.39361111111,-0.061628992674900004,268.125200512,100.0,1.18687192933,1.18687192933,-0.00962475823642,2.07952095199,1038.1304335,13.974327015799998,12.1103659851,12.1103659851,10.3264998405,7.683174524610001,7.683174524610001,6.19606623614,6.19606623614,5.1017773356000005,5.1017773356000005,4.08301900325,4.08301900325,-2.34,191428.667129,11.333739511700001,3.8545884497099996,1.39793767896,123.565391904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5309365477,74.8394472759,0.0,0.0,0.0,32.3173452868,0.0,0.0,0.0,19.7653804455,0.0,71.2876580912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245899999,6.92373719969,16.6903544751,54.5973036162,0.0,32.3173452868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.722440024300006,11.126902983399999,0.0,61.5210408158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.14285714285700002,21.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.55322,91.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4339.0
1676,0.32958184673700003,0.0,184.114,11.395416666700001,0.338727479908,11.395416666700001,-0.338727479908,194.08037556,74.0,-0.421432350718,0.345416666667,0.32958184673700003,2.86398986671,562.460346415,10.1293920331,7.70248760349,7.70248760349,6.73638210522,4.3992772552599995,4.3992772552599995,3.01205792708,3.01205792708,2.0148892283400004,2.0148892283400004,1.4131493823899999,1.4131493823899999,-1.85,2338.83745501,8.735233269239998,3.1323435976800003,1.15283874119,78.609014045,4.98397852095,5.51670071762,5.647177220770001,0.0,5.55926689505,5.689743398200001,14.3456153528,9.77851570502,0.0,0.0,6.92373719969,6.42082162293,6.544756405909999,6.327320074759999,0.0,11.163877938399999,0.0,19.5190352106,0.0,19.8893152285,0.0,27.1654047362,0.0,0.0,11.2490102933,0.0,0.0,0.0,19.5190352106,6.544756405909999,0.0,13.3445588226,15.9163944429,0.0,11.163877938399999,0.0,83.54,11.2490102933,9.589074368139999,0.0,0.0,17.708634344300002,6.42082162293,10.8944197226,0.0,6.92373719969,14.9519355628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45162037037,36.2150462963,0.375,14.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,-0.1771,51.2654,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92600.0
1752,0.115094840118,0.0,196.16400000000002,9.14873581065,0.507966645252,9.14873581065,-0.507966645252,220.182715388,90.0,0.364181127223,0.364181127223,0.115094840118,2.00563651146,263.268369832,11.6399819126,10.4134689218,10.4134689218,7.8256985027,6.6056341745800005,6.6056341745800005,4.5377675237699995,4.5377675237699995,3.00534552551,3.00534552551,1.9488455233700002,1.9488455233700002,-0.98,4486.56491274,13.0865778961,8.204476409169999,5.79309094224,99.5101159013,5.1065273948400005,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5814010742,30.537828874499997,0.0,0.0,5.1065273948400005,0.0,0.0,0.0,0.0,58.290310183100004,0.0,29.8289197655,0.0,5.749511833280001,0.0,0.0,5.749511833280001,0.0,5.1065273948400005,6.42082162293,0.0,57.4329400519,24.2654682738,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,5.749511833280001,6.42082162293,50.509202852200005,12.1327341369,12.1327341369,6.92373719969,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3333333333,0.6,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,4.6853,69.8038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1498.5
1908,0.33170356172,0.0,324.233,12.097541568699999,0.33207485850699997,12.097541568699999,-0.33207485850699997,336.052840484,120.0,-4.2804539010400005,0.16986689814800002,0.33170356172,2.22448963735,1136.05209421,16.9387931098,12.139496911099998,12.955993492000001,10.697395868400001,6.435715137409999,7.875778466210001,4.98922146819,6.410758668630001,3.5203938152699994,4.388278032380001,2.2475332411599998,2.7275543507599997,-2.72,156452.01709500002,15.186288175,4.8946862149,2.3705717659,129.139773633,4.98397852095,11.341105215599999,5.647177220770001,0.0,15.6773937541,5.689743398200001,18.4814863533,9.77851570502,8.417796984330002,0.0,0.0,24.2654682738,19.658795457100002,4.89548347552,12.970546857999999,21.2820047974,0.0,19.1021563375,14.0953439654,4.89548347552,0.0,45.10355293520001,0.0,11.3878559897,11.2490102933,0.0,0.0,0.0,32.072703195500004,24.2134708244,0.0,0.0,38.7500261175,0.0,22.5517339281,0.0,127.05,21.3671371523,18.0068713525,0.0,16.0593614139,11.3878559897,4.56709964779,42.927911887,0.0,0.0,9.96795704189,4.55274987369,0.0,-4.2804539010400005,0.0,0.0,0.0,0.0,0.0,0.0,33.2402833233,39.1235039111,0.153846153846,23.0,2.0,9.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,2.0,10.0,2.0,0.0,0.0,0.0,3.0,-0.126,81.8263,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5890.0
1917,0.331703410952,0.0,232.158,12.0078925737,0.335868047946,12.0078925737,-0.335868047946,248.12732575200002,96.0,-0.336137093726,0.30106764928199997,0.331703410952,2.288636665,715.978242193,12.861442840599999,10.5639147614,10.5639147614,8.59222415288,6.24948798349,6.24948798349,5.0077918221,5.0077918221,3.85496803498,3.85496803498,2.7364991815499997,2.7364991815499997,-1.85,22649.662549599998,11.252383717,3.8279716628400005,1.44500139519,103.272922836,4.98397852095,11.341105215599999,5.647177220770001,0.0,5.55926689505,5.689743398200001,13.9287364797,9.77851570502,0.0,0.0,12.841643245899999,12.841643245899999,20.013250011500002,0.0,0.0,11.163877938399999,0.0,19.1021563375,14.0953439654,31.6011925379,0.0,26.6624891594,0.0,0.0,11.2490102933,0.0,0.0,0.0,19.1021563375,14.0953439654,0.0,37.425597035900005,9.589074368139999,0.0,11.163877938399999,0.0,72.68,0.0,9.589074368139999,0.0,11.2490102933,17.0817839845,23.2331473916,24.456414876300002,7.04767198268,0.0,9.96795704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53236725246,40.6342994142,0.583333333333,18.0,1.0,6.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,6.0,1.0,1.0,0.0,1.0,3.0,0.6179,67.7847,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0
1922,0.33170356172,0.0,244.169,12.0243285462,0.332074867391,12.0243285462,-0.332074867391,256.096025624,96.0,-0.385544742588,0.336530612245,0.33170356172,2.39812906586,871.2799878789999,13.5685496218,10.5448887134,10.5448887134,9.09222415288,5.8049998704900005,5.8049998704900005,4.35580313715,4.35580313715,3.14200726226,3.14200726226,2.05878100474,2.05878100474,-2.63,34677.449009300006,11.459828064000002,3.94338093269,1.60533487364,107.511137623,4.98397852095,11.341105215599999,5.647177220770001,0.0,5.55926689505,5.689743398200001,13.9287364797,9.77851570502,0.0,0.0,30.3318353423,0.0,19.658795457100002,0.0,0.0,11.163877938399999,0.0,19.1021563375,14.0953439654,0.0,0.0,51.1699200037,0.0,11.3878559897,11.2490102933,0.0,0.0,0.0,19.1021563375,14.0953439654,0.0,0.0,39.9209097105,0.0,22.5517339281,0.0,72.68,0.0,9.589074368139999,0.0,11.2490102933,16.988282436400002,10.1305511395,11.6147716305,7.04767198268,30.3318353423,9.96795704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42555555556,45.074444444399994,0.153846153846,19.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,0.6273,72.0117,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0
2153,0.331703247398,0.0,172.10299999999998,11.440787037,0.33872132070699995,11.440787037,-0.33872132070699995,180.064725496,68.0,-0.37074074074100005,0.351296296296,0.331703247398,3.2118538130400003,574.170559382,9.5854219587,7.235487636619999,7.235487636619999,6.12589765769,3.71758349456,3.71758349456,2.80690399379,2.80690399379,2.0293961455200002,2.0293961455200002,1.26892328553,1.26892328553,-1.85,1349.04435146,7.7813400735,2.31723817055,0.850794083964,72.4540434172,4.98397852095,5.51670071762,5.647177220770001,0.0,5.55926689505,5.689743398200001,13.9287364797,9.77851570502,0.0,0.0,0.0,0.0,14.0953439654,6.327320074759999,0.0,11.163877938399999,0.0,19.1021563375,14.0953439654,0.0,0.0,27.1654047362,0.0,0.0,11.2490102933,0.0,0.0,0.0,19.1021563375,14.0953439654,0.0,0.0,15.9163944429,0.0,11.163877938399999,0.0,72.68,0.0,9.589074368139999,0.0,11.2490102933,11.163877938399999,4.56709964779,17.9420917052,7.04767198268,0.0,9.96795704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3687962962999998,33.7978703704,0.28571428571400004,13.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,-1.0397,46.5757,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49142.8
