cid,compound,aveaffinty
5957,CHEMBL14249,1500.0
121990,CHEMBL435402,1026.17543478
162565,CHEMBL1368696,770.0
989142,CHEMBL255505,4900.0
1188014,CHEMBL1518422,13000.0
1226686,CHEMBL2071529,6000.0
5310983,CHEMBL336208,34.0
5311303,CHEMBL129841,436.555555556
7283514,CHEMBL518040,400.0
7312981,CHEMBL461532,400.0
7313032,CHEMBL453637,500.0
9847505,CHEMBL2112864,2.5
10601567,CHEMBL2112863,17.6
10894633,CHEMBL153254,76.0
11409030,CHEMBL2112865,91.0
11510223,CHEMBL2333354,31.0
11510273,CHEMBL2333773,16.0
11510579,CHEMBL2333770,6.0
11531074,CHEMBL2333761,28.0
11560464,CHEMBL2333772,7.0
11575089,CHEMBL2333763,172.0
11611428,CHEMBL2333771,8.0
11648059,CHEMBL2333356,28.0
11675204,CHEMBL2333766,7.0
16738126,CHEMBL227235,66.0
24743975,CHEMBL255724,10.0
24958668,CHEMBL255306,90.0
24958669,CHEMBL258406,50.0
24959029,CHEMBL256776,100.0
24959030,CHEMBL255094,120.0
24959031,CHEMBL403879,130.0
24959032,CHEMBL255726,250.0
24959398,CHEMBL257560,250.0
24959759,CHEMBL255308,140.0
24959760,CHEMBL403555,290.0
24959763,CHEMBL256141,30.0
24960128,CHEMBL255307,70.0
24960131,CHEMBL255095,20.0
24960132,CHEMBL402837,60.0
24960493,CHEMBL257559,60.0
24960497,CHEMBL256088,30.0
25099564,CHEMBL255728,150.0
25169254,CHEMBL462373,70.0
40995076,CHEMBL454910,100.0
44306835,CHEMBL302077,52.0
44353605,CHEMBL339873,10.0
44364208,CHEMBL146342,5.1
44364283,CHEMBL343651,12.6
44425066,CHEMBL375682,540.0
44425067,CHEMBL226807,650.0
44425068,CHEMBL226857,1430.0
44425069,CHEMBL390149,95.0
44425070,CHEMBL435930,273.0
44425071,CHEMBL375022,706.0
44448768,CHEMBL255093,5200.0
44448803,CHEMBL258407,1800.0
44448831,CHEMBL444278,1.04666666667
44448911,CHEMBL258235,1200.0
44448974,CHEMBL255447,760.0
44449026,CHEMBL256089,120.0
44449075,CHEMBL430029,2700.0
44449077,CHEMBL402563,130.0
44449103,CHEMBL404869,200.0
44449104,CHEMBL255310,180.0
44449105,CHEMBL401657,560.0
44449130,CHEMBL402597,700.0
44449132,CHEMBL255278,7200.0
44449165,CHEMBL257378,270.0
44449195,CHEMBL255727,960.0
44562653,CHEMBL454913,300.0
44562758,CHEMBL462367,300.0
44562759,CHEMBL518823,500.0
44562761,CHEMBL462369,100.0
44562795,CHEMBL461325,400.0
44562796,CHEMBL461326,200.0
44562797,CHEMBL516508,800.0
44563235,CHEMBL518042,100.0
46229259,CHEMBL603128,722.0
46911435,CHEMBL1169909,140.0
46911436,CHEMBL1172466,300.0
46911481,CHEMBL1172139,600.0
49797754,CHEMBL1170327,640.0
49797755,CHEMBL1170328,760.0
49798097,CHEMBL1172138,2500.0
49798145,CHEMBL1170183,400.0
66554126,CHEMBL2071532,27000.0
66554204,CHEMBL2071534,42000.0
66554207,CHEMBL2071537,45000.0
68528291,CHEMBL2333352,69.0
68529945,CHEMBL2333774,75.0
68530100,CHEMBL2333767,20.0
68530233,CHEMBL2333351,145.0
68530266,CHEMBL2333357,21.0
68530361,CHEMBL2333762,77.0
68531201,CHEMBL2333361,84.0
68531895,CHEMBL2333759,18.0
68532402,CHEMBL2333756,169.0
68533208,CHEMBL2333768,175.0
68533659,CHEMBL2333760,33.0
68533783,CHEMBL2333353,48.0
68533937,CHEMBL2333776,47.0
68534894,CHEMBL2333350,128.0
70691003,CHEMBL2071530,10000.0
71449106,CHEMBL2112866,330.0
71449107,CHEMBL2112867,3.6
71452656,CHEMBL2112007,430.0
71452712,CHEMBL2112861,863.0
71458038,CHEMBL2112869,80.0
71461640,CHEMBL2112868,45.0
71574469,CHEMBL2333775,171.0
71574471,CHEMBL2333349,607.0
71574567,CHEMBL2333355,313.0
71574659,CHEMBL2333358,506.0
71574660,CHEMBL2333359,571.0
71574661,CHEMBL2333360,644.0
71574756,CHEMBL2333758,2000.0
