,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
3884,0.23357561239,0.0,228.162,11.914316893399999,0.506854364696,11.914316893399999,-0.506854364696,242.094294308,92.0,-0.607685185185,0.0762037037037,0.23357561239,2.55181512058,587.51120677,13.2840925714,10.3575683036,10.3575683036,8.5197445078,5.75968217306,5.75968217306,4.51659082044,4.51659082044,2.90740942917,2.90740942917,1.9126272211400002,1.9126272211400002,-2.16,11349.2464759,12.3009542939,4.606837550990001,1.99253256878,105.448122883,5.1065273948400005,5.75916487166,0.0,11.5664898927,0.0,0.0,9.589074368139999,0.0,0.0,0.0,35.9145929107,20.2682960223,16.700007513499997,0.0,14.695601762999999,17.3256547644,0.0,0.0,0.0,20.2682960223,0.0,52.6146004242,0.0,0.0,0.0,0.0,0.0,0.0,16.6730172876,4.794537184069999,0.0,36.1897361898,41.4876974408,0.0,5.75916487166,0.0,54.37,11.5664898927,14.695601762999999,0.0,23.3165425163,5.5634514916999995,5.573104530069999,0.0,24.2654682738,19.923494506199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1666666667,0.2,18.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0774,69.3763,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4660.0
4488,0.415985511567,0.0,273.149,12.5766539641,0.477540537039,12.5766539641,-0.477540537039,282.06161218799997,104.0,-4.4608785667,0.0145143613001,0.415985511567,2.33793051164,641.508549507,14.750712376600001,9.97802078482,9.97802078482,9.37602866335,5.5031923463,5.5031923463,3.9082855584500003,3.9082855584500003,2.49075846322,2.49075846322,1.5874863150100003,1.5874863150100003,-2.57,26005.527726499997,13.8522985654,5.19897585329,3.05495411023,111.44025378,10.4233159988,11.3813142695,0.0,0.0,0.0,12.1456038054,0.0,9.77851570502,13.171245143,0.0,6.06636706846,30.3318353423,11.884229846300002,5.5634514916999995,23.0723097219,17.4745543405,0.0,4.98397852095,0.0,6.176298517439999,5.316788604009999,53.721948965799996,0.0,0.0,5.316788604009999,24.676494195500002,0.0,0.0,16.059811203699997,6.176298517439999,0.0,15.9214401675,42.595045982399995,0.0,0.0,0.0,62.22,17.7090552971,17.9657823271,0.0,17.068700544200002,0.0,12.1327341369,30.4623118455,0.0,0.0,10.300767125,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.729961892199995,28.3533714412,0.0769230769231,20.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,2.0,3.5422,65.923,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0
5722,0.302939458721,0.0,258.176,11.864881346099999,0.49283538145800004,11.864881346099999,-0.49283538145800004,271.106924656,102.0,-0.423338346141,0.195099705005,0.302939458721,2.11288192481,748.4987947989999,13.9493829894,10.881752006600001,10.881752006600001,9.79202499788,6.323021261930001,6.323021261930001,4.24280768319,4.24280768319,2.78369270147,2.78369270147,1.8687116345500001,1.8687116345500001,-2.7,67654.42226230001,12.339759456600001,5.11970776476,2.1328777208900003,113.91916956600001,4.7368629538,5.749511833280001,17.3427369908,0.0,0.0,5.55926689505,9.89321899237,10.197363616599999,10.0826603292,0.0,19.0564713366,18.553555759800002,0.0,12.170333456199998,4.7368629538,0.0,0.0,25.378705754200002,0.0,13.3445588226,6.606881964509999,34.619272353,0.0,28.6557003158,10.2961298489,0.0,5.749511833280001,0.0,31.9855877187,0.0,0.0,13.3445588226,29.0600054579,0.0,22.9061884825,0.0,96.55,5.55926689505,4.794537184069999,0.0,5.69392799485,29.568654285500003,6.42082162293,0.0,0.0,31.1892054735,25.378705754200002,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.23076923076900002,20.0,2.0,7.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,2.0,7.0,4.0,0.0,0.0,0.0,3.0,1.4486,72.6424,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0
10138,0.219925792699,0.0,288.17,11.5878307631,0.504160734227,11.5878307631,-0.504160734227,300.063388104,112.0,-1.33434618292,0.0816803665911,0.219925792699,2.02947500695,829.2829404510001,15.645899891,11.3289656021,11.3289656021,10.404502649600001,6.717394928740001,6.717394928740001,5.65909606551,5.65909606551,4.23719135146,4.23719135146,3.25786045241,3.25786045241,-2.73,128968.530528,12.969354918599999,3.92287470333,1.4965406374399999,124.446524045,25.1629725332,12.2079327755,17.2581885382,11.5327567796,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,35.4309834107,17.5573776447,0.0,29.957509717199997,11.356349476400002,0.0,0.0,0.0,12.0218724339,6.606881964509999,46.753599774099996,0.0,17.2485354999,4.7368629538,0.0,17.2485354999,0.0,38.4172873012,4.794537184069999,0.0,11.9842731146,41.190148282399996,0.0,5.573104530069999,0.0,107.22,22.8929724623,25.2206467634,0.0,24.526727254,22.2827650819,0.0,24.2847743506,0.0,0.0,0.0,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75,0.1875,22.0,4.0,6.0,2.0,1.0,3.0,1.0,0.0,1.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,1.3296,75.5552,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30400.0
73157,0.34773988400300004,0.0,428.267,13.0755047278,0.506892079199,13.0755047278,-0.506892079199,456.178417856,176.0,-1.31734253008,0.0357530496767,0.34773988400300004,2.2080180638,1086.54499076,24.120591385700003,19.0257152097,19.0257152097,15.815299465499999,11.091826198900002,11.091826198900002,7.90517109107,7.90517109107,5.55579177734,5.55579177734,3.84724949057,3.84724949057,-3.55,17933087.1472,24.0995282339,10.3776541516,4.94390788773,191.640583152,24.4236436511,28.3754384832,17.2822686129,0.0,0.0,11.938610575899999,4.794537184069999,9.589074368139999,0.0,0.0,33.1099392682,25.328831937199997,29.680458743200003,7.10979754128,38.8072552033,17.7218555223,0.0,0.0,0.0,58.7932257599,7.10979754128,40.4529071722,0.0,28.7475591664,14.210588861400002,0.0,28.7475591664,0.0,35.0447078532,6.42082162293,0.0,89.0098216559,18.199101205399998,0.0,0.0,0.0,119.36,17.688122409200002,24.5966663419,0.0,51.706408035900004,25.0119767021,25.328831937199997,19.2425316782,0.0,13.847474399400001,0.0,14.210588861400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.4,33.0,2.0,8.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,8.0,10.0,0.0,0.0,0.0,3.0,5.5295,120.1771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4540.0
5098885,0.335346196972,0.0,240.12599999999998,11.5156897203,0.504242332826,11.5156897203,-0.504242332826,248.03208797599999,92.0,-1.33651407785,0.12712962963,0.335346196972,3.0818873661199997,719.731387147,13.4472292783,8.91475203969,8.91475203969,8.41359135792,4.86805962237,4.86805962237,3.6595494115199996,3.6595494115199996,2.5036071456,2.5036071456,1.6303877625,1.6303877625,-2.76,10124.455716600001,11.7174442476,3.91838638139,1.69193357498,99.98847653440001,20.426109579400002,0.0,17.2485354999,5.428790391900001,0.0,5.969305287949999,4.794537184069999,4.794537184069999,0.0,0.0,6.06636706846,17.518958351400002,6.06636706846,10.949675706199999,25.2206467634,16.7417537169,0.0,0.0,0.0,0.0,0.0,40.0522473415,0.0,17.2485354999,5.428790391900001,0.0,17.2485354999,0.0,26.3954148673,0.0,0.0,10.3579886758,29.0600054579,0.0,10.7724484289,0.0,115.06,28.646631179699998,24.9086565527,0.0,16.3358999206,0.0,18.199101205399998,6.06636706846,0.0,0.0,0.0,5.1065273948400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3333333333,0.0,18.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,1.015,62.1717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
5280343,0.23828858164,0.0,292.158,12.1428743071,0.507678165573,12.1428743071,-0.507678165573,302.04265266,112.0,-0.8876714852609999,0.133919123205,0.23828858164,2.37725796845,956.2426827830001,16.016143379000003,10.9393159044,10.9393159044,10.3799178531,6.12314083454,6.12314083454,4.65044255698,4.65044255698,3.17295562639,3.17295562639,2.1354616453,2.1354616453,-3.35,86490.5230663,13.624737496300002,4.5899379469,1.95686721795,122.10766954200001,29.9497879113,22.4682680227,17.259271085399998,11.1783022252,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,18.199101205399998,17.6961856286,0.0,29.9497879113,10.969244356099999,0.0,0.0,0.0,0.0,0.0,40.5551629183,0.0,40.071258076999996,5.428790391900001,0.0,28.7475591664,0.0,25.5326369742,0.0,0.0,0.0,39.5435234634,0.0,22.2929432667,0.0,131.36,22.6773258918,30.3271741583,0.0,33.7919669332,0.0,24.2654682738,6.06636706846,0.0,0.0,0.0,4.41715093705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3532388511,61.8134278156,0.0,22.0,5.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,1.9880000000000002,76.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0
5280445,0.19657917391899998,0.0,276.159,12.0433372701,0.50767816586,12.0433372701,-0.50767816586,286.04773804,106.0,-0.489523337113,0.0162636999244,0.19657917391899998,2.2943459566,909.916284955,15.145899891,10.5694525781,10.5694525781,9.952397498180002,5.9768843059800005,5.9768843059800005,4.51642657629,4.51642657629,3.05455295494,3.05455295494,2.07289002532,2.07289002532,-3.15,56060.202076400004,12.862251838399999,4.44782919916,2.12159209157,117.31343579,24.843260516399997,28.2285154415,16.927814058499997,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,18.199101205399998,23.762552697100002,0.0,24.843260516399997,10.969244356099999,0.0,0.0,0.0,0.0,0.0,46.621529986700004,0.0,34.3217462437,5.428790391900001,0.0,22.9980473331,0.0,20.426109579400002,0.0,0.0,0.0,45.60989053189999,0.0,22.2929432667,0.0,111.13,5.428790391900001,25.2206467634,0.0,39.7275391081,5.5634514916999995,12.1327341369,24.2654682738,0.0,0.0,0.0,4.41715093705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47245181406,56.0275481859,0.0,21.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,2.2824,74.5792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18600.0
5281605,0.20084962696699998,0.0,260.16,12.0444666478,0.504067897433,12.0444666478,-0.504067897433,270.05282342,100.0,-0.738647119342,0.00384542705971,0.20084962696699998,2.36233285347,849.507138681,14.275656403,10.199589251799999,10.199589251799999,9.57538740047,5.84857696985,5.84857696985,4.30696892787,4.30696892787,3.00474790345,3.00474790345,2.02356439718,2.02356439718,-2.95,42910.892908199996,12.1027621055,4.30780229351,1.76304267841,112.51920203799999,19.7367331216,16.729491775,16.927814058499997,5.749511833280001,0.0,0.0,4.794537184069999,0.0,0.0,0.0,30.3318353423,0.0,17.6961856286,0.0,19.7367331216,10.969244356099999,0.0,0.0,0.0,0.0,0.0,52.687897055200004,0.0,28.5722344104,5.428790391900001,0.0,17.2485354999,0.0,15.3195821845,0.0,0.0,0.0,51.6762576004,0.0,22.2929432667,0.0,90.9,22.6773258918,20.114119368599997,0.0,10.969244356099999,11.3236989106,6.06636706846,6.06636706846,24.2654682738,6.06636706846,0.0,4.41715093705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51421296296,50.3191203704,0.0,20.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,2.5768,72.9144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28200.0
5281670,0.23829122153299997,0.0,292.158,12.1501140086,0.507822516039,12.1501140086,-0.507822516039,302.04265266,112.0,-0.915532407407,0.030432728646999998,0.23829122153299997,2.40772867095,956.2426827830001,16.016143379000003,10.9393159044,10.9393159044,10.3799178531,6.12314083454,6.12314083454,4.64840103568,4.64840103568,3.16129401339,3.16129401339,2.16972125277,2.16972125277,-3.35,83673.6214837,13.624737496300002,4.5899379469,1.95686721795,122.10766954200001,29.9497879113,33.9672916892,5.76024741887,11.1783022252,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,12.1327341369,18.199101205399998,5.5634514916999995,29.9497879113,10.969244356099999,0.0,0.0,0.0,0.0,0.0,40.5551629183,0.0,40.071258076999996,5.428790391900001,0.0,28.7475591664,0.0,25.5326369742,0.0,0.0,0.0,39.5435234634,0.0,22.2929432667,0.0,131.36,22.6773258918,30.3271741583,0.0,33.7919669332,0.0,18.199101205399998,12.1327341369,0.0,0.0,0.0,4.41715093705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33018329554,61.836483371099995,0.0,22.0,5.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,1.9880000000000002,76.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0
