cid,compound,aveaffinty
938,CHEMBL573,329.222222222
444539,CHEMBL27246,4900.0
637542,CHEMBL66879,14000.0
643402,CHEMBL1771761,8100.0
643403,CHEMBL298683,14000.0
735981,CHEMBL1771765,5500.0
776416,CHEMBL128604,10400.0
882926,CHEMBL228244,6000.0
4268702,CHEMBL443733,1200.0
5358902,CHEMBL1771637,410.0
5369209,CHEMBL589586,180.0
5475335,CHEMBL1771640,760.0
5816396,CHEMBL1771642,2500.0
6057891,CHEMBL1771639,4200.0
6436431,CHEMBL1771638,1000.0
6437229,CHEMBL1771737,3500.0
10103897,CHEMBL1771641,700.0
11159621,CHEMBL456145,1435.0
11183317,CHEMBL519338,4600.0
11299550,CHEMBL520159,2500.0
11424509,CHEMBL500239,690.0
11493732,CHEMBL522649,128.333333333
11494579,CHEMBL482768,38.5
11501164,CHEMBL492220,87.0
11501698,CHEMBL521326,24.0
11502021,CHEMBL482963,102.5
11516324,CHEMBL483352,19.5
11523095,CHEMBL483153,1000.0
11523725,CHEMBL483353,27.0
11560300,CHEMBL235256,24.5
11566404,CHEMBL391603,545.0
11594881,CHEMBL235740,546.666666667
11610260,CHEMBL391812,3400.0
11610363,CHEMBL237247,490.5
11617151,CHEMBL235741,342.0
11617480,CHEMBL235952,47.5
11617852,CHEMBL484783,65.5
11624691,CHEMBL1085711,38.0
11638560,CHEMBL491002,34.0
11639448,CHEMBL520136,45.5
11646179,CHEMBL485185,144.0
11647028,CHEMBL235954,42.5
11736428,CHEMBL509541,210.0
11852982,CHEMBL1208922,200.0
12002517,CHEMBL519966,140.0
12002518,CHEMBL507182,70.0
12002520,CHEMBL482943,2700.0
12002521,CHEMBL485194,7700.0
12002522,CHEMBL502716,290.0
12002523,CHEMBL447050,1900.0
12002524,CHEMBL519811,610.0
12002525,CHEMBL520676,140.0
12002616,CHEMBL483142,760.0
12002618,CHEMBL520137,60.0
12002619,CHEMBL483141,2400.0
12002717,CHEMBL565163,725.0
12002802,CHEMBL558334,2150.0
12003490,CHEMBL1208923,20.0
12003596,CHEMBL1208924,240.0
12003597,CHEMBL1208925,90.0
12003601,CHEMBL1208987,1900.0
12003692,CHEMBL1208988,4000.0
12003694,CHEMBL1208986,390.0
12003695,CHEMBL1208926,2100.0
12003699,CHEMBL560405,28000.0
12003785,CHEMBL562632,2335.0
12003787,CHEMBL558463,583.5
12003788,CHEMBL542000,760.0
12003790,CHEMBL560406,1480.0
12003791,CHEMBL539398,1983.33333333
12003879,CHEMBL520675,430.0
12003880,CHEMBL504980,410.0
14112183,CHEMBL1771738,5700.0
15981408,CHEMBL250690,5100.0
15986755,CHEMBL482698,42.0
15986758,CHEMBL485326,61.5
15986837,CHEMBL485196,11.5
15986930,CHEMBL485327,321.5
15986931,CHEMBL520513,40.5
15987024,CHEMBL1084393,473.0
15987025,CHEMBL1086656,88.1666666667
15987029,CHEMBL1088213,324.0
15987030,CHEMBL1086657,205.0
16048768,CHEMBL251222,2525.0
16048770,CHEMBL252306,1075.0
16048839,CHEMBL401469,3100.0
16048840,CHEMBL248851,2700.0
16048842,CHEMBL398496,305.0
16048843,CHEMBL398762,11850.0
16048845,CHEMBL429120,7900.0
16048917,CHEMBL398414,11000.0
16048918,CHEMBL399859,5935.0
16048919,CHEMBL252708,1795.0
16048920,CHEMBL253128,3295.0
16048921,CHEMBL401470,13850.0
16048923,CHEMBL252506,5600.0
16048992,CHEMBL252707,7550.0
16048993,CHEMBL439060,7800.0
16048995,CHEMBL252505,44500.0
16048997,CHEMBL252507,20000.0
16048998,CHEMBL252307,4200.0
17751514,CHEMBL1770172,515.0
17751630,CHEMBL1083743,64.0
23582251,CHEMBL1224073,450.0
24741306,CHEMBL428724,1225.0
24741307,CHEMBL236163,58.5
24741308,CHEMBL236164,330.0
24741309,CHEMBL237037,228.0
24741310,CHEMBL237543,679.0
24741311,CHEMBL391813,65.0
24741312,CHEMBL237036,130.0
24811199,CHEMBL1083139,231.0
24811547,CHEMBL1086355,63.0
24811550,CHEMBL1083450,40.0
24860431,CHEMBL236162,3.5
24864314,CHEMBL1224220,1200.0
24864315,CHEMBL1224223,4300.0
24864316,CHEMBL1224294,4400.0
24864503,CHEMBL1223961,1100.0
24864504,CHEMBL1224075,4700.0
24864505,CHEMBL1223959,250.0
24864680,CHEMBL1223960,370.0
24864681,CHEMBL1224074,860.0
24864683,CHEMBL1224292,1700.0
24864684,CHEMBL1224221,440.0
24864685,CHEMBL1224218,600.0
24864865,CHEMBL1224072,230.0
24864866,CHEMBL1224070,32.5
24865038,CHEMBL1224219,195.0
24865230,CHEMBL1221438,230.0
24865231,CHEMBL1224293,1500.0
24866317,CHEMBL1223874,5900.0
24866320,CHEMBL1223823,4400.0
24866479,CHEMBL1223875,19000.0
24866650,CHEMBL1223958,920.0
24866818,CHEMBL1223877,840.0
24866981,CHEMBL1223957,130.0
24866982,CHEMBL1223878,670.0
24866983,CHEMBL1224146,220.0
24866985,CHEMBL1224145,6300.0
24866986,CHEMBL1224147,1565.0
25101223,CHEMBL490599,145.0
42625213,CHEMBL520620,360.5
42625214,CHEMBL483996,4700.0
42625218,CHEMBL483140,15.0
42625378,CHEMBL483160,485.0
42625379,CHEMBL520299,27.0
42625380,CHEMBL484605,360.0
42625381,CHEMBL482980,380.0
42625382,CHEMBL485184,1470.0
42625474,CHEMBL483139,4.75
42625475,CHEMBL483336,22.0
42625476,CHEMBL483337,24.5
44445341,CHEMBL398625,3950.0
44579645,CHEMBL491227,930.0
44579646,CHEMBL490413,1800.0
44579647,CHEMBL522281,460.0
44579648,CHEMBL490414,2300.0
44579693,CHEMBL491396,1300.0
44579742,CHEMBL491003,55.0
44579761,CHEMBL492019,2100.0
44579762,CHEMBL492020,1000.0
44579763,CHEMBL490600,3150.0
44579779,CHEMBL489787,1900.0
44579780,CHEMBL492027,1400.0
44580007,CHEMBL490215,3300.0
44580008,CHEMBL490216,3500.0
44580036,CHEMBL491439,2300.0
44580038,CHEMBL490221,1300.0
44591586,CHEMBL482979,4800.0
44591601,CHEMBL484172,870.0
44591602,CHEMBL501585,5200.0
44591603,CHEMBL519689,16000.0
44591604,CHEMBL485195,5000.0
45378261,CHEMBL1086658,4570.5
45378396,CHEMBL1088074,723.333333333
45378397,CHEMBL1084394,10410.0
45378398,CHEMBL1084657,420.7
46881441,CHEMBL1087302,40.4
46890268,CHEMBL1083174,236.5
46890269,CHEMBL1086353,9.0
46890270,CHEMBL1086354,18.0
46890271,CHEMBL1086356,420.0
46890296,CHEMBL1085652,5300.0
46890297,CHEMBL1085653,21.0
46890298,CHEMBL1085414,17.7
46890299,CHEMBL1085655,69.3
46890327,CHEMBL1083138,7.0
46890328,CHEMBL1083451,56.0
46890399,CHEMBL1086029,247.0
46890400,CHEMBL1086030,1385.0
46890401,CHEMBL1086031,86.5
46890451,CHEMBL1084576,10.5
46890452,CHEMBL1084030,17.0
46890453,CHEMBL1084031,53.5
46890498,CHEMBL1085589,9.0
46890499,CHEMBL1086225,25.0
46890500,CHEMBL1085815,262.5
46890501,CHEMBL1085816,246.0
46890537,CHEMBL1084839,143.5
46890538,CHEMBL1084840,167.5
46890539,CHEMBL1084841,20.5
46890577,CHEMBL1083442,27.0
46890578,CHEMBL1082294,30.5
46890579,CHEMBL1084798,3840.0
46890580,CHEMBL1084799,40.5
49797316,CHEMBL237248,39.25
49862072,CHEMBL1208919,380.0
49862073,CHEMBL1208920,1700.0
49862074,CHEMBL1208921,1300.0
49865705,CHEMBL1223819,1500.0
49865734,CHEMBL1223876,48000.0
49865786,CHEMBL1223956,370.0
49865864,CHEMBL1224071,33.0
49865974,CHEMBL1224222,410.0
52946555,CHEMBL1204125,2825.0
53238781,CHEMBL1770358,113.0
54580649,CHEMBL1771739,10000.0
54580748,CHEMBL1770173,39.0
54581787,CHEMBL1770353,20.0
54581788,CHEMBL1770357,370.5
54582648,CHEMBL1771743,9800.0
54582649,CHEMBL1771745,2400.0
54582731,CHEMBL1770178,1789.0
54582750,CHEMBL1770354,300.0
54583606,CHEMBL1771744,8900.0
54583715,CHEMBL1770176,465.5
54583741,CHEMBL1770355,22.0
54584675,CHEMBL1770175,166.0
54584717,CHEMBL1770356,48.0
54584718,CHEMBL1770359,215.5
54585613,CHEMBL1770174,560.0
54585649,CHEMBL1770352,1.0
54586608,CHEMBL1770179,807.5
54587625,CHEMBL1770171,1675.0
54587626,CHEMBL1770177,1534.0
