cid,compound,aveaffinty
6324638,CHEMBL578710,1.74
11953323,CHEMBL506210,1.8
16131186,CHEMBL503473,1.9
16132126,CHEMBL526003,1.05
16132180,CHEMBL499980,5.0
16133811,CHEMBL501079,2.53333333333
16133821,CHEMBL604990,1.5
16143658,CHEMBL592170,218.0
16201463,CHEMBL604373,0.6
24760995,CHEMBL578514,51.75
25180487,CHEMBL525755,22.0
25180488,CHEMBL501306,108.0
25180489,CHEMBL499807,20.0
25180490,CHEMBL1790054,65.5
25180491,CHEMBL526500,15.0
25180492,CHEMBL507373,75.0
25180493,CHEMBL525055,24.0
25180494,CHEMBL504914,28.0
25180495,CHEMBL506495,48.0
25180496,CHEMBL504758,51.0
25180497,CHEMBL526889,214.5
25180498,CHEMBL524892,1323.5
44563951,CHEMBL508036,24.0
44563952,CHEMBL503900,14.9
44563953,CHEMBL460706,14.4
44563954,CHEMBL507733,16.1
44563955,CHEMBL524678,18.2
44563956,CHEMBL507353,51.5
44563957,CHEMBL450827,15.0
44563958,CHEMBL505299,20.5
44587982,CHEMBL508083,13.0
44587983,CHEMBL526862,160.0
44587984,CHEMBL525023,51.5
44587986,CHEMBL499179,2.3
45104655,CHEMBL578910,35.0
45104656,CHEMBL578317,15.9
45104657,CHEMBL604991,20.2
46233685,CHEMBL592413,1.4
46233687,CHEMBL592415,9.8
71508528,CHEMBL2324950,15.6
71717271,CHEMBL2309599,24000.0
71720536,CHEMBL2324949,119.0
