,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
2157,0.19675040899000001,0.0,616.087,13.588031555599999,0.49003067645599996,13.588031555599999,-0.49003067645599996,645.0236897880001,166.0,0.0153483082821,0.0153483082821,0.19675040899000001,1.8888647726400003,1017.41829484,22.3801044097,18.3417364964,22.6567330787,14.9939322605,10.8887440283,13.046242319500001,7.4734361391399995,9.79781750391,5.461660913119999,7.064249090030001,3.6482951301699997,5.72781662881,-1.13,10080001.2737,24.511205068200002,11.6515969318,5.8151858683099995,211.537431622,14.053923621700001,23.6996613583,5.78324494636,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,45.3911344274,82.8911768943,23.915253735,12.7038160338,13.9485510749,61.9342305566,0.0,4.89990973085,0.0,40.0336764678,26.2411511823,60.42571735520001,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,45.1817412541,36.924305859499995,6.42082162293,7.14036454213,55.2945424313,40.8153533478,0.0,10.969244356099999,0.0,42.68,0.0,4.794537184069999,0.0,5.78324494636,17.7337849479,68.5161022369,0.0,0.0,36.398202410799996,70.8528625841,9.15401389085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97887405224,51.2234679617,0.4,31.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,6.0,11.0,0.0,0.0,0.0,3.0,6.9362,143.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7685.5
3117,0.146951299803,0.0,276.392,5.34112055933,0.35739410173,5.34112055933,-0.35739410173,296.05093264,94.0,0.920839002268,0.920839002268,0.146951299803,4.04178440597,200.858919086,12.552041763900002,10.3558474776,13.621833801300001,7.599284072580001,5.52371503191,8.4900415271,3.0430618966000003,6.44002530661,2.2275241501900003,5.95901376185,1.1403091208299998,4.199059082200001,0.48,2714.30528657,16.48,9.5039500759,5.7026903724,117.90714002899999,9.7998194617,8.64106817112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.435746886100002,49.2827447515,26.1790256237,0.0,0.0,54.66461101,0.0,9.7998194617,0.0,27.694948798800002,26.1790256237,0.0,0.0,0.0,0.0,0.0,0.0,46.023542838900006,44.6199132565,0.0,0.0,27.694948798800002,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,34.8200937948,0.0,21.5877959528,0.0,37.4947682605,24.435746886100002,0.0,13.8663151927,0.0,0.0,0.0,0.0,0.0,0.0,1.8416780045400003,16.6253401361,0.8,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,3.6212,86.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711.0
4485,0.335978301731,0.0,328.195,12.340656651500002,0.465580030672,12.340656651500002,-0.465580030672,346.116486296,132.0,-0.969675925926,0.127592592593,0.335978301731,2.8034900876099997,771.111028392,18.7232501602,14.2834546842,14.2834546842,11.8278049203,7.41512400425,7.41512400425,5.43445172886,5.43445172886,4.01543539399,4.01543539399,2.9639806125200003,2.9639806125200003,-3.16,291739.896135,18.1825949497,7.163418786219999,3.2320432937,143.813701725,14.790514511600001,0.0,0.0,0.0,5.687386274680001,11.938610575899999,10.1143182688,9.589074368139999,0.0,0.0,18.199101205399998,13.847474399400001,23.0238971863,36.2070212377,23.9861113246,17.6259968506,0.0,5.316788604009999,0.0,19.7653804455,14.2195950826,62.48352572060001,0.0,0.0,5.316788604009999,5.687386274680001,0.0,0.0,31.0815167073,19.0628002757,10.1143182688,25.328831937199997,46.8057559601,0.0,0.0,0.0,107.77,22.7798276709,19.703392636900002,0.0,22.397046826500002,11.394078626099999,0.0,32.4186962879,19.9138414678,0.0,5.316788604009999,9.4737259076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1666666667,0.294117647059,25.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,8.0,4.0,0.0,0.0,0.0,2.0,2.1756,88.4051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.0
8447,0.161620230732,0.0,324.436,4.61920571932,0.228745462291,4.61920571932,-0.228745462291,331.957032256,98.0,1.0739813765000001,1.0739813765000001,0.161620230732,1.5677796561700001,740.797084758,13.3635965517,10.1462225064,13.412208830099999,9.88214273316,5.940539267439999,9.72336234355,4.0616620358899995,8.746526547610001,2.73276833797,7.77611999365,1.84471669977,6.3394127528699995,-1.08,104034.16819299999,12.644918749,5.3661122388999996,2.4403040324000003,131.218031029,0.0,0.0,8.679311361349999,0.0,0.0,0.0,0.0,9.96795704189,0.0,22.673571755900003,24.2654682738,45.8532642266,0.0,20.4332412682,0.0,64.6946089768,0.0,9.96795704189,0.0,8.679311361349999,0.0,48.5309365477,0.0,0.0,0.0,0.0,0.0,44.2613677086,9.96795704189,0.0,0.0,0.0,57.210247908999996,0.0,20.4332412682,0.0,25.78,0.0,0.0,0.0,0.0,0.0,19.7127127966,9.39983983294,44.2613677086,12.1327341369,46.3661594527,0.0,0.0,6.835519547330001,0.0,0.0,0.0,0.0,0.0,0.0,2.15825207861,30.339561707399998,0.0,20.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,4.0,5.7054,90.954,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1667.0
11080,0.0817363412398,0.0,178.195,4.58030470522,0.194076858671,4.58030470522,-0.194076858671,185.02992022400002,62.0,0.8825,0.8825,0.0817363412398,2.82375361728,478.919190407,9.09601183825,6.896913770289999,7.713410351219999,6.415014900169999,3.97270494578,4.38095323624,2.70136477455,2.8839389603900005,1.9327163873700002,2.02400348029,1.3549796482799998,1.45332782241,-1.5,1449.66579939,8.1144,3.4807162534400002,1.49851851852,81.7321124987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99240473264,0.0,36.398202410799996,23.670464726,5.386224214459999,10.8486481268,0.0,33.8389699988,0.0,0.0,4.99240473264,0.0,0.0,42.4645694792,0.0,0.0,0.0,5.687386274680001,0.0,12.217873443,5.161261852130001,0.0,0.0,0.0,47.4569742119,0.0,10.7724484289,0.0,12.36,0.0,0.0,0.0,0.0,0.0,11.0736104891,5.386224214459999,0.0,30.3318353423,34.5042741647,0.0,0.0,4.58030470522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5863619615,0.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.5741,58.63399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4644.0
508727,0.251318238419,0.0,368.69,13.139057624400001,0.350498344669,13.139057624400001,-0.350498344669,389.130632812,142.0,-0.48718895958,0.0517333116374,0.251318238419,1.40670224581,813.129052223,19.225403871300003,14.7513254511,15.5072543971,12.991203638399998,8.79346235892,9.17142683193,6.6077187870500005,7.044154567530001,4.45323320392,4.70520951926,3.11313235352,3.23912051118,-2.44,1512059.90424,19.325146429100002,8.97100508023,5.7716110601,162.053606955,10.633577208,5.81722084105,0.0,5.907179729349999,5.907179729349999,0.0,14.488984099000001,4.3904150476699995,0.0,0.0,29.8000410956,42.316108456900004,36.2621948523,6.544756405909999,13.9794894158,23.4152993489,0.0,15.533486938900001,0.0,19.007418858,19.634269217699998,70.4976936859,0.0,0.0,10.633577208,4.3904150476699995,0.0,11.6009398902,42.3903792364,11.33929359,5.81722084105,22.3422617904,48.5309365477,5.02263331374,0.0,0.0,61.44,11.7244005704,13.9794894158,0.0,24.057228456100002,5.02263331374,32.1214579091,23.762552697100002,0.0,24.2654682738,15.533486938900001,11.6009398902,0.0,5.897949093069999,0.0,0.0,0.0,0.0,0.0,0.0,13.139057624400001,48.90743772689999,0.3,27.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,7.0,6.0,0.0,1.0,1.0,3.0,2.5996,102.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.0
508741,0.415934215809,0.0,411.254,12.7737633982,0.496757086815,12.7737633982,-0.496757086815,435.17697628800005,166.0,-4.534827867130001,0.0522526233353,0.415934215809,1.44277698658,933.457411838,22.4325106525,17.0375382146,17.0375382146,14.740533306300001,9.84481703112,9.84481703112,7.40099793954,7.40099793954,5.03940559685,5.03940559685,3.50117350851,3.50117350851,-3.07,8262837.60001,22.6115434923,9.82470705918,6.45258238276,177.92484099200001,15.370440161800001,5.749511833280001,0.0,5.907179729349999,5.907179729349999,6.176298517439999,14.488984099000001,0.0,13.171245143,0.0,18.199101205399998,42.316108456900004,31.2395615386,19.2180054389,27.497182465,11.814359458699998,0.0,15.533486938900001,0.0,25.1837173754,26.744066759000003,65.2212910228,0.0,5.749511833280001,15.370440161800001,13.171245143,5.749511833280001,0.0,49.500176777700005,17.5155921074,0.0,27.9057132821,48.5309365477,0.0,0.0,0.0,70.67,17.6469297385,22.7603195112,0.0,24.057228456100002,6.544756405909999,49.0223989651,6.06636706846,7.10979754128,24.2654682738,15.533486938900001,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3212901945,48.2620431388,0.363636363636,31.0,2.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,9.0,7.0,0.0,1.0,1.0,3.0,2.8345,108.5959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.0
508742,0.350498344669,0.0,402.24199999999996,12.974458548800001,0.415934215809,12.974458548800001,-0.350498344669,423.156989792,160.0,-4.545709599319999,0.09406691849780001,0.415934215809,1.43589448565,899.8696427310001,21.725403871300003,16.0072543971,16.0072543971,14.202528503800002,9.42142683193,9.42142683193,7.17593510046,7.17593510046,4.81851360486,4.81851360486,3.3201748374599998,3.3201748374599998,-2.94,4846598.45061,21.7613280068,9.25119867933,6.0272225113,170.611889051,10.633577208,5.81722084105,0.0,5.907179729349999,5.907179729349999,6.176298517439999,14.488984099000001,4.3904150476699995,13.171245143,0.0,18.199101205399998,42.316108456900004,31.2395615386,12.1082078976,27.1507345588,11.814359458699998,0.0,15.533486938900001,0.0,25.1837173754,19.634269217699998,71.0385118638,0.0,0.0,10.633577208,17.5616601907,0.0,0.0,42.3903792364,17.5155921074,5.81722084105,27.9057132821,48.5309365477,0.0,0.0,0.0,61.44,23.554109467800004,27.1507345588,0.0,23.967269567800003,13.0895128118,36.7281307259,18.199101205399998,12.1327341369,0.0,15.533486938900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.203846793000004,37.8794865404,0.33333333333299997,30.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,9.0,6.0,0.0,1.0,1.0,3.0,2.965,102.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0
508744,0.251212025214,0.0,361.70300000000003,12.0789829677,0.35299577826399997,12.0789829677,-0.35299577826399997,385.155704688,142.0,-0.23983212549600003,0.016238127903400002,0.251212025214,1.41960319743,764.7560043010001,19.0622671645,15.1578180285,15.9137469745,13.114193540699999,9.20064589962,9.578610372630001,6.74577417768,7.1822099581500005,4.77833056011,5.03030687545,3.30508743785,3.43107559552,-2.37,1852445.7974900003,19.3932020502,9.53237644535,5.80772888503,164.25301366600002,10.633577208,0.0,0.0,5.907179729349999,5.907179729349999,0.0,14.488984099000001,0.0,0.0,0.0,41.9327752325,49.215319417299995,29.7174384464,6.544756405909999,9.589074368139999,23.4152993489,0.0,15.533486938900001,0.0,25.4282404809,19.634269217699998,70.7468399133,0.0,0.0,10.633577208,0.0,0.0,11.6009398902,42.3903792364,11.33929359,0.0,28.7630834133,54.5973036162,5.02263331374,0.0,0.0,61.44,0.0,9.589074368139999,0.0,18.3591158646,18.1500487268,30.9537893714,5.5634514916999995,24.2654682738,30.3318353423,15.533486938900001,11.6009398902,0.0,5.9415809271599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.836196850600004,0.33333333333299997,27.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,6.0,7.0,0.0,1.0,1.0,3.0,2.8506,106.6689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0
508749,0.251222067828,0.0,385.725,12.108078689300001,0.354289513912,12.108078689300001,-0.354289513912,413.187004816,154.0,-0.222816979529,0.002169648129,0.251222067828,1.32668783192,830.271520755,20.6396174337,16.787574540399998,17.5435034865,13.991203638399998,10.0776066689,10.4555711419,7.7022241644700005,8.13865994495,5.3042597461500005,5.556236061490001,3.56628459794,3.69227275561,-2.37,3479306.03134,21.3415364603,10.4190473946,6.873455287789999,176.982897895,10.633577208,0.0,0.0,5.907179729349999,5.907179729349999,0.0,14.488984099000001,0.0,0.0,0.0,41.4298596558,68.6017190691,23.6755976173,6.544756405909999,9.589074368139999,23.4152993489,0.0,15.533486938900001,5.91790604616,26.3101368515,26.1790256237,70.2439243365,0.0,0.0,10.633577208,0.0,0.0,11.6009398902,42.8932948132,11.33929359,12.841643245899999,34.326534905,48.5309365477,5.02263331374,0.0,0.0,61.44,0.0,9.589074368139999,0.0,18.3591158646,18.026113943800002,43.061997268999995,5.5634514916999995,6.06636706846,37.255572541999996,27.6662210758,11.6009398902,0.0,5.93967858007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.00476586439999,0.391304347826,29.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,6.0,7.0,0.0,1.0,1.0,3.0,3.4066199999999998,115.9749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0
