cid,compound,aveaffinty
123631,CHEMBL939,540.0
2635761,CHEMBL426133,13600.0
3081361,CHEMBL24828,75.0
3572750,CHEMBL210658,4000.0
4455946,CHEMBL209715,12000.0
5287969,CHEMBL428690,1500.0
5328940,CHEMBL288441,360.0
5329102,CHEMBL535,66.0
5494449,CHEMBL572878,3700.0
9977819,CHEMBL522892,130.0
10138259,CHEMBL1721885,82.0
10461815,CHEMBL450786,2500.0
11213558,CHEMBL475251,140.0
11314340,CHEMBL379218,2500.0
11364421,CHEMBL513909,2100.0
11427553,CHEMBL1908397,680.0
11626560,CHEMBL601719,3600.0
11983295,CHEMBL379787,200.0
16038120,CHEMBL509032,77.0
16722836,CHEMBL1287853,1200.0
21899147,CHEMBL210821,8000.0
24905147,CHEMBL1241674,4300.0
41420877,CHEMBL210822,2000.0
44299148,CHEMBL162,1.7
44412156,CHEMBL206991,1500.0
44412166,CHEMBL208561,25000.0
44412167,CHEMBL209820,4000.0
44412174,CHEMBL208709,1000.0
44412178,CHEMBL207464,550.0
44412201,CHEMBL210774,1000.0
44412220,CHEMBL207226,20000.0
44412242,CHEMBL380009,30000.0
44412243,CHEMBL210682,6000.0
44412251,CHEMBL208116,4500.0
44412252,CHEMBL377259,800.0
44412253,CHEMBL208166,2000.0
44412266,CHEMBL210354,1000.0
44412267,CHEMBL210366,2000.0
44412281,CHEMBL210194,400.0
44412325,CHEMBL208667,30000.0
44412326,CHEMBL379985,400.0
44412327,CHEMBL209202,1000.0
44412343,CHEMBL210887,150.0
44412352,CHEMBL377125,4000.0
44412391,CHEMBL209118,6500.0
44412392,CHEMBL209716,2000.0
44412407,CHEMBL377654,30000.0
44412434,CHEMBL377801,4000.0
44412435,CHEMBL378693,3000.0
44412442,CHEMBL210983,500.0
44412480,CHEMBL209075,3000.0
44412492,CHEMBL380097,6500.0
57397989,CHEMBL1908392,810.0
57401151,CHEMBL1938680,7500.0
71717270,CHEMBL2309006,1.7
