cid,compound,aveaffinty
153999,CHEMBL91829,1400.0
176167,CHEMBL300138,1000.0
6914611,CHEMBL383264,35.0
6914613,CHEMBL383541,354.0
10196499,CHEMBL258844,2119.0
10196532,CHEMBL273160,3200.0
10216627,CHEMBL378963,73.0
10289671,CHEMBL180231,2400.0
10312133,CHEMBL408151,1613.0
10415819,CHEMBL271091,1228.0
11256399,CHEMBL521823,380.0
11293798,CHEMBL373598,4890.0
11314340,CHEMBL379218,180.0
11348837,CHEMBL380402,3000.0
11393719,CHEMBL188434,646.0
11502369,CHEMBL209838,990.0
11510023,CHEMBL211574,1500.0
11517293,CHEMBL213633,19000.0
11522988,CHEMBL425964,4700.0
11538014,CHEMBL378721,5400.0
11544625,CHEMBL209547,5000.0
11559783,CHEMBL210071,2900.0
11567357,CHEMBL377568,610.0
11575743,CHEMBL211578,280.0
11610430,CHEMBL376004,1100.0
11667833,CHEMBL213178,18000.0
11675388,CHEMBL598194,57.0
11718648,CHEMBL213127,2600.0
15604547,CHEMBL210390,76.0
16043304,CHEMBL213618,2.8
16115004,CHEMBL387385,1800.0
16725726,CHEMBL494089,8.33333333333
23647573,CHEMBL207544,39.0
24783593,CHEMBL2177381,10.0
24783594,CHEMBL2177382,23.0
24786152,CHEMBL2177385,5.0
24788164,CHEMBL2177363,10.0
24788432,CHEMBL2177374,5.0
24788623,CHEMBL2177377,13.0
24788739,CHEMBL2177366,5.0
24788740,CHEMBL2177390,8.0
24905147,CHEMBL1241674,2600.0
25023714,CHEMBL493911,398.0
25023715,CHEMBL506153,1410.0
25023716,CHEMBL523695,1290.0
25023717,CHEMBL493066,1549.0
25023718,CHEMBL493067,3020.0
25023719,CHEMBL494662,2290.0
25023729,CHEMBL493269,69.0
25023736,CHEMBL494060,16.0
25170562,CHEMBL2177379,5.0
25170563,CHEMBL2177369,12.0
25170991,CHEMBL2177370,26.0
25190977,CHEMBL595944,2.0
25221040,CHEMBL594755,6.0
25222706,CHEMBL595459,3.0
25227436,CHEMBL2325741,8.0
42602095,CHEMBL2325997,30.0
42602096,CHEMBL2325982,15.0
42602097,CHEMBL2325983,24.0
42602175,CHEMBL2325739,22.0
42602176,CHEMBL2325737,40.0
42602178,CHEMBL2325992,7.0
42602260,CHEMBL2325738,15.0
42602264,CHEMBL2325993,4.0
44299148,CHEMBL162,61.6666666667
44390645,CHEMBL369506,21870.0
44390673,CHEMBL181090,33100.0
44390674,CHEMBL178696,3973.0
44414317,CHEMBL214906,5200.0
44414320,CHEMBL212450,660.0
44414422,CHEMBL380165,240.0
44414447,CHEMBL384964,11.0
44414470,CHEMBL385143,27.0
44414471,CHEMBL209475,1300.0
44414472,CHEMBL377860,7000.0
44414507,CHEMBL211570,1000.0
44414529,CHEMBL209952,2800.0
44414530,CHEMBL379263,820.0
44414553,CHEMBL210115,2400.0
44414579,CHEMBL379507,4.8
44414634,CHEMBL213181,2300.0
44414652,CHEMBL376424,2100.0
44414653,CHEMBL214339,7400.0
46226079,CHEMBL593374,1.0
46226080,CHEMBL593375,2.0
46226095,CHEMBL606467,19.0
46226096,CHEMBL594523,10.0
46226135,CHEMBL593573,500.0
46226136,CHEMBL593813,2.0
46226137,CHEMBL605410,1.0
46226156,CHEMBL594072,1.0
56603995,CHEMBL1794065,40.0
57750290,CHEMBL2325728,18.0
57750312,CHEMBL2325736,30.0
57750315,CHEMBL2325730,105.0
57750321,CHEMBL2325994,36.0
57750329,CHEMBL2325986,582.0
57750342,CHEMBL2325996,10.0
57750343,CHEMBL2325742,523.0
57750369,CHEMBL2325995,15.0
57750382,CHEMBL2325984,270.0
57750391,CHEMBL2325985,150.0
57750402,CHEMBL2325740,100.0
57750407,CHEMBL2325729,6.0
57750408,CHEMBL2325743,16.0
57750418,CHEMBL2325987,176.0
58191080,CHEMBL2177378,3.0
58191081,CHEMBL2178598,2.0
58458198,CHEMBL2177383,4160.0
58458278,CHEMBL2177387,1.0
58458379,CHEMBL2177389,83.0
59670809,CHEMBL2177375,21.0
59670989,CHEMBL2177362,12.0
59671004,CHEMBL2177365,28.0
59671085,CHEMBL2177380,73.0
59671144,CHEMBL2177373,45.0
59671148,CHEMBL2177367,4.0
59671151,CHEMBL2177361,2.0
59671179,CHEMBL2177364,7.0
59671180,CHEMBL2177372,7.0
70675988,CHEMBL2177388,5.0
70675991,CHEMBL2177376,798.0
70676312,CHEMBL2177368,4.0
70676316,CHEMBL2177371,27.0
70676464,CHEMBL2178597,3.0
71583048,CHEMBL2325988,4260.0
71583049,CHEMBL2325989,8065.0
71583050,CHEMBL2325990,756.0
71583051,CHEMBL2325991,2893.0
71717270,CHEMBL2309006,6200.0
