cid,compound,aveaffinty
216239,CHEMBL1336,9600.0
447077,CHEMBL386051,310.0
3062316,CHEMBL1421,86.0
5330790,CHEMBL191003,1000.0
5494449,CHEMBL572878,2600.0
9869779,CHEMBL1908396,500.0
9884685,CHEMBL573339,3500.0
10113978,CHEMBL477772,390.0
11213558,CHEMBL475251,1400.0
11409972,CHEMBL574738,1800.0
11485656,CHEMBL223360,4700.0
11589985,CHEMBL570109,64.0
11626560,CHEMBL601719,690.0
16038120,CHEMBL509032,1100.0
16722836,CHEMBL1287853,7900.0
24180719,CHEMBL1230020,620.0
25185020,CHEMBL570115,1.1
25185023,CHEMBL571947,1.9
25186125,CHEMBL565453,2.9
25186126,CHEMBL566746,1.7
25186127,CHEMBL569861,1.2
25187230,CHEMBL571502,37.0
25187232,CHEMBL571942,3.9
25187234,CHEMBL583464,2.3
25187799,CHEMBL572170,5.5
25187801,CHEMBL570821,3.0
44299148,CHEMBL162,9200.0
44477445,CHEMBL570126,0.9
44542470,CHEMBL570831,4.2
44542471,CHEMBL570819,133.0
44542472,CHEMBL571261,76.0
44542473,CHEMBL568938,650.0
44542474,CHEMBL576283,1500.0
44542475,CHEMBL573004,300.0
44542622,CHEMBL568706,140.0
44542623,CHEMBL570598,800.0
44542624,CHEMBL578599,11500.0
44542625,CHEMBL570339,1300.0
44542626,CHEMBL576712,520.0
44542627,CHEMBL571715,92.0
44542628,CHEMBL571280,38.0
44542772,CHEMBL568484,11.0
44542773,CHEMBL570586,3.9
44542774,CHEMBL584968,16.0
44542775,CHEMBL572371,8.1
44542776,CHEMBL577194,1.2
44542921,CHEMBL570830,4.2
44542923,CHEMBL571706,6.8
44542924,CHEMBL570832,1.6
44542925,CHEMBL584090,1.8
44542926,CHEMBL565452,1.5
44543079,CHEMBL570820,3.2
44543080,CHEMBL570116,1.2
44543081,CHEMBL585734,3.5
44543082,CHEMBL571057,0.8
44543083,CHEMBL578615,3.0
44543084,CHEMBL571940,3.4
57399640,CHEMBL1908393,1700.0
