,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
153999,0.25913916242199997,0.0,440.333,13.201412492100001,0.37496594892800006,13.201412492100001,-0.37496594892800006,468.21614075599996,178.0,-0.348032073813,0.0740584320148,0.25913916242199997,1.6218321693200002,1507.21562215,24.103719048800002,19.9527725249,19.9527725249,17.008040390799998,12.037894937999999,12.037894937999999,9.583601916989998,9.583601916989998,6.99353937138,6.99353937138,5.46651412319,5.46651412319,-3.68,162815431.525,21.826719517199997,8.51712038915,3.6772313589199994,203.11441552099998,18.7709719802,0.0,0.0,0.0,11.814359458699998,0.0,14.9058629721,0.0,0.0,0.0,36.398202410799996,32.6488997252,64.9607092085,23.857057412399996,14.3259373219,44.766418383,0.0,19.3508976304,0.0,25.6143008225,27.2469823358,72.0515266743,0.0,0.0,5.316788604009999,0.0,0.0,0.0,59.1994172087,27.4154501338,0.0,17.5477246063,60.9246236909,0.0,32.9520589243,0.0,68.5,0.0,9.589074368139999,0.0,17.9183258465,24.2978474306,52.4430872823,0.0,0.0,48.791889553999994,45.5789757327,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31900604686,71.1809939531,0.28571428571400004,35.0,1.0,7.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,6.0,3.5137,136.7507,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0
176167,0.25913916414500004,0.0,486.385,13.3391031317,0.349902300462,13.3391031317,-0.349902300462,515.232125168,194.0,-0.341653876632,0.31055905721099997,0.25913916414500004,1.28809957531,1770.53581052,26.509496442800003,21.8011389067,21.8011389067,19.080520035899998,13.4485370499,13.4485370499,10.4996673967,10.4996673967,8.16964235987,8.16964235987,6.29246774716,6.29246774716,-4.49,1845199184.75,23.6139874774,9.36088506214,3.9731423336900002,225.912670364,9.13419929558,0.0,0.0,0.0,11.814359458699998,0.0,24.789751223899998,0.0,0.0,0.0,42.4645694792,37.1071115197,84.247065592,16.840137055,9.589074368139999,44.766418383,0.0,24.3348761514,7.04767198268,25.4282404809,13.0895128118,102.14139944600001,0.0,0.0,5.316788604009999,0.0,0.0,0.0,43.9219598179,23.181502756700002,0.0,35.7043150532,85.3205684679,0.0,32.9520589243,0.0,72.16,0.0,9.589074368139999,0.0,11.814359458699998,17.1880498893,71.102593306,0.0,0.0,72.53939532140001,44.1637212806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33329089144,78.33337577520001,0.21875,39.0,1.0,7.0,0.0,2.0,2.0,2.0,3.0,5.0,6.0,1.0,7.0,5.0,0.0,1.0,1.0,7.0,4.9323,152.6057,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0
1201120,0.28224718596799997,0.0,278.086,11.2412026408,0.290425138761,11.2412026408,-0.28224718596799997,282.93026153200003,76.0,-0.328726379441,0.318289989607,0.290425138761,2.30552571002,470.24512212,10.8364988143,7.48946069035,9.89195381039,7.147867045539999,4.15419629167,5.76369114215,2.90723758108,4.83765447263,1.78847425616,3.0923431124,1.16878674498,2.26793368729,-1.07,3142.93554393,10.447889019,4.20088657411,2.48538854159,99.0593014061,0.0,0.0,0.0,0.0,11.1463914425,0.0,14.9058629721,0.0,0.0,0.0,28.0626780349,35.5340906848,4.47271951583,4.90513651389,9.589074368139999,44.9142403967,0.0,5.316788604009999,0.0,0.0,0.0,39.206775795300004,0.0,0.0,5.316788604009999,4.794537184069999,0.0,27.691828847300002,11.1463914425,4.794537184069999,0.0,5.5634514916999995,33.643324303600004,0.0,6.076020106830001,0.0,46.17,0.0,9.589074368139999,0.0,11.1463914425,4.90513651389,21.7980559569,0.0,6.076020106830001,24.2654682738,21.246732502,0.0,0.0,0.9205763416480001,0.0,0.0,0.0,0.0,0.0,0.0,0.936649659864,34.2244904652,0.0,15.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,2.0,2.773,63.2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1206018,0.282247185985,0.0,222.204,11.2911032376,0.29042513874299997,11.2911032376,-0.282247185985,233.051049592,82.0,-0.31058513374499996,0.30423301419300003,0.29042513874299997,2.22073606367,462.412033906,11.543605595399999,8.81860299853,9.635099579450001,7.685871848,5.02587422694,5.842370807869999,3.44736704821,4.462108410969999,2.32776796716,3.13838518468,1.4219792310100001,2.10418082867,-1.55,5759.44920578,10.9510420921,4.5311286615499995,2.33307646128,97.9216380292,0.0,0.0,0.0,0.0,11.1463914425,0.0,14.9058629721,0.0,0.0,0.0,31.1892054735,35.3856296625,0.0,4.90513651389,9.589074368139999,28.984296498699997,0.0,5.316788604009999,0.0,13.3445588226,0.0,40.2975077711,0.0,0.0,5.316788604009999,4.794537184069999,0.0,11.7618849494,11.1463914425,11.215358807000001,0.0,18.0506401831,29.1706047877,0.0,6.076020106830001,0.0,46.17,0.0,9.589074368139999,0.0,11.1463914425,4.90513651389,23.746158064,5.5634514916999995,6.076020106830001,24.2654682738,12.240525803699999,0.0,0.0,0.939978006635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.22668866,0.166666666667,16.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,2.5729,64.9267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
1239884,0.282247185985,0.0,217.18,12.579667081300002,0.29042513874299997,12.579667081300002,-0.282247185985,223.010327652,76.0,-0.408032407407,0.325563114135,0.29042513874299997,2.2665243120299996,452.99512212,10.8364988143,7.48946069035,8.30595727128,7.147867045539999,4.15419629167,4.9706928726,2.90378325739,3.91852462015,1.80980557397,2.6204227914900002,1.13141991925,1.8136215169099998,-1.62,3260.28692872,9.916984414689999,3.86008447929,2.2441296777,89.3572892034,0.0,5.81722084105,0.0,0.0,11.1463914425,0.0,14.9058629721,4.3904150476699995,0.0,0.0,12.1327341369,35.5340906848,0.0,4.90513651389,13.9794894158,28.984296498699997,0.0,5.316788604009999,0.0,0.0,0.0,40.5512771205,0.0,0.0,5.316788604009999,9.18495223175,0.0,11.7618849494,11.1463914425,4.794537184069999,5.81722084105,5.5634514916999995,29.1706047877,0.0,6.076020106830001,0.0,46.17,5.907179729349999,13.9794894158,0.0,11.0564325542,10.4685880056,11.7618849494,12.1327341369,18.2087542438,0.0,5.316788604009999,0.0,0.0,0.840473119803,0.0,0.0,0.0,0.0,0.0,0.0,12.579667081300002,31.2465264655,0.0,15.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,2.0,2.1496,55.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
1241442,0.282247185985,0.0,198.18200000000002,11.1679936697,0.29042513874299997,11.1679936697,-0.282247185985,205.01974946400003,70.0,-0.315876795163,0.30816562736200004,0.29042513874299997,2.27677309935,411.38999188199995,9.96625532625,7.18884648653,8.00534306746,6.754020195419999,4.05453045264,4.87102703357,2.76291563634,3.7776569991000004,1.73937297185,2.54999018938,1.12167851351,1.8038801111700002,-1.55,2271.4689272,9.022684180710002,3.6732063513,1.8516001904799997,85.1917538004,0.0,0.0,0.0,0.0,11.1463914425,0.0,14.9058629721,0.0,0.0,0.0,30.3318353423,23.4013565479,0.0,4.90513651389,9.589074368139999,28.984296498699997,0.0,5.316788604009999,0.0,0.0,0.0,40.8004233479,0.0,0.0,5.316788604009999,4.794537184069999,0.0,11.7618849494,11.1463914425,4.794537184069999,0.0,5.5634514916999995,35.2369718562,0.0,6.076020106830001,0.0,46.17,0.0,9.589074368139999,0.0,11.1463914425,4.90513651389,17.3253364411,0.0,6.076020106830001,30.3318353423,5.316788604009999,0.0,0.0,0.9300245653820001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0699754346,0.0,14.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0105,55.5487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0
1243769,0.290425138808,0.0,226.192,11.291212285799999,0.496745848611,11.291212285799999,-0.496745848611,235.030314148,82.0,-0.349240835223,0.334123965944,0.290425138808,2.28287548972,481.87294860800006,11.543605595399999,8.5197445078,9.33624108873,7.685871848,4.57758649086,5.39408307179,3.1288460964800002,4.14358745923,2.03359491201,2.8442121295300002,1.30371505643,1.9859166540900002,-1.75,5676.32750538,10.7573904864,4.40321799308,2.25,96.67024114430001,4.7368629538,5.749511833280001,0.0,0.0,11.1463914425,0.0,14.9058629721,0.0,0.0,0.0,12.1327341369,35.5340906848,0.0,12.0149340552,14.3259373219,28.984296498699997,0.0,5.316788604009999,0.0,0.0,7.10979754128,34.7340562794,0.0,5.749511833280001,10.0536515578,4.794537184069999,5.749511833280001,11.7618849494,18.2561889838,4.794537184069999,0.0,5.5634514916999995,29.1706047877,0.0,6.076020106830001,0.0,55.4,0.0,9.589074368139999,0.0,11.1463914425,10.6546483472,17.3253364411,0.0,19.252184716600002,18.199101205399998,5.316788604009999,4.7368629538,0.0,0.9026660525319999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2640006141,0.0909090909091,16.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,5.0,2.0,0.0,1.0,1.0,2.0,2.0191,62.1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
1361334,0.282247185981,0.0,267.187,12.460870785,0.41593087440800003,12.460870785,-0.282247185981,273.007134092,94.0,-4.43510530833,0.0827078609221,0.41593087440800003,2.32967296179,551.4644613080001,13.3364988143,8.74538963637,9.5618862173,8.35919191095,4.78216076468,5.5986573455999995,3.47545389449,4.490195257240001,2.1537546571,2.96437187463,1.3771917006299998,2.0593932982900003,-1.76,10369.679593,12.6905789698,4.488252528259999,2.7297469275800004,104.053302124,0.0,0.0,0.0,0.0,11.1463914425,6.176298517439999,14.9058629721,0.0,13.171245143,0.0,12.1327341369,35.5340906848,0.0,10.4685880056,22.7603195112,28.984296498699997,0.0,5.316788604009999,0.0,6.176298517439999,0.0,40.2975077711,0.0,0.0,5.316788604009999,17.9657823271,0.0,11.7618849494,11.1463914425,10.9708357015,0.0,11.126902983399999,29.1706047877,0.0,6.076020106830001,0.0,46.17,22.886141451700002,22.7603195112,0.0,10.4685880056,11.7618849494,12.1327341369,18.2087542438,0.0,5.316788604009999,0.0,0.0,0.0,0.662126086546,0.0,0.0,0.0,0.0,0.0,0.0,37.3826123551,23.871928225,0.0909090909091,18.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,2.0,3.0293,60.5507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1379720,0.28224718594,0.0,217.18,12.8113944791,0.290425138792,12.8113944791,-0.28224718594,223.010327652,76.0,-0.435869236584,0.282962962963,0.290425138792,2.30552571002,470.24512212,10.8364988143,7.48946069035,8.30595727128,7.147867045539999,4.15419629167,4.9706928726,2.90723758108,3.92197894384,1.78847425616,2.59909147369,1.16878674498,1.8509883426400002,-1.62,3142.93554393,9.916984414689999,3.86008447929,2.2441296777,89.3572892034,0.0,5.81722084105,0.0,0.0,11.1463914425,0.0,14.9058629721,4.3904150476699995,0.0,0.0,12.1327341369,35.5340906848,0.0,4.90513651389,13.9794894158,28.984296498699997,0.0,5.316788604009999,0.0,0.0,0.0,40.5512771205,0.0,0.0,5.316788604009999,9.18495223175,0.0,11.7618849494,11.1463914425,4.794537184069999,5.81722084105,5.5634514916999995,29.1706047877,0.0,6.076020106830001,0.0,46.17,11.1463914425,13.9794894158,0.0,10.7223573549,5.5634514916999995,11.7618849494,18.2087542438,12.1327341369,0.0,5.316788604009999,0.0,0.0,0.813433484505,0.0,0.0,0.0,0.0,0.0,0.0,12.8113944791,31.041838703099998,0.0,15.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,2.0,2.1496,55.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
1379922,0.290425138808,0.0,254.202,11.3649391377,0.504254147735,11.3649391377,-0.504254147735,265.04087883200003,94.0,-0.40644917380500006,0.0403730736122,0.290425138808,2.29080851429,538.878989955,13.1209558646,9.5967146153,10.4132111962,8.596555450519999,5.3053935805900005,6.12189016152,3.5124068175,4.527148180259999,2.22350570311,3.03412292064,1.46402554034,2.1462271379900004,-1.95,13409.3774699,12.5054484396,5.13640177039,2.64977131846,107.829417011,9.84339034864,0.0,11.499023666600001,0.0,11.1463914425,0.0,14.9058629721,0.0,0.0,0.0,6.06636706846,42.4578278845,0.0,11.5120184784,19.432464716800002,28.984296498699997,0.0,5.316788604009999,0.0,6.92373719969,6.606881964509999,28.667689211,0.0,11.499023666600001,10.0536515578,4.794537184069999,11.499023666600001,11.7618849494,22.8598008019,4.794537184069999,0.0,12.487188691400002,23.1042377193,0.0,6.076020106830001,0.0,75.63,5.907179729349999,14.695601762999999,0.0,10.988723546500001,22.8249818034,11.7618849494,6.06636706846,18.2087542438,6.92373719969,5.316788604009999,4.7368629538,0.0,0.850119493785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.483213839499996,0.166666666667,18.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,6.0,3.0,0.0,1.0,1.0,2.0,2.1148,68.3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
