cid,compound,aveaffinty
5291,CHEMBL941,1900.0
176167,CHEMBL300138,5600.0
3025986,CHEMBL296468,5600.0
5329102,CHEMBL535,350.0
5494449,CHEMBL572878,330.0
9915743,CHEMBL180022,1600.0
9977819,CHEMBL522892,1600.0
10138259,CHEMBL1721885,340.0
11314340,CHEMBL379218,590.0
11409972,CHEMBL574738,830.0
11427553,CHEMBL1908397,210.0
16038120,CHEMBL509032,99.0
16722836,CHEMBL1287853,2600.0
16725726,CHEMBL494089,890.0
17755052,CHEMBL521851,5700.0
24905147,CHEMBL1241674,170.0
25126798,CHEMBL1789941,2200.0
44299148,CHEMBL162,33.0
57397989,CHEMBL1908392,4.9
57399640,CHEMBL1908393,300.0
71717270,CHEMBL2309006,26.0
