cid,compound,aveaffinty
123631,CHEMBL939,1215.0
160355,CHEMBL14762,240.0
176155,CHEMBL10,160.0
176870,CHEMBL553,500.0
3025986,CHEMBL296468,950.0
3062316,CHEMBL1421,1500.0
3081361,CHEMBL24828,2250.0
4521392,CHEMBL440084,260.0
5328940,CHEMBL288441,110.0
5329102,CHEMBL535,13.0
5330790,CHEMBL191003,3600.0
5353940,CHEMBL278041,285.0
6445562,CHEMBL607707,98.5
9869779,CHEMBL1908396,520.0
9915743,CHEMBL180022,290.0
9933475,CHEMBL491473,2800.0
10138259,CHEMBL1721885,340.0
10184653,CHEMBL1173655,1300.0
10427712,CHEMBL230011,1200.0
10461815,CHEMBL450786,860.0
11314340,CHEMBL379218,120.0
11364421,CHEMBL513909,380.0
11409972,CHEMBL574738,4000.0
11427553,CHEMBL1908397,630.0
11681588,CHEMBL1951415,8.0
11717001,CHEMBL525191,130.0
17755052,CHEMBL521851,1200.0
24905147,CHEMBL1241674,31.0
25182616,CHEMBL464552,780.0
44299148,CHEMBL162,381.5
57397989,CHEMBL1908392,230.0
57399640,CHEMBL1908393,4600.0
57522817,CHEMBL2064532,20000.0
57522818,CHEMBL2064515,60000.0
