cid,compound,aveaffinty
153999,CHEMBL91829,240.0
176167,CHEMBL300138,680.0
3025986,CHEMBL296468,150.0
5287969,CHEMBL428690,0.69
5329102,CHEMBL535,470.0
6918852,CHEMBL384304,2.2
10138259,CHEMBL1721885,1200.0
10461815,CHEMBL450786,400.0
11314340,CHEMBL379218,550.0
11338033,CHEMBL445813,8.3
11409972,CHEMBL574738,2500.0
11427553,CHEMBL1908397,2200.0
16038120,CHEMBL509032,4000.0
16722836,CHEMBL1287853,1900.0
17755052,CHEMBL521851,9300.0
44299148,CHEMBL162,16.0
57397989,CHEMBL1908392,1700.0
71717270,CHEMBL2309006,39.0
