cid,compound,aveaffinty
153999,CHEMBL91829,8400.0
447077,CHEMBL386051,390.0
3062316,CHEMBL1421,640.0
3081361,CHEMBL24828,1500.0
5287969,CHEMBL428690,4500.0
5328940,CHEMBL288441,5.1
5329102,CHEMBL535,180.0
5330790,CHEMBL191003,820.0
5494449,CHEMBL572878,290.0
6445562,CHEMBL607707,170.0
6450551,CHEMBL1289926,1200.0
9915743,CHEMBL180022,7.7
9933475,CHEMBL491473,2000.0
9977819,CHEMBL522892,560.0
10113978,CHEMBL477772,1600.0
10138259,CHEMBL1721885,210.0
10461815,CHEMBL450786,490.0
11213558,CHEMBL475251,2400.0
11409972,CHEMBL574738,190.0
11427553,CHEMBL1908397,150.0
11485656,CHEMBL223360,3200.0
11626560,CHEMBL601719,75.0
11656518,CHEMBL558752,7500.0
16038120,CHEMBL509032,65.0
16722836,CHEMBL1287853,1800.0
44299148,CHEMBL162,8.2
57397989,CHEMBL1908392,290.0
57399640,CHEMBL1908393,110.0
71717270,CHEMBL2309006,110.0
