,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
447077,0.25942965141999996,0.0,427.231,13.0028347118,0.324084306735,13.0028347118,-0.324084306735,442.042187492,146.0,-0.234694121348,0.234694121348,0.25942965141999996,1.80778475061,1269.4010949,20.543241116500003,15.610218736199998,17.9385732091,13.9735655482,8.69931707262,10.67999089,6.348354494369999,8.04240755911,4.5064896146499995,5.86176881747,3.07109366366,4.13160666916,-2.54,4161881.32689,19.7624668058,8.06476767016,3.8333469577,181.267082484,5.316788604009999,5.647177220770001,0.0,5.94833928099,5.55926689505,0.0,9.36163683186,4.98397852095,4.98397852095,11.7618849494,35.3346139174,42.653971594299996,34.7770610107,15.6087181192,0.0,57.6328917208,0.0,14.535056689700001,7.04767198268,4.89548347552,11.5725577875,75.12685082590001,0.0,11.126902983399999,10.876055499100001,11.635725555699999,0.0,34.9637647299,20.7908258732,7.04767198268,0.0,0.0,64.4178007789,10.0452666275,22.160304418600003,0.0,59.81,0.0,4.794537184069999,0.0,5.55926689505,38.1539103271,10.5828697502,4.56709964779,49.2718687775,30.521237457399998,15.2847456459,23.2018797805,0.0,14.2627864478,0.0,0.0,0.0,0.0,0.0,0.0,1.48164866255,50.47778711189999,0.0952380952381,29.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,1.0,8.0,4.0,0.0,0.0,0.0,4.0,5.7678,121.7407,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0
490561,0.342688964,0.0,446.31300000000005,13.2174872459,0.466739705884,13.2174872459,-0.466739705884,467.14812077199997,174.0,-1.9269755842200003,0.014552626606199999,0.342688964,1.7335259761300001,1831.44218047,23.8526421933,19.0849999334,19.0849999334,16.9038323175,11.683895808699999,11.683895808699999,9.83451970984,9.83451970984,8.35666879477,8.35666879477,6.8907256618499995,6.8907256618499995,-3.88,242872642.896,19.4286998697,5.84214079225,1.8946082410799998,198.15754122599998,29.031241201999997,6.227901170730001,5.72498559397,5.60105081098,5.907179729349999,5.969305287949999,4.794537184069999,4.794537184069999,0.0,0.0,36.398202410799996,24.6199228283,34.5104748867,34.7400519034,24.169327670599998,55.4881847456,0.0,14.450987899600001,0.0,37.4432528042,7.10979754128,59.657839531099995,0.0,0.0,5.316788604009999,0.0,0.0,0.0,38.82806006,26.5380050916,0.0,35.4939001608,48.5309365477,0.0,43.611699728299996,0.0,94.72,23.5232428636,14.695601762999999,0.0,12.3280013523,12.1082078976,49.17515122,7.10979754128,6.92373719969,53.0980361955,9.8838882518,9.4737259076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016662887380001,76.316670446,0.259259259259,35.0,2.0,8.0,0.0,3.0,3.0,3.0,2.0,5.0,7.0,2.0,8.0,1.0,0.0,1.0,1.0,8.0,3.6551,128.969,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
5287969,0.196591393384,0.0,381.686,12.7694320043,0.507373232403,12.7694320043,-0.507373232403,401.10300042,146.0,-0.743829382576,0.018767006802700003,0.196591393384,1.9967325788299999,1109.88163249,19.999271042100002,15.223437933,15.979366879,13.363081100699999,9.00699214141,9.384956614419998,7.2121242924,7.619324419139999,5.292952500119999,5.622540721159999,3.9000541741400006,4.12891785977,-2.54,2097158.9013400003,18.8062200403,7.12743104354,3.1330144634400003,165.766123468,24.636642852399998,28.2285154415,5.428790391900001,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,23.7336740272,32.145984148400004,35.7222995724,11.126599701500002,19.7367331216,22.570184246300002,0.0,4.89990973085,0.0,18.4426940568,20.1371847945,57.207614792200005,0.0,22.8227225771,5.428790391900001,0.0,11.499023666600001,11.6009398902,46.460643097600006,0.0,0.0,17.9021791608,45.60989053189999,5.02263331374,22.2929432667,0.0,94.14,17.4506628258,20.114119368599997,0.0,28.2285154415,29.115114326,12.611123474400001,6.06636706846,24.2654682738,11.947581713499998,0.0,16.0180908273,0.0,6.246199911259999,0.0,0.0,0.0,0.0,0.0,0.0,6.0015497449,58.5300281216,0.28571428571400004,28.0,3.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,6.0,3.0,7.0,2.0,0.0,1.0,1.0,4.0,3.3046,107.1214,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0
5494449,0.226983298293,0.0,436.375,11.989515299,0.353850400361,11.989515299,-0.353850400361,464.210678516,172.0,0.11382709612700001,0.11382709612700001,0.226983298293,1.3466040076499999,1119.74500477,22.785881803600002,18.8366571299,19.653153710799998,16.013173026300002,11.220984138499999,12.037480719400001,8.63544334618,9.67612038387,5.7605826891100005,6.633598848150001,3.6349387800599997,4.40108754148,-3.11,61462440.9214,21.7209022447,9.4016590142,5.634264073709999,196.923932134,20.4333966697,11.635725555699999,10.9742992597,5.907179729349999,0.0,0.0,9.89321899237,9.96795704189,5.098681808299999,0.0,0.0,62.8404056515,60.5064635518,0.0,4.794537184069999,40.8100392869,0.0,25.065230389299998,5.91790604616,29.8173004029,48.760184545200005,42.0921304056,0.0,0.0,15.533486938900001,23.1409746082,0.0,11.7618849494,64.199107725,4.794537184069999,12.841643245899999,18.535571240699998,46.450122368100004,0.0,0.0,0.0,102.07,0.0,4.794537184069999,0.0,11.8250857755,10.9742992597,66.9331921702,11.7618849494,0.0,43.3219396105,37.678432269,9.96795704189,0.0,1.50224447804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.49775552199999,0.391304347826,33.0,3.0,9.0,1.0,1.0,2.0,1.0,2.0,3.0,8.0,3.0,10.0,7.0,1.0,1.0,2.0,5.0,3.50322,130.2681,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
9796713,0.252063449461,0.0,296.244,12.6153598199,0.354247325682,12.6153598199,-0.354247325682,310.110613068,114.0,0.060309429327300004,0.060309429327300004,0.252063449461,1.88541164333,1199.63575866,15.8361343353,12.9412640064,12.9412640064,11.8264998405,8.27303824598,8.27303824598,6.6442918495,6.6442918495,5.46989236494,5.46989236494,4.50072864235,4.50072864235,-3.07,1152606.32572,12.364563582999999,4.0621766161199995,1.31882740737,137.85553513,10.300767125,0.0,0.0,0.0,5.907179729349999,0.0,4.794537184069999,0.0,0.0,0.0,42.4645694792,28.3201730352,34.8181786671,11.080152209300001,4.794537184069999,27.7130295935,0.0,10.300767125,0.0,12.965578028800001,0.0,70.7847425145,0.0,11.126902983399999,5.316788604009999,0.0,0.0,0.0,10.8911582503,12.965578028800001,0.0,27.048343150900003,48.5309365477,0.0,32.9327528476,0.0,44.89,0.0,4.794537184069999,0.0,5.907179729349999,6.544756405909999,28.6278768156,32.979503621599996,0.0,0.0,58.8317036726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3333333333,0.0952380952381,24.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,4.1357,95.2169,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0
9823787,0.252063250751,0.0,400.30800000000005,13.089377038699999,0.49101097350100004,13.089377038699999,-0.49101097350100004,426.19434269199996,162.0,0.00694098009574,0.00694098009574,0.252063250751,1.7245319660299998,1414.20241308,21.982398705300003,18.3652598314,18.3652598314,15.579718698099999,11.35791792,11.35791792,8.99134422388,8.99134422388,6.750641039419999,6.750641039419999,5.6510934263,5.6510934263,-3.31,39537131.3381,19.380922181600003,7.10499384725,2.63960529089,186.162938285,19.7272786004,5.749511833280001,0.0,0.0,5.907179729349999,0.0,4.794537184069999,0.0,0.0,0.0,24.2654682738,67.1420248174,34.9421134501,23.791000561599997,14.6379275327,27.7130295935,0.0,9.8838882518,0.0,45.8825968448,6.606881964509999,64.71837544600001,0.0,16.876414816700002,10.0536515578,0.0,5.749511833280001,0.0,28.291655124200002,25.9311560577,0.0,40.8958175502,42.4645694792,0.0,32.9327528476,0.0,63.49,0.0,9.90106457891,0.0,18.618028081600002,13.0895128118,57.1341101925,16.643603701,0.0,32.0465756048,34.1493565256,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24386196145,65.58947137189999,0.296296296296,32.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,6.0,4.583,126.30799999999999,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.0
9840393,0.25210585157800003,0.0,316.3,12.6061005606,0.353326130559,12.6061005606,-0.353326130559,328.067034004,114.0,0.046976095993999996,0.046976095993999996,0.25210585157800003,2.0143474122400002,1325.75363687,15.8361343353,12.6424055156,13.458902096600001,11.8264998405,7.974179755260001,8.79067633619,6.25916034375,7.31135918507,5.03495111073,6.22323271554,4.055708372130001,5.271526360759999,-2.85,1152606.32572,12.557901904400001,4.159273213640001,1.3582831611500001,140.443022297,10.300767125,0.0,0.0,0.0,5.907179729349999,0.0,4.794537184069999,0.0,0.0,11.336785877899999,36.398202410799996,17.6961856286,38.3062738979,15.780072125799999,4.794537184069999,59.2221037333,0.0,10.300767125,0.0,6.544756405909999,0.0,59.657839531099995,0.0,0.0,5.316788604009999,0.0,0.0,11.336785877899999,10.8911582503,6.544756405909999,0.0,15.9214401675,48.5309365477,0.0,41.978138126,0.0,44.89,0.0,4.794537184069999,0.0,5.907179729349999,6.544756405909999,27.5465286331,25.558512476300002,11.336785877899999,12.1327341369,46.698969535699995,0.0,0.0,1.7631972789099997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.903469387799994,0.05,24.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,4.9324,99.8639,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2088.0
9915743,0.24768919052900001,0.0,527.822,12.6127793412,0.491617156955,12.6127793412,-0.491617156955,556.198966468,204.0,-0.297099514152,0.27966563260899996,0.24768919052900001,1.6436705717,1567.75623939,28.4845524164,22.4410873002,23.197016246300002,19.371743696,12.5875796806,12.9655441536,8.99102092047,9.39822104721,5.69017305771,5.98554262293,3.8320476178300007,4.06714472062,-4.65,786267411.0339999,28.360387751599998,13.4229993878,7.2569056627899995,237.57038664200002,25.0072128465,24.175126943899997,0.0,5.907179729349999,0.0,0.0,14.762494226,0.0,5.26189155474,0.0,23.7433270655,57.4172835758,42.1544412136,39.7783680318,14.268263091700002,45.473203375699995,5.26189155474,14.8678667727,0.0,13.5306191642,37.880559543800004,89.3566767049,0.0,17.5682449794,20.1073031156,17.062158824100003,11.499023666600001,11.6009398902,48.0220288379,11.401419148599999,11.3311128675,18.1811166862,73.0766639046,5.02263331374,10.902924932100001,0.0,112.4,0.0,10.0564287388,0.0,12.5140616939,63.2018305986,5.69392799485,12.272863678399998,42.6046990208,44.1180921013,26.6707555627,21.074665797799998,0.0,6.516716135449999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.927728309,0.2,40.0,2.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,2.0,10.0,11.0,0.0,0.0,0.0,4.0,5.93248,157.2544,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0
10113978,0.237887166298,0.0,414.345,11.7798257199,0.329236247496,11.7798257199,-0.329236247496,437.163393976,160.0,-3.82197732986,0.059934965987,0.237887166298,1.6273097364700002,1396.37807597,22.336134335300002,17.6569652716,18.4734618525,14.6300488588,9.53910961531,11.0854290932,7.35821783008,8.888062772389999,5.23688903452,6.28976609023,3.3702098,4.17826877867,-3.5,8680579.78018,20.7598763773,7.637285318560001,4.072096,180.143916383,10.2166983349,5.81786277784,0.0,15.9716304344,0.0,0.0,4.6818029351499995,18.5407492429,10.0826603292,0.0,6.06636706846,55.8091283018,42.7471122956,10.4121841931,8.417796984330002,44.0671906937,0.0,19.7484417853,12.1866457203,18.7429578749,17.2643703175,59.918792537399995,0.0,0.0,15.3556720725,23.1409746082,0.0,0.0,35.2139107523,17.070963136099998,13.847474399400001,11.257379486500001,53.5568965264,0.0,10.902924932100001,0.0,119.03,10.0232911534,8.417796984330002,0.0,4.89548347552,23.0170398252,22.2842392016,6.06636706846,31.3196819767,48.7998950364,20.3834274542,5.13897373761,0.0,-3.82197732986,0.0,0.0,0.0,0.0,0.0,0.0,25.4193068934,51.819337103100004,0.190476190476,31.0,3.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,2.0,10.0,5.0,0.0,0.0,0.0,4.0,3.13904,121.3809,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0
11213558,0.268733213943,0.0,447.277,14.4389625649,0.492633536444,14.4389625649,-0.492633536444,470.171396056,178.0,-1.0180775324200002,0.10603579883400001,0.268733213943,1.58228985211,1227.4450584,24.4574546789,19.1475980578,19.1475980578,16.2330451307,10.118764133300001,10.118764133300001,7.663899863839999,7.663899863839999,4.91353806609,4.91353806609,3.18587116889,3.18587116889,-4.35,35160434.8018,22.8300876623,8.88538789654,4.42068179273,194.18412409400003,34.8978176272,5.81786277784,40.3025327076,11.6978511143,5.907179729349999,0.0,4.794537184069999,14.3583720896,4.98397852095,0.0,0.0,25.9802085363,17.8201204116,27.5262361954,28.1324040469,34.9964936185,0.0,14.9519355628,0.0,19.4485252104,37.2797584359,36.2795326865,0.0,22.9980473331,34.8978176272,33.4797289368,22.9980473331,0.0,47.789558727,4.794537184069999,5.81722084105,13.847474399400001,30.4623118455,0.0,0.0,0.0,128.75,11.418271652,9.18495223175,0.0,29.3091073438,28.685433607800004,6.1968435716100005,21.3293926238,38.1129426732,0.0,30.9023013749,18.9474518152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4389625649,70.64437076850001,0.272727272727,34.0,3.0,11.0,0.0,1.0,1.0,1.0,2.0,3.0,10.0,3.0,12.0,7.0,0.0,0.0,0.0,4.0,3.6332,122.2271,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
