cid,compound,aveaffinty
5291,CHEMBL941,2600.0
156422,CHEMBL103667,860.0
176155,CHEMBL10,4400.0
216239,CHEMBL1336,6.3
447077,CHEMBL386051,300.0
644241,CHEMBL255863,11.0
3062316,CHEMBL1421,45.0
3081361,CHEMBL24828,5100.0
5328940,CHEMBL288441,80.0
5494449,CHEMBL572878,2800.0
6445562,CHEMBL607707,1200.0
6450551,CHEMBL1289926,2600.0
9869779,CHEMBL1908396,3300.0
9915743,CHEMBL180022,1500.0
10074640,CHEMBL1908391,770.0
11248978,CHEMBL178737,13400.0
11409972,CHEMBL574738,2.3
11427553,CHEMBL1908397,580.0
11656518,CHEMBL558752,63.0
11667893,CHEMBL572881,8.0
16007391,CHEMBL215152,1700.0
16722836,CHEMBL1287853,650.0
24180719,CHEMBL1230020,41.0
24905147,CHEMBL1241674,1800.0
57399640,CHEMBL1908393,45.0
71717270,CHEMBL2309006,6700.0
