cid,compound,aveaffinty
447077,CHEMBL386051,27.0
3062316,CHEMBL1421,5.6
5328940,CHEMBL288441,29.0
5329102,CHEMBL535,5550.0
5494449,CHEMBL572878,4400.0
6445562,CHEMBL607707,3045.0
6450551,CHEMBL1289926,6000.0
9869779,CHEMBL1908396,250.0
9915743,CHEMBL180022,680.0
10138259,CHEMBL1721885,4900.0
11213558,CHEMBL475251,70.0
11427553,CHEMBL1908397,1600.0
11501591,CHEMBL247070,620.0
11626560,CHEMBL601719,760.0
11684994,CHEMBL2087875,10.0
16038120,CHEMBL509032,2.0
16722836,CHEMBL1287853,64.0
24180719,CHEMBL1230020,1100.0
24905147,CHEMBL1241674,9600.0
25126798,CHEMBL1789941,2600.0
25263033,CHEMBL502156,20.0
44299148,CHEMBL162,16.5
44438839,CHEMBL245408,190.0
44468332,CHEMBL2325938,152.0
44538074,CHEMBL2325970,1900.0
44538587,CHEMBL2325939,90.5
44538590,CHEMBL2325937,310.0
44539192,CHEMBL2325940,72.5
44539284,CHEMBL2325952,87.0
44539383,CHEMBL2325951,570.0
44539384,CHEMBL2325950,380.0
44539387,CHEMBL2325954,90.0
57325421,CHEMBL2064666,41.0
57397989,CHEMBL1908392,1600.0
57399640,CHEMBL1908393,200.0
57960797,CHEMBL2325965,240.0
57960805,CHEMBL2325967,5460.0
57960806,CHEMBL2325948,470.0
57960830,CHEMBL2325960,58.0
57960837,CHEMBL2325944,220.0
57960863,CHEMBL2325962,240.0
57960867,CHEMBL2325956,4090.0
57960887,CHEMBL2325949,330.0
57960888,CHEMBL2325964,110.0
57960890,CHEMBL2325971,48.0
57960901,CHEMBL2325957,160.0
57960906,CHEMBL2325946,1060.0
57960910,CHEMBL2325973,1690.0
57960920,CHEMBL2325966,3190.0
57960930,CHEMBL2325963,740.0
57960960,CHEMBL2325972,88.0
57960964,CHEMBL2325959,69.5
57960972,CHEMBL2325961,100.0
57960986,CHEMBL2325945,370.0
57960992,CHEMBL2325958,85.0
57961010,CHEMBL2325947,75.0
57961014,CHEMBL2325969,1870.0
57961033,CHEMBL2325968,900.0
57961037,CHEMBL2325955,3350.0
57961044,CHEMBL2325936,144.0
57961047,CHEMBL2325974,6280.0
71553143,CHEMBL2325953,280.0
71717270,CHEMBL2309006,6.6
