cid,compound,aveaffinty
3062316,CHEMBL1421,5300.0
5328940,CHEMBL288441,480.0
5329102,CHEMBL535,95.0
5494449,CHEMBL572878,180.0
9915743,CHEMBL180022,740.0
9977819,CHEMBL522892,170.0
10138259,CHEMBL1721885,540.0
10461815,CHEMBL450786,3200.0
11409972,CHEMBL574738,740.0
11427553,CHEMBL1908397,500.0
11626560,CHEMBL601719,230.0
16038120,CHEMBL509032,57.0
16722836,CHEMBL1287853,590.0
44299148,CHEMBL162,210.0
57397989,CHEMBL1908392,140.0
57399640,CHEMBL1908393,16.0
71717270,CHEMBL2309006,340.0
